Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;1413;11;106
Rust(Stadt);102;2000;157;0;14
Eisenstadt-Umgebung;103;43861;4040;26;300
Güssing;104;25770;2774;62;161
Jennersdorf;105;17109;1873;28;83
Mattersburg;106;40316;4025;40;346
Neusiedl am See;107;60397;5346;48;353
Oberpullendorf;108;37453;3649;43;243
Oberwart;109;54209;5461;95;340
Klagenfurt Stadt;201;101765;11375;167;1113
Villach Stadt;202;63236;7750;82;882
Hermagor;203;18052;2749;33;169
Klagenfurt Land;204;60503;7160;71;761
Sankt Veit an der Glan;205;53880;6085;108;642
Spittal an der Drau;206;75628;10982;139;1236
Villach Land;207;64920;8688;104;1009
Völkermarkt;208;41834;5927;68;692
Wolfsberg;209;52488;6998;92;1033
Feldkirchen;210;29783;3597;54;281
Krems an der Donau(Stadt);301;24837;2576;31;221
Sankt Pölten(Stadt);302;55878;6660;73;497
Waidhofen an der Ybbs(Stadt);303;11134;1910;21;154
Wiener Neustadt(Stadt);304;46456;6334;112;536
Amstetten;305;116592;19372;135;1669
Baden;306;147113;16509;167;1355
Bruck an der Leitha;307;105507;10131;99;613
Gänserndorf;308;105824;9209;77;485
Gmünd;309;36275;4377;51;417
Hollabrunn;310;51332;4141;57;449
Horn;311;30838;2656;28;201
Korneuburg;312;91777;7361;57;527
Krems(Land);313;56559;6065;44;563
Lilienfeld;314;25474;3696;51;282
Melk;315;78281;12436;114;992
Mistelbach;316;75655;6230;35;459
Mödling;317;119240;10321;134;727
Neunkirchen;318;86323;11316;111;1177
Sankt Pölten(Land);319;132064;15233;164;1367
Scheibbs;320;41567;7092;57;540
Tulln;321;105762;8902;102;650
Waidhofen an der Thaya;322;25531;3321;16;273
Wiener Neustadt(Land);323;79033;9801;109;916
Zwettl;325;41827;5622;41;684
Linz(Stadt);401;206537;25515;267;2193
Steyr(Stadt);402;37952;5133;34;424
Wels(Stadt);403;62654;9823;103;743
Braunau am Inn;404;106492;21025;146;2112
Eferding;405;33368;5081;43;416
Freistadt;406;66922;10468;105;1121
Gmunden;407;102102;15812;131;1344
Grieskirchen;408;65137;10080;84;952
Kirchdorf an der Krems;409;57163;8216;97;744
Linz-Land;410;152391;20937;114;2199
Perg;411;69241;11200;87;1010
Ried im Innkreis;412;61850;11785;109;1239
Rohrbach;413;56623;9342;113;875
Schärding;414;57438;10430;84;1006
Steyr-Land;415;60936;8957;85;976
Urfahr-Umgebung;416;86235;12400;85;1353
Vöcklabruck;417;137993;24724;193;2446
Wels-Land;418;74574;11348;73;1273
Salzburg(Stadt);501;155416;22957;174;2302
Hallein;502;60992;12483;76;1257
Salzburg-Umgebung;503;154624;27545;164;2877
Sankt Johann im Pongau;504;81392;15286;118;1190
Tamsweg;505;20118;4116;47;234
Zell am See;506;88168;11783;117;1083
Graz(Stadt);601;291134;28401;350;1921
Deutschlandsberg;603;60871;6610;120;603
Graz-Umgebung;606;157853;14961;275;1211
Leibnitz;610;85294;9427;118;689
Leoben;611;59151;5793;124;566
Liezen;612;79592;9969;133;897
Murau;614;27449;2814;34;213
Voitsberg;616;50947;5018;126;355
Weiz;617;90916;10882;167;800
Murtal;620;71356;8324;199;787
Bruck-Mürzzuschlag;621;98054;9288;264;781
Hartberg-Fürstenfeld;622;90619;11034;205;756
Südoststeiermark;623;83841;9864;193;666
Innsbruck-Stadt;701;131059;15949;123;1360
Imst;702;60922;8752;44;905
Innsbruck-Land;703;181698;22614;147;2383
Kitzbühel;704;64676;7669;47;748
Kufstein;705;111080;16047;155;1690
Landeck;706;44346;6028;51;462
Lienz;707;48814;9430;50;1062
Reutte;708;33054;4464;9;598
Schwaz;709;84456;12790;133;1153
Bludenz;801;64368;7691;55;850
Bregenz;802;135310;17504;131;1933
Dornbirn;803;90502;12289;88;1349
Feldkirch;804;109057;13941;90;1267
Wien;900;1920949;214852;2632;10947
