Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10571;25;55
Rust(Stadt);102;2021;1314;5;0
Eisenstadt-Umgebung;103;44488;29854;77;153
Güssing;104;25809;16828;101;47
Jennersdorf;105;17216;10062;44;33
Mattersburg;106;40731;26777;88;87
Neusiedl am See;107;61358;42192;85;224
Oberpullendorf;108;37556;24893;68;96
Oberwart;109;54682;34471;145;157
Klagenfurt Stadt;201;103297;59134;303;148
Villach Stadt;202;64125;35568;174;85
Hermagor;203;18069;10684;66;16
Klagenfurt Land;204;61114;35877;127;72
Sankt Veit an der Glan;205;53953;32933;167;77
Spittal an der Drau;206;75725;44430;276;66
Villach Land;207;65635;38461;205;80
Völkermarkt;208;41947;26523;121;60
Wolfsberg;209;52352;30266;202;56
Feldkirchen;210;29949;17313;83;19
Krems an der Donau(Stadt);301;24930;15744;75;73
Sankt Pölten(Stadt);302;56697;37696;146;201
Waidhofen an der Ybbs(Stadt);303;11187;8084;59;31
Wiener Neustadt(Stadt);304;47407;30908;220;101
Amstetten;305;117442;89586;309;298
Baden;306;148765;98854;362;446
Bruck an der Leitha;307;107297;73294;220;380
Gänserndorf;308;107504;70207;221;302
Gmünd;309;36152;22977;158;61
Hollabrunn;310;51879;32629;115;111
Horn;311;30875;19133;60;47
Korneuburg;312;92442;62625;145;313
Krems(Land);313;56840;38587;111;124
Lilienfeld;314;25491;17658;110;73
Melk;315;78779;59212;440;186
Mistelbach;316;76641;49708;107;185
Mödling;317;120412;80623;306;494
Neunkirchen;318;87048;57151;250;160
Sankt Pölten(Land);319;133497;94374;336;430
Scheibbs;320;41711;31348;98;97
Tulln;321;107723;71182;214;375
Waidhofen an der Thaya;322;25644;16987;80;42
Wiener Neustadt(Land);323;80020;53743;217;175
Zwettl;325;41757;30022;84;113
Linz(Stadt);401;208445;126344;473;485
Steyr(Stadt);402;37915;23203;78;104
Wels(Stadt);403;63542;40039;164;153
Braunau am Inn;404;108388;76900;269;159
Eferding;405;33715;23285;79;64
Freistadt;406;67638;48335;200;119
Gmunden;407;102765;70836;256;150
Grieskirchen;408;65929;47696;156;90
Kirchdorf an der Krems;409;57882;39311;163;106
Linz-Land;410;154320;100623;294;315
Perg;411;69905;50566;155;148
Ried im Innkreis;412;62535;44787;170;102
Rohrbach;413;57034;40663;165;83
Schärding;414;57750;39795;156;65
Steyr-Land;415;61494;43204;156;165
Urfahr-Umgebung;416;87466;62438;160;207
Vöcklabruck;417;139989;99847;340;247
Wels-Land;418;75514;54159;122;212
Salzburg(Stadt);501;155743;103025;336;242
Hallein;502;61262;45811;146;71
Salzburg-Umgebung;503;155982;117169;316;219
Sankt Johann im Pongau;504;81962;57392;184;71
Tamsweg;505;20327;13901;68;24
Zell am See;506;89017;56530;199;62
Graz(Stadt);601;293929;172492;599;549
Deutschlandsberg;603;61092;36259;183;66
Graz-Umgebung;606;161131;99275;438;309
Leibnitz;610;86399;53165;192;146
Leoben;611;59341;31549;196;82
Liezen;612;79739;46678;229;82
Murau;614;27343;15113;60;23
Voitsberg;616;51165;28271;190;57
Weiz;617;91844;56625;259;90
Murtal;620;71398;39145;294;82
Bruck-Mürzzuschlag;621;98394;51595;359;124
Hartberg-Fürstenfeld;622;91091;54931;307;89
Südoststeiermark;623;84024;50206;295;126
Innsbruck-Stadt;701;130599;85991;256;208
Imst;702;61843;43019;102;53
Innsbruck-Land;703;183827;125470;288;252
Kitzbühel;704;65482;41888;100;59
Kufstein;705;112301;75422;250;96
Landeck;706;44681;32183;93;54
Lienz;707;48854;33882;146;55
Reutte;708;33427;21614;29;39
Schwaz;709;85478;54096;219;95
Bludenz;801;64943;43278;96;52
Bregenz;802;136369;85925;241;90
Dornbirn;803;91344;59373;171;105
Feldkirch;804;110547;72571;179;70
Wien;900;1951354;1398517;4701;8104
