Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"721,8",841,"3.122,20",3.638
Baden,Niederösterreich,"265,8",390,"1.984,30",2.912
Bludenz,Vorarlberg,"497,6",319,"3.247,70",2.082
Braunau am Inn,Oberösterreich,"560,9",592,"2.518,20",2.658
Bregenz,Vorarlberg,"491,9",664,"3.425,50",4.624
Bruck an der Leitha,Niederösterreich,"267,00",277,"1.862,40",1.932
Bruck-Mürzzuschlag,Steiermark,"472,2",466,"2.282,70",2.253
Deutschlandsberg,Steiermark,"284,20",173,"1.623,20",988
Dornbirn,Vorarlberg,575,517,"4.320,90",3.885
Eferding,Oberösterreich,"1.130,30",375,"4.762,20",1.580
Eisenstadt,Burgenland,"310,5",46,"2.301,60",341
Eisenstadt-Umgebung,Burgenland,"279,9",121,"2.035,30",880
Feldkirch,Vorarlberg,"597,4",646,3.480,3.763
Feldkirchen,Kärnten,"678,9",203,2.234,668
Freistadt,Oberösterreich,522,349,"3.725,60",2.491
Gänserndorf,Niederösterreich,"154,6",162,"1.444,00",1.513
Gmünd,Niederösterreich,424,155,"2.713,90",992
Gmunden,Oberösterreich,"407,4",415,"2.846,10",2.899
Graz,Steiermark,"327,4",953,"2.121,50",6.175
Graz-Umgebung,Steiermark,"354,3",553,"1.886,30",2.944
Grieskirchen,Oberösterreich,"849,3",551,"4.087,90",2.652
Güssing,Burgenland,"354,1",91,"2.533,20",651
Hallein,Salzburg,"636,3",387,3.924,2.387
Hartberg-Fürstenfeld,Steiermark,"445,9",404,"2.550,60",2.311
Hermagor,Kärnten,576,104,"2.426,10",438
Hollabrunn,Niederösterreich,288,147,"1.779,20",908
Horn,Niederösterreich,223,69,"1.396,40",432
Imst,Tirol,"496,1",300,"3.475,90",2.102
Innsbruck-Land,Tirol,"585,70",#ERROR!,"3.556,10",6.417
Innsbruck-Stadt,Tirol,388,512,"3.869,30",5.106
Jennersdorf,Burgenland,"333,4",57,"2.573,60",440
Kirchdorf an der Krems,Oberösterreich,"555,4",317,"2.512,70",1.434
Kitzbühel,Tirol,"526,7",338,"3.018,60",1.937
Klagenfurt Land,Kärnten,"628,20",377,"2.169,50",1.302
Klagenfurt Stadt,Kärnten,"552,80",560,"2.370,20",2.401
Korneuburg,Niederösterreich,198,181,"1.935,30",1.766
Krems (Land),Niederösterreich,"370,00",209,"2.600,60",1.469
Krems an der Donau,Niederösterreich,"527,20",132,"2.684,10",672
Kufstein,Tirol,"720,80",795,"4.134,70",4.560
Landeck,Tirol,"263,60",117,"4.404,50",1.955
Leibnitz,Steiermark,"364,60",309,"2.369,20",2.008
Leoben,Steiermark,"447,20",267,"2.247,90",1.342
Lienz,Tirol,743,362,"2.893,00",1.410
Liezen,Steiermark,"458,20",365,"2.377,80",1.894
Lilienfeld,Niederösterreich,"339,10",87,"2.564,80",658
Linz,Oberösterreich,"476,80",985,"3.000,10",6.198
Linz-Land,Oberösterreich,"539,70",817,"3.020,40",4.572
Mattersburg,Burgenland,"354,60",142,"1.965,40",787
Melk,Niederösterreich,"557,60",436,"2.446,60",1.913
Mistelbach,Niederösterreich,"234,00",177,"1.490,20",1.127
Mödling,Niederösterreich,201,239,"2.000,60",2.383
Murau,Steiermark,"511,90",141,"1.750,00",482
Murtal,Steiermark,"463,10",332,"1.997,30",1.432
