Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;6104;13;278
Rust(Stadt);102;2000;721;1;34
Eisenstadt-Umgebung;103;43861;17201;43;847
Güssing;104;25770;10458;76;437
Jennersdorf;105;17109;7173;35;212
Mattersburg;106;40316;16040;64;739
Neusiedl am See;107;60397;23566;67;1256
Oberpullendorf;108;37453;14291;54;628
Oberwart;109;54209;21841;111;836
Klagenfurt Stadt;201;101765;39018;219;1063
Villach Stadt;202;63236;24803;125;695
Hermagor;203;18052;7733;43;233
Klagenfurt Land;204;60503;24652;90;623
Sankt Veit an der Glan;205;53880;22420;134;660
Spittal an der Drau;206;75628;33010;189;853
Villach Land;207;64920;27258;143;704
Völkermarkt;208;41834;18721;93;496
Wolfsberg;209;52488;22348;141;547
Feldkirchen;210;29783;12835;74;317
Krems an der Donau(Stadt);301;24837;9872;55;470
Sankt Pölten(Stadt);302;55878;24176;100;948
Waidhofen an der Ybbs(Stadt);303;11134;5786;27;120
Wiener Neustadt(Stadt);304;46456;20495;154;687
Amstetten;305;116592;64014;208;2008
Baden;306;147113;61531;242;2171
Bruck an der Leitha;307;105507;42560;151;2036
Gänserndorf;308;105824;40132;119;1988
Gmünd;309;36275;15232;115;641
Hollabrunn;310;51332;19270;76;1028
Horn;311;30838;12513;48;538
Korneuburg;312;91777;34295;107;1727
Krems(Land);313;56559;25046;77;1110
Lilienfeld;314;25474;12538;90;489
Melk;315;78281;41449;196;1307
Mistelbach;316;75655;28911;71;1606
Mödling;317;119240;45116;186;2105
Neunkirchen;318;86323;38038;193;1513
Sankt Pölten(Land);319;132064;58670;211;2162
Scheibbs;320;41567;23170;85;578
Tulln;321;105762;40867;148;2064
Waidhofen an der Thaya;322;25531;11157;46;397
Wiener Neustadt(Land);323;79033;35840;158;1262
Zwettl;325;41827;20455;64;826
Linz(Stadt);401;206537;84745;365;2845
Steyr(Stadt);402;37952;15770;55;504
Wels(Stadt);403;62654;28911;135;922
Braunau am Inn;404;106492;56362;205;1635
Eferding;405;33368;15806;58;454
Freistadt;406;66922;34569;134;959
Gmunden;407;102102;50125;185;1129
Grieskirchen;408;65137;33304;120;912
Kirchdorf an der Krems;409;57163;27274;122;841
Linz-Land;410;152391;68593;216;2152
Perg;411;69241;35546;127;1071
Ried im Innkreis;412;61850;31943;132;877
Rohrbach;413;56623;28920;131;828
Schärding;414;57438;28741;122;849
Steyr-Land;415;60936;29449;127;930
Urfahr-Umgebung;416;86235;41398;113;1234
Vöcklabruck;417;137993;70891;278;2009
Wels-Land;418;74574;37623;101;1234
Salzburg(Stadt);501;155416;69877;239;2092
Hallein;502;60992;34475;99;608
Salzburg-Umgebung;503;154624;83844;227;2396
Sankt Johann im Pongau;504;81392;44820;143;1004
Tamsweg;505;20118;10432;52;245
Zell am See;506;88168;42939;156;763
Graz(Stadt);601;291134;112521;455;3565
Deutschlandsberg;603;60871;26615;146;761
Graz-Umgebung;606;157853;66957;342;2038
Leibnitz;610;85294;37807;152;948
Leoben;611;59151;21786;149;576
Liezen;612;79592;34331;171;797
Murau;614;27449;11064;46;484
Voitsberg;616;50947;21015;158;561
Weiz;617;90916;42379;213;952
Murtal;620;71356;28963;237;681
Bruck-Mürzzuschlag;621;98054;36464;292;1137
Hartberg-Fürstenfeld;622;90619;40425;237;897
Südoststeiermark;623;83841;36823;230;991
Innsbruck-Stadt;701;131059;57457;175;1553
Imst;702;60922;32224;63;565
Innsbruck-Land;703;181698;86182;189;2112
Kitzbühel;704;64676;30964;59;561
Kufstein;705;111080;56058;184;1080
Landeck;706;44346;24532;68;419
Lienz;707;48814;24895;95;505
Reutte;708;33054;14966;18;430
Schwaz;709;84456;40620;163;720
Bludenz;801;64368;32666;76;848
Bregenz;802;135310;63250;186;2127
Dornbirn;803;90502;44109;125;1161
Feldkirch;804;109057;53041;135;1700
Wien;900;1920949;816409;3310;32485
