Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"55,8",65,"8550,50",9963
Baden,Niederösterreich,"38,8",57,"6725,00",9869
Bludenz,Vorarlberg,"65,5",42,"6537,50",4191
Braunau am Inn,Oberösterreich,"39,8",42,"8596,60",9074
Bregenz,Vorarlberg,"85,9",116,"7241,40",9775
Bruck an der Leitha,Niederösterreich,"31,8",33,"5839,90",6058
Bruck-Mürzzuschlag,Steiermark,"30,4",30,"6139,00",6059
Deutschlandsberg,Steiermark,"14,8",9,"6639,10",4041
Dornbirn,Vorarlberg,"110,1",99,"8503,90",7646
Eferding,Oberösterreich,"21,1",7,"8427,30",2796
Eisenstadt,Burgenland,"20,2",3,"6661,70",987
Eisenstadt-Umgebung,Burgenland,"30,1",13,"5460,70",2361
Feldkirch,Vorarlberg,"64,7",70,"7627,60",8248
Feldkirchen,Kärnten,"43,5",13,"8039,60",2404
Freistadt,Oberösterreich,"34,4",23,"8263,40",5525
Gänserndorf,Niederösterreich,"79,2",83,"5644,10",5914
Gmünd,Niederösterreich,"30,1",11,"7444,00",2721
Gmunden,Oberösterreich,"41,2",42,"7671,40",7814
Graz,Steiermark,"36,1",105,"5569,40",16211
Graz-Umgebung,Steiermark,"32,7",51,"5592,40",8728
Grieskirchen,Oberösterreich,"30,8",20,"8035,50",5213
Güssing,Burgenland,"19,5",5,"7113,10",1828
Hallein,Salzburg,"36,2",22,"10961,10",6667
Hartberg-Fürstenfeld,Steiermark,"68,4",62,"8127,50",7364
Hermagor,Kärnten,"16,6",3,"10429,80",1883
Hollabrunn,Niederösterreich,"29,4",15,"5118,30",2612
Horn,Niederösterreich,"32,3",10,"4945,70",1530
Imst,Tirol,"221,6",134,"8831,90",5341
Innsbruck-Land,Tirol,"60,4",109,"7614,20",13740
Innsbruck-Stadt,Tirol,"39,4",52,"7296,90",9629
Jennersdorf,Burgenland,"11,7",2,"7603,70",1300
Kirchdorf an der Krems,Oberösterreich,"43,8",25,"7429,30",4240
Kitzbühel,Tirol,"18,7",12,"6986,30",4483
Klagenfurt Land,Kärnten,20,12,"6948,40",4170
Klagenfurt Stadt,Kärnten,"22,7",23,"6143,10",6223
Korneuburg,Niederösterreich,"13,2",12,"4748,30",4333
Krems (Land),Niederösterreich,"15,9",9,"5838,50",3298
Krems an der Donau,Niederösterreich,16,4,"5496,10",1376
Kufstein,Tirol,"24,5",27,"8477,90",9350
Landeck,Tirol,"38,3",17,"8263,90",3668
Leibnitz,Steiermark,"29,5",25,"6958,80",5898
Leoben,Steiermark,"6,7",4,"5618,10",3354
Lienz,Tirol,"24,6",12,"10884,70",5305
Liezen,Steiermark,10,8,"6834,70",5444
Lilienfeld,Niederösterreich,"42,9",11,"6490,00",1665
Linz,Oberösterreich,"40,2",83,"6616,80",13670
Linz-Land,Oberösterreich,"23,1",35,"6700,80",10143
Mattersburg,Burgenland,"37,5",15,"5701,50",2283
Melk,Niederösterreich,"25,6",20,"7344,80",5743
Mistelbach,Niederösterreich,"25,1",19,"4957,40",3749
Mödling,Niederösterreich,"10,9",13,"5352,80",6376
Murau,Steiermark,"25,4",7,"7196,00",1982
Murtal,Steiermark,"66,9",48,"7086,70",5081
Neunkirchen,Niederösterreich,"32,4",28,"6877,20",5938
Neusiedl am See,Burgenland,5,3,"5420,90",3252
Oberpullendorf,Burgenland,"10,7",4,"5943,70",2222
Oberwart,Burgenland,"42,4",23,"6718,70",3641
Perg,Oberösterreich,"43,5",30,"8472,00",5843
Reutte,Tirol,"18,3",6,"6142,30",2017
Ried im Innkreis,Oberösterreich,"98,9",61,"9635,30",5944
Rohrbach,Oberösterreich,"14,1",8,"9030,00",5106
Rust,Burgenland,0,±0,"3838,40",76
Salzburg,Salzburg,"31,6",49,"7540,30",11689
Salzburg-Umgebung,Salzburg,"24,8",38,"8061,00",12373
Sankt Johann im Pongau,Salzburg,"28,3",23,"11782,90",9567
Sankt Pölten,Niederösterreich,"48,6",27,"6967,60",3868
Sankt Pölten (Land),Niederösterreich,"77,4",102,"5982,70",7881
Sankt Veit an der Glan,Kärnten,"44,3",24,"7282,30",3946
Schärding,Oberösterreich,"12,2",7,"9269,70",5320
Scheibbs,Niederösterreich,"50,7",21,"9112,90",3774
Schwaz,Tirol,"5,9",5,"10682,00",9008
Spittal an der Drau,Kärnten,"30,3",23,"7646,20",5801
Steyr,Oberösterreich,"65,7",25,"6427,40",2446
Steyr-Land,Oberösterreich,"24,7",15,"7026,00",4266
Südoststeiermark,Steiermark,"21,4",18,"7130,30",5992
Tamsweg,Salzburg,"9,9",2,"12275,90",2486
Tulln,Niederösterreich,"26,8",28,"5145,70",5382
Urfahr-Umgebung,Oberösterreich,"27,9",24,"7090,30",6098
Villach Land,Kärnten,"37,1",24,"6920,70",4472
Villach Stadt,Kärnten,"39,8",25,"6311,80",3969
Vöcklabruck,Oberösterreich,32,44,"8381,10",11507
Voitsberg,Steiermark,"31,3",16,"6647,20",3393
Völkermarkt,Kärnten,"7,2",3,"8776,50",3674
Waidhofen an der Thaya,Niederösterreich,"7,8",2,"6529,90",1677
Waidhofen an der Ybbs,Niederösterreich,"53,5",6,"8002,10",898
Weiz,Steiermark,"30,9",28,"6801,70",6166
Wels,Oberösterreich,"73,6",46,"8988,30",5615
Wels-Land,Oberösterreich,"62,4",46,"7696,20",5678
Wien,Wien,"37,4",714,"7171,00",137052
Wiener Neustadt,Niederösterreich,"19,6",9,"8487,00",3889
Wiener Neustadt (Land),Niederösterreich,23,18,"6687,80",5237
Wolfsberg,Kärnten,"32,3",17,"6580,90",3462
Zell am See,Salzburg,"10,3",9,"8269,00",7246
Zwettl,Niederösterreich,"38,1",16,"7933,40",3331
