Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"7,75","0,86"
Baden,"58,14","11,63"
Bludenz,"70,2","17,16"
Braunau am Inn,"28,73","2,87"
Bregenz,"46,67","5,93"
Bruck an der Leitha,"45,09","7,84"
Bruck-Mürzzuschlag,"8,08","-1,01"
Deutschlandsberg,"32,88",0
Dornbirn,"122,39","22,25"
Eferding,"27,14",0
Eisenstadt,"61,49","13,66"
Eisenstadt-Umgebung,"37,27","9,32"
Feldkirch,"59,19","12,02"
Feldkirchen,"3,34","-3,34"
Freistadt,"25,52","7,51"
Gmunden,"9,84",0
Gmünd,"21,76","10,88"
Graz,"41,9","2,42"
Graz-Umgebung,"23,99","3,24"
Grieskirchen,"21,63","4,64"
Gänserndorf,"47,26","11,57"
Güssing,"3,88","3,88"
Hallein,"24,85","8,28"
Hartberg-Fürstenfeld,"14,35","1,1"
Hermagor,0,0
Hollabrunn,"33,43","1,97"
Horn,"22,52",0
Imst,"61,61","8,33"
Innsbruck,"105,22","11,35"
Innsbruck-Land,"81,42","17,29"
Jennersdorf,0,0
Kirchdorf an der Krems,"10,55","3,52"
Kitzbühel,"12,52",0
Klagenfurt,"7,94","1,98"
Klagenfurt Land,"5,02","3,34"
Korneuburg,"49,51","12,1"
Krems (Land),"45,94","14,14"
Krems an der Donau,"104,52","24,12"
Kufstein,"72,94","3,65"
Landeck,"69,88","24,8"
Leibnitz,"13,07","1,19"
Leoben,"28,31","1,67"
Lienz,"14,36",0
Liezen (inkl. Gröbming),"11,26","1,25"
Lilienfeld,"50,36",0
Linz,"62,22","17,01"
Linz-Land,"58,56","7,99"
Mattersburg,"12,52","2,5"
Melk,"33,35","6,41"
Mistelbach,"38,42","7,95"
Murau,"32,54","3,62"
Murtal,"4,17",0
Mödling,"47,9","4,2"
Neunkirchen,"75,33","2,32"
Neusiedl am See,"25,19","6,72"
Oberpullendorf,"18,66","5,33"
Oberwart,"20,34","9,25"
Perg,"17,53",0
Reutte,"27,55","3,06"
Ried im Innkreis,"26,14","8,17"
Rohrbach,"7,08","1,77"
Rust,0,0
Salzburg,"40,2","5,84"
Salzburg-Umgebung,"15,1","5,91"
Sankt Johann im Pongau,"21,1","4,96"
Sankt Pölten,"34,52","1,82"
Sankt Pölten (Land),"21,37","5,34"
Sankt Veit an der Glan,"5,5",0
Scheibbs,"12,08",0
Schwaz,62,"8,35"
Schärding,"8,72","1,74"
Spittal an der Drau,"11,83","3,94"
Steyr,"34,04","2,62"
Steyr-Land,"18,2","3,31"
Südoststeiermark,"11,87","2,37"
Tamsweg,"9,84",0
Tulln,"29,87","4,82"
Urfahr-Umgebung,"11,7","2,34"
Villach,"24,1","4,82"
Villach Land,"13,92","4,64"
Voitsberg,"5,86",0
Vöcklabruck,"33,03","6,61"
Völkermarkt,"9,55","2,39"
Waidhofen an der Thaya,"42,49","11,59"
Waidhofen an der Ybbs,"8,88",0
Weiz,"9,96","2,21"
Wels,"63,18","16,2"
Wels-Land,"30,1","4,1"
Wien,"113,47","19,97"
Wiener Neustadt,"77,3","15,46"
Wiener Neustadt (Land),"50,01","-1,28"
Wolfsberg,"13,28","-1,9"
Zell am See,"11,43","3,43"
Zwettl,"73,42","4,74"
