Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,24,28,"8580,50",9998
Baden,Niederösterreich,"23,8",35,"6744,80",9898
Bludenz,Vorarlberg,53,34,"6607,70",4236
Braunau am Inn,Oberösterreich,"81,5",86,"8687,60",9170
Bregenz,Vorarlberg,"51,1",69,"7324,40",9887
Bruck an der Leitha,Niederösterreich,"25,1",26,"5868,80",6088
Bruck-Mürzzuschlag,Steiermark,"19,3",19,"6174,50",6094
Deutschlandsberg,Steiermark,"24,6",15,"6668,60",4059
Dornbirn,Vorarlberg,"43,4",39,"8588,40",7722
Eferding,Oberösterreich,"18,1",6,"8451,40",2804
Eisenstadt,Burgenland,"13,5",2,"6661,70",987
Eisenstadt-Umgebung,Burgenland,"16,2",7,"5474,60",2367
Feldkirch,Vorarlberg,"31,4",34,"7674,80",8299
Feldkirchen,Kärnten,"3,3",1,"8039,60",2404
Freistadt,Oberösterreich,9,6,"8276,90",5534
Gänserndorf,Niederösterreich,"51,5",54,"5703,30",5976
Gmünd,Niederösterreich,"16,4",6,"7465,90",2729
Gmunden,Oberösterreich,"9,8",10,"7692,00",7835
Graz,Steiermark,"29,2",85,"5600,00",16300
Graz-Umgebung,Steiermark,"21,1",33,"5618,00",8768
Grieskirchen,Oberösterreich,"6,2",4,"8049,30",5222
Güssing,Burgenland,"3,9",1,"7113,10",1828
Hallein,Salzburg,"34,5",21,"10997,30",6689
Hartberg-Fürstenfeld,Steiermark,"17,7",16,"8151,80",7386
Hermagor,Kärnten,"11,1",2,"10446,40",1886
Hollabrunn,Niederösterreich,"13,7",7,"5137,90",2622
Horn,Niederösterreich,"6,5",2,"4965,10",1536
Imst,Tirol,"152,1",92,"9020,40",5455
Innsbruck-Land,Tirol,"56,5",102,"7689,00",13875
Innsbruck-Stadt,Tirol,"84,1",111,"7396,90",9761
Jennersdorf,Burgenland,0,±0,"7592,00",1298
Kirchdorf an der Krems,Oberösterreich,"3,5",2,"7436,40",4244
Kitzbühel,Tirol,"7,8",5,"6995,70",4489
Klagenfurt Land,Kärnten,"23,3",14,"6971,70",4184
Klagenfurt Stadt,Kärnten,"19,7",20,"6162,90",6243
Korneuburg,Niederösterreich,"7,7",7,"4758,10",4342
Krems (Land),Niederösterreich,"21,2",12,"5861,50",3311
Krems an der Donau,Niederösterreich,28,7,"5540,00",1387
Kufstein,Tirol,"26,3",29,"8512,30",9388
Landeck,Tirol,36,16,"8311,20",3689
Leibnitz,Steiermark,"10,6",9,"6971,80",5909
Leoben,Steiermark,"6,7",4,"5626,50",3359
Lienz,Tirol,"12,3",6,"10897,00",5311
Liezen,Steiermark,"7,5",6,"6841,00",5449
Lilienfeld,Niederösterreich,"35,1",9,"6552,30",1681
Linz,Oberösterreich,"25,2",52,"6648,80",13736
Linz-Land,Oberösterreich,"11,2",17,"6707,40",10153
Mattersburg,Burgenland,15,6,"5724,00",2292
Melk,Niederösterreich,"37,1",29,"7390,90",5779
Mistelbach,Niederösterreich,"30,4",23,"4993,10",3776
Mödling,Niederösterreich,"4,2",5,"5354,50",6378
Murau,Steiermark,"21,8",6,"7228,70",1991
Murtal,Steiermark,"26,5",19,"7121,50",5106
Neunkirchen,Niederösterreich,"30,1",26,"6905,00",5962
Neusiedl am See,Burgenland,5,3,"5432,60",3259
Oberpullendorf,Burgenland,16,6,"5957,10",2227
Oberwart,Burgenland,"11,1",6,"6727,90",3646
Perg,Oberösterreich,"40,6",28,"8515,50",5873
Reutte,Tirol,3,1,"6142,30",2017
Ried im Innkreis,Oberösterreich,"58,4",36,"9706,60",5988
Rohrbach,Oberösterreich,"3,5",2,"9035,30",5109
Rust,Burgenland,0,±0,"3787,90",75
Salzburg,Salzburg,11,17,"7556,40",11714
Salzburg-Umgebung,Salzburg,"11,1",17,"8043,40",12346
Sankt Johann im Pongau,Salzburg,"17,2",14,"11807,50",9587
Sankt Pölten,Niederösterreich,"28,8",16,"7005,40",3889
Sankt Pölten (Land),Niederösterreich,"37,2",49,"6035,90",7951
Sankt Veit an der Glan,Kärnten,"29,5",16,"7315,50",3964
Schärding,Oberösterreich,7,4,"9290,70",5332
Scheibbs,Niederösterreich,"9,7",4,"9132,20",3782
Schwaz,Tirol,"3,6",3,"10680,80",9007
Spittal an der Drau,Kärnten,"31,6",24,"7683,10",5829
Steyr,Oberösterreich,"31,5",12,"6477,30",2465
Steyr-Land,Oberösterreich,"8,2",5,"7032,60",4270
Südoststeiermark,Steiermark,"32,1",27,"7171,90",6027
Tamsweg,Salzburg,0,±0,"12271,00",2485
Tulln,Niederösterreich,"27,7",29,"5175,30",5413
Urfahr-Umgebung,Oberösterreich,"24,4",21,"7115,90",6120
Villach Land,Kärnten,"18,6",12,"6947,00",4489
Villach Stadt,Kärnten,"14,3",9,"6329,30",3980
Vöcklabruck,Oberösterreich,"18,9",26,"8403,70",11538
Voitsberg,Steiermark,"33,3",17,"6688,30",3414
Völkermarkt,Kärnten,43,18,"8819,50",3692
Waidhofen an der Thaya,Niederösterreich,"3,9",1,"6537,70",1679
Waidhofen an der Ybbs,Niederösterreich,"8,9",1,"8028,90",901
Weiz,Steiermark,21,19,"6828,20",6190
Wels,Oberösterreich,"35,2",22,"9029,90",5641
Wels-Land,Oberösterreich,"25,8",19,"7721,90",5697
Wien,Wien,"31,9",610,"7201,40",137632
Wiener Neustadt,Niederösterreich,"8,7",4,"8497,90",3894
Wiener Neustadt (Land),Niederösterreich,14,11,"6708,20",5253
Wolfsberg,Kärnten,"24,7",13,"6620,80",3483
Zell am See,Salzburg,"9,1",8,"8277,00",7253
Zwettl,Niederösterreich,"14,3",6,"7954,80",3340
