Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"16,3",19,"8643,00",10077
Baden,Niederösterreich,19,28,"6820,60",10034
Bludenz,Vorarlberg,"20,2",13,"6633,70",4270
Braunau am Inn,Oberösterreich,15,16,"8726,50",9293
Bregenz,Vorarlberg,"40,6",55,"7410,40",10027
Bruck an der Leitha,Niederösterreich,"16,1",17,"5881,10",6205
Bruck-Mürzzuschlag,Steiermark,"11,2",11,"6246,60",6125
Deutschlandsberg,Steiermark,"21,4",13,"6735,60",4100
Dornbirn,Vorarlberg,"27,6",25,"8603,10",7786
Eferding,Oberösterreich,30,10,"8463,20",2824
Eisenstadt,Burgenland,"6,7",1,"6646,50",990
Eisenstadt-Umgebung,Burgenland,"9,1",4,"5476,40",2402
Feldkirch,Vorarlberg,44,48,"7696,00",8393
Feldkirchen,Kärnten,"10,1",3,"8112,00",2416
Freistadt,Oberösterreich,"20,9",14,"8308,20",5560
Gänserndorf,Niederösterreich,"14,2",15,"5745,40",6080
Gmünd,Niederösterreich,"2,8",1,"7586,50",2752
Gmunden,Oberösterreich,"18,6",19,"7712,90",7875
Graz,Steiermark,"40,5",118,"5679,50",16535
Graz-Umgebung,Steiermark,50,79,"5667,30",8946
Grieskirchen,Oberösterreich,"33,8",22,"8087,60",5268
Güssing,Burgenland,"19,4",5,"7167,20",1847
Hallein,Salzburg,"36,1",22,"11055,50",6743
Hartberg-Fürstenfeld,Steiermark,"8,8",8,"8180,40",7413
Hermagor,Kärnten,"121,9",22,"10586,10",1911
Hollabrunn,Niederösterreich,"7,8",4,"5178,10",2658
Horn,Niederösterreich,0,±0,"4997,10",1541
Imst,Tirol,"16,4",10,"9050,90",5514
Innsbruck-Land,Tirol,"19,3",35,"7715,50",14019
Innsbruck-Stadt,Tirol,"23,7",31,"7550,80",9896
Jennersdorf,Burgenland,"17,5",3,"7650,90",1309
Kirchdorf an der Krems,Oberösterreich,42,24,"7510,10",4293
Kitzbühel,Tirol,"29,4",19,"6981,00",4515
Klagenfurt Land,Kärnten,"16,5",10,"6968,20",4216
Klagenfurt Stadt,Kärnten,"19,7",20,"6216,30",6326
Korneuburg,Niederösterreich,"26,2",24,"4818,20",4422
Krems (Land),Niederösterreich,"1,8",1,"5887,70",3330
Krems an der Donau,Niederösterreich,4,1,"5669,00",1408
Kufstein,Tirol,"22,5",25,"8511,90",9455
Landeck,Tirol,9,4,"8359,30",3707
Leibnitz,Steiermark,"17,6",15,"6978,20",5952
Leoben,Steiermark,"6,8",4,"5695,60",3369
Lienz,Tirol,"131,1",64,"11146,40",5441
Liezen,Steiermark,"13,8",11,"6873,80",5471
Lilienfeld,Niederösterreich,"7,9",2,"6677,40",1701
Linz,Oberösterreich,"52,3",108,"6798,80",14042
Linz-Land,Oberösterreich,"30,8",47,"6770,10",10317
Mattersburg,Burgenland,"14,9",6,"5749,60",2318
Melk,Niederösterreich,"15,3",12,"7429,60",5816
Mistelbach,Niederösterreich,"13,2",10,"5020,20",3798
Mödling,Niederösterreich,"25,2",30,"5458,70",6509
Murau,Steiermark,"3,6",1,"7268,00",1995
Murtal,Steiermark,"18,2",13,"7199,10",5137
Neunkirchen,Niederösterreich,"10,4",9,"6951,80",6001
Neusiedl am See,Burgenland,0,±0,"5440,70",3286
Oberpullendorf,Burgenland,0,±0,"5991,50",2244
Oberwart,Burgenland,24,13,"6829,10",3702
Perg,Oberösterreich,"14,4",10,"8536,80",5911
Reutte,Tirol,"33,3",11,"6268,50",2072
Ried im Innkreis,Oberösterreich,"17,8",11,"9733,20",6020
Rohrbach,Oberösterreich,"1,8",1,"9049,30",5124
Rust,Burgenland,0,±0,"3850,00",77
Salzburg,Salzburg,"55,3",86,"7624,10",11849
Salzburg-Umgebung,Salzburg,"23,3",36,"8075,70",12487
Sankt Johann im Pongau,Salzburg,"92,1",75,"11915,20",9698
Sankt Pölten,Niederösterreich,"12,5",7,"7074,30",3953
Sankt Pölten (Land),Niederösterreich,"15,9",21,"6097,00",8052
Sankt Veit an der Glan,Kärnten,"9,3",5,"7399,80",3987
Schärding,Oberösterreich,"3,5",2,"9291,80",5337
Scheibbs,Niederösterreich,"9,6",4,"9137,10",3798
Schwaz,Tirol,"7,1",6,"10684,90",9024
Spittal an der Drau,Kärnten,"18,5",14,"7759,00",5868
Steyr,Oberösterreich,"2,6",1,"6531,90",2479
Steyr-Land,Oberösterreich,"16,4",10,"7112,40",4334
Südoststeiermark,Steiermark,6,5,"7211,30",6046
Tamsweg,Salzburg,"14,9",3,"12411,80",2497
Tulln,Niederösterreich,"12,3",13,"5179,60",5478
