Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederöstereich,"43,9",51,422,490
Baden,Niederöstereich,"90,3",132,591,864
Bludenz,Vorarlberg,"116,1",74,"864,8",551
Braunau am Inn,Oberösterreich,"65,1",68,"418,6",437
Bregenz,Vorarlberg,"139,9",188,"627,3",843
Bruck an der Leitha,Niederöstereich,"79,4",81,"573,5",585
Bruck-Mürzzuschlag,Steiermark,"41,4",41,"251,6",249
Deutschlandsberg,Steiermark,23,14,"212,1",129
Dornbirn,Vorarlberg,"114,6",102,"701,9",625
Eferding,Oberösterreich,"93,5",31,"491,6",163
Eisenstadt,Burgenland,"27,3",4,"348,4",51
Eisenstadt-Umgebung,Burgenland,"55,9",24,"363,4",156
Feldkirch,Vorarlberg,167,179,727,779
Feldkirchen,Kärnten,"33,4",10,"160,3",48
Freistadt,Oberösterreich,45,30,"538,9",359
Gänserndorf,Niederöstereich,"88,7",92,"580,6",602
Gmünd,Niederöstereich,"89,7",33,"451,4",166
Gmunden,Oberösterreich,"89,5",91,"463,4",471
Graz,Steiermark,53,153,"527,7",1.524
Graz-Umgebung,Steiermark,"45,4",70,"373,4",576
Grieskirchen,Oberösterreich,"123,6",80,"465,1",301
Güssing,Burgenland,"54,3",14,"430,3",111
Hallein,Salzburg,"455,5",275,"977,20",590
Hartberg-Fürstenfeld,Steiermark,"40,8",37,"497,70",451
Hermagor,Kärnten,"21,9",4,"334,70",61
Hollabrunn,Niederöstereich,"33,4",17,"261,50",133
Horn,Niederöstereich,"32,2",10,431,134
Imst,Tirol,"163,2",98,"940,80",565
Innsbruck-Land,Tirol,"175,7",315,"823,10",1.476
Innsbruck-Stadt,Tirol,"228,6",302,"1.358,70",1.795
Jennersdorf,Burgenland,"17,6",3,"128,9",22
Kirchdorf an der Krems,Oberösterreich,"33,4",19,"298,90",170
Kitzbühel,Tirol,"39,1",25,794,507
Klagenfurt Land,Kärnten,"45,2",27,"230,80",138
Klagenfurt Stadt,Kärnten,"74,4",75,"301,50",304
Korneuburg,Niederöstereich,"70,4",64,"622,70",566
Krems (Land),Niederöstereich,"61,8",35,"671,40",380
Krems an der Donau,Niederöstereich,"44,2",11,"631,1",157
Kufstein,Tirol,"76,6",84,"1.008,40",1.106
Landeck,Tirol,124,55,"2.842,50",1.261
Leibnitz,Steiermark,"50,9",42,"390,4",322
Leoben,Steiermark,"98,2",59,318,191
Lienz,Tirol,"43,1",21,"422,5",206
Liezen,Steiermark,"46,3",37,"321,6",257
Lilienfeld,Niederöstereich,"42,6",11,"480,4",124
Linz,Oberösterreich,"85,6",176,"829,7",1.707
Linz-Land,Oberösterreich,"51,2",77,"744,6",1.119
Mattersburg,Burgenland,"40,1",16,"423,3",169
Melk,Niederöstereich,"42,3",33,"545,1",425
Mistelbach,Niederöstereich,"59,6",45,"555,1",419
Mödling,Niederöstereich,"94,1",112,"655,5",780
Murau,Steiermark,"10,8",3,"151,8",42
Murtal,Steiermark,"68,1",49,"259,7",187
Neunkirchen,Niederöstereich,"61,4",53,"659,4",569
Neusiedl am See,Burgenland,"129,3",77,"555,8",331
Oberpullendorf,Burgenland,64,24,"298,6",112
Oberwart,Burgenland,"101,7",55,564,305
Perg,Oberösterreich,"33,6",23,"723,1",495
Reutte,Tirol,"39,8",13,"422,4",138
Ried im Innkreis,Oberösterreich,"160,1",98,"671,5",411
Rohrbach,Oberösterreich,"143,3",81,"661,7",374
Rust,Burgenland,0,0,"154,6",3
Salzburg,Salzburg,"67,4",104,"477,9",737
Salzburg-Umgebung,Salzburg,"145,8",222,"514,8",784
Sankt Johann im Pongau,Salzburg,"191,1",154,"981,7",791
Sankt Pölten,Niederöstereich,"134,4",74,"708,5",390
Sankt Pölten (Land),Niederöstereich,"71,7",94,"553,2",725
Sankt Veit an der Glan,Kärnten,"126,5",69,"311,60",170
Schärding,Oberösterreich,"155,3",89,"438,00",251
Scheibbs,Niederöstereich,"36,2",15,"444,40",184
Schwaz,Tirol,"209,8",176,"1.145,80",961
Spittal an der Drau,Kärnten,"18,4",14,"132,7",101
Steyr,Oberösterreich,"104,7",40,"586,5",224
Steyr-Land,Oberösterreich,"105,9",64,"584,2",353
Südoststeiermark,Steiermark,"31,4",27,"147,8",127
Tamsweg,Salzburg,"83,7",17,"329,7",67
Tulln,Niederöstereich,"76,1",79,"492,4",511
Urfahr-Umgebung,Oberösterreich,62,53,"645,6",552
Villach Land,Kärnten,"32,5",21,"233,5",151
Villach Stadt,Kärnten,"40,2",25,233,145
Vöcklabruck,Oberösterreich,"110,1",150,"522,6",712
Voitsberg,Steiermark,"115,3",59,"453,50",232
Völkermarkt,Kärnten,"78,8",33,"382,1",160
Waidhofen an der Thaya,Niederöstereich,"88,8",23,707,183
Waidhofen an der Ybbs,Niederöstereich,"53,3",6,355,40
Weiz,Steiermark,"73,1",66,"412,90",373
Wels,Oberösterreich,"186,3",115,"910,50",562
Wels-Land,Oberösterreich,"68,4",50,"519,90",380
Wien,Wien,"149,4",#ERROR!,"1.184,60",22.478
Wiener Neustadt,Niederöstereich,"75,1",34,"686,9",311
Wiener Neustadt (Land),Niederöstereich,"53,9",42,"439,8",343
Wolfsberg,Kärnten,"24,7",13,"195,3",103
Zell am See,Salzburg,"61,7",54,"615,1",538
Zwettl,Niederöstereich,"80,5",34,"554,2",234
