Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"57,5",67,"8448,30",9844
Baden,Niederösterreich,"30,7",45,"6658,20",9771
Bludenz,Vorarlberg,92,59,"6417,40",4114
Braunau am Inn,Oberösterreich,"83,4",88,"8526,50",9000
Bregenz,Vorarlberg,"144,5",195,"7054,80",9523
Bruck an der Leitha,Niederösterreich,"31,8",33,"5785,90",6002
Bruck-Mürzzuschlag,Steiermark,"65,9",65,"6067,10",5988
Deutschlandsberg,Steiermark,"80,5",49,"6570,10",3999
Dornbirn,Vorarlberg,"112,3",101,"8322,60",7483
Eferding,Oberösterreich,"81,4",27,"8339,90",2767
Eisenstadt,Burgenland,"67,5",10,"6641,50",984
Eisenstadt-Umgebung,Burgenland,"41,6",18,"5396,00",2333
Feldkirch,Vorarlberg,110,119,"7499,10",8109
Feldkirchen,Kärnten,97,29,"7949,30",2377
Freistadt,Oberösterreich,"65,8",44,"8158,70",5455
Gänserndorf,Niederösterreich,42,44,"5489,50",5752
Gmünd,Niederösterreich,"30,1",11,"7326,30",2678
Gmunden,Oberösterreich,"62,8",64,"7568,30",7709
Graz,Steiermark,"81,8",238,"5478,00",15945
Graz-Umgebung,Steiermark,"88,4",138,"5526,40",8625
Grieskirchen,Oberösterreich,"44,7",29,"7966,10",5168
Güssing,Burgenland,"31,1",8,"7062,50",1815
Hallein,Salzburg,"110,2",67,"10869,10",6611
Hartberg-Fürstenfeld,Steiermark,"65,1",59,"7970,80",7222
Hermagor,Kärnten,"22,2",4,"10374,40",1873
Hollabrunn,Niederösterreich,"45,1",23,"5063,40",2584
Horn,Niederösterreich,"58,2",18,"4894,00",1514
Imst,Tirol,"251,3",152,"8435,00",5101
Innsbruck-Land,Tirol,"73,1",132,"7465,10",13471
Innsbruck-Stadt,Tirol,"90,9",120,"7199,90",9501
Jennersdorf,Burgenland,"5,8",1,"7562,70",1293
Kirchdorf an der Krems,Oberösterreich,"98,1",56,"7319,00",4177
Kitzbühel,Tirol,"77,9",50,"6881,90",4416
Klagenfurt Land,Kärnten,"56,7",34,"6911,70",4148
Klagenfurt Stadt,Kärnten,"61,2",62,"6076,00",6155
Korneuburg,Niederösterreich,46,42,"4706,60",4295
Krems (Land),Niederösterreich,"77,9",44,"5788,90",3270
Krems an der Donau,Niederösterreich,28,7,"5448,20",1364
Kufstein,Tirol,"51,7",57,"8431,60",9299
Landeck,Tirol,"114,9",51,"8155,70",3620
Leibnitz,Steiermark,"75,5",64,"6885,60",5836
Leoben,Steiermark,"63,7",38,"5571,20",3326
Lienz,Tirol,"75,9",37,"10802,70",5265
Liezen,Steiermark,"69,1",55,"6789,50",5408
Lilienfeld,Niederösterreich,"105,2",27,"6365,20",1633
Linz,Oberösterreich,76,157,"6515,20",13460
Linz-Land,Oberösterreich,"54,2",82,"6630,70",10037
Mattersburg,Burgenland,"52,4",21,"5621,60",2251
Melk,Niederösterreich,"48,6",38,"7283,40",5695
Mistelbach,Niederösterreich,"23,8",18,"4905,80",3710
Mödling,Niederösterreich,"47,9",57,"5327,60",6346
Murau,Steiermark,"130,7",36,"7112,50",1959
Murtal,Steiermark,"157,6",113,"6923,50",4964
Neunkirchen,Niederösterreich,"35,9",31,"6834,40",5901
Neusiedl am See,Burgenland,"43,3",26,"5382,60",3229
Oberpullendorf,Burgenland,16,6,"5925,00",2215
Oberwart,Burgenland,"31,4",17,"6659,70",3609
Perg,Oberösterreich,"68,1",47,"8366,20",5770
Reutte,Tirol,"91,4",30,"6093,60",2001
Ried im Innkreis,Oberösterreich,"58,4",36,"9465,10",5839
Rohrbach,Oberösterreich,"28,3",16,"9001,70",5090
Rust,Burgenland,0,±0,"3787,90",75
Salzburg,Salzburg,"56,1",87,"7477,70",11592
Salzburg-Umgebung,Salzburg,"34,5",53,"8014,10",12301
Sankt Johann im Pongau,Salzburg,"71,4",58,"11728,70",9523
Sankt Pölten,Niederösterreich,"124,3",69,"6841,50",3798
Sankt Pölten (Land),Niederösterreich,"85,8",113,"5868,90",7731
Sankt Veit an der Glan,Kärnten,"40,6",22,"7203,00",3903
Schärding,Oberösterreich,"55,8",32,"9269,70",5320
Scheibbs,Niederösterreich,"38,6",16,"9040,40",3744
Schwaz,Tirol,"28,5",24,"10666,60",8995
Spittal an der Drau,Kärnten,"90,9",69,"7572,40",5745
Steyr,Oberösterreich,"81,5",31,"6259,20",2382
Steyr-Land,Oberösterreich,"67,5",41,"6935,50",4211
Südoststeiermark,Steiermark,"66,6",56,"7072,00",5943
