Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10148;25;85
Rust(Stadt);102;2021;1266;5;6
Eisenstadt-Umgebung;103;44488;28626;75;204
Güssing;104;25809;16174;101;95
Jennersdorf;105;17216;9869;44;39
Mattersburg;106;40731;25923;87;109
Neusiedl am See;107;61358;40323;85;177
Oberpullendorf;108;37556;23720;68;120
Oberwart;109;54682;33361;144;205
Klagenfurt Stadt;201;103297;57692;300;174
Villach Stadt;202;64125;34964;174;71
Hermagor;203;18069;10562;66;39
Klagenfurt Land;204;61114;35051;127;77
Sankt Veit an der Glan;205;53953;32210;167;92
Spittal an der Drau;206;75725;43796;276;102
Villach Land;207;65635;37816;205;61
Völkermarkt;208;41947;25857;121;82
Wolfsberg;209;52352;29825;201;57
Feldkirchen;210;29949;17011;83;40
Krems an der Donau(Stadt);301;24930;15115;75;80
Sankt Pölten(Stadt);302;56697;36372;146;177
Waidhofen an der Ybbs(Stadt);303;11187;7811;58;13
Wiener Neustadt(Stadt);304;47407;30066;216;122
Amstetten;305;117442;86615;309;350
Baden;306;148765;95362;358;530
Bruck an der Leitha;307;107297;69957;220;477
Gänserndorf;308;107504;67039;214;356
Gmünd;309;36152;22116;157;151
Hollabrunn;310;51879;31322;109;139
Horn;311;30875;18518;60;102
Korneuburg;312;92442;59716;145;460
Krems(Land);313;56840;37308;107;174
Lilienfeld;314;25491;17077;110;52
Melk;315;78779;57480;402;240
Mistelbach;316;76641;47653;107;395
Mödling;317;120412;76610;295;576
Neunkirchen;318;87048;55586;250;231
Sankt Pölten(Land);319;133497;90899;336;546
Scheibbs;320;41711;30542;96;82
Tulln;321;107723;68476;214;430
Waidhofen an der Thaya;322;25644;16352;80;60
Wiener Neustadt(Land);323;80020;52264;217;177
Zwettl;325;41757;28963;84;126
Linz(Stadt);401;208445;122149;465;702
Steyr(Stadt);402;37915;22349;77;90
Wels(Stadt);403;63542;38852;163;193
Braunau am Inn;404;108388;75153;266;317
Eferding;405;33715;22557;79;126
Freistadt;406;67638;47149;193;277
Gmunden;407;102765;68695;252;292
Grieskirchen;408;65929;46457;152;274
Kirchdorf an der Krems;409;57882;38193;160;152
Linz-Land;410;154320;97680;290;556
Perg;411;69905;49038;153;401
Ried im Innkreis;412;62535;43697;170;239
Rohrbach;413;57034;39525;165;230
Schärding;414;57750;39015;156;134
Steyr-Land;415;61494;41857;155;193
Urfahr-Umgebung;416;87466;60518;160;360
Vöcklabruck;417;139989;97212;336;491
Wels-Land;418;75514;52533;121;346
Salzburg(Stadt);501;155743;100565;327;520
Hallein;502;61262;45057;144;176
Salzburg-Umgebung;503;155982;114710;314;465
Sankt Johann im Pongau;504;81962;56499;184;192
Tamsweg;505;20327;13688;68;24
Zell am See;506;89017;55624;197;205
Graz(Stadt);601;293929;168031;585;820
Deutschlandsberg;603;61092;35669;181;111
Graz-Umgebung;606;161131;96728;433;454
Leibnitz;610;86399;51850;192;246
Leoben;611;59341;30649;193;63
Liezen;612;79739;45422;226;148
Murau;614;27343;14876;59;12
Voitsberg;616;51165;27851;190;87
Weiz;617;91844;55623;259;171
Murtal;620;71398;38358;293;68
Bruck-Mürzzuschlag;621;98394;50368;357;143
Hartberg-Fürstenfeld;622;91091;53897;303;187
Südoststeiermark;623;84024;49032;295;193
Innsbruck-Stadt;701;130599;83869;254;464
Imst;702;61843;42159;96;171
Innsbruck-Land;703;183827;122182;285;604
Kitzbühel;704;65482;41092;98;181
Kufstein;705;112301;74173;245;267
Landeck;706;44681;31704;92;141
Lienz;707;48854;33292;146;75
Reutte;708;33427;21259;29;60
Schwaz;709;85478;53074;218;299
Bludenz;801;64943;42635;96;106
Bregenz;802;136369;84676;238;243
Dornbirn;803;91344;58413;170;192
Feldkirch;804;110547;71627;178;217
Wien;900;1951354;1336643;4618;9206
