Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"730,30",851,"2.837,30",3.306
Baden,Niederösterreich,"299,1",439,"1.900,50",2.789
Bludenz,Vorarlberg,535,343,"3.057,40",1.960
Braunau am Inn,Oberösterreich,"537,2",567,"2.303,10",2.431
Bregenz,Vorarlberg,"556,3",751,"3.270,70",4.415
Bruck an der Leitha,Niederösterreich,"318,1",330,"1.769,90",1.836
Bruck-Mürzzuschlag,Steiermark,"527,9",521,"2.118,60",2.091
Deutschlandsberg,Steiermark,"313,8",191,"1.534,50",934
Dornbirn,Vorarlberg,"662,9",596,"4.131,80",3.715
Eferding,Oberösterreich,"907,2",301,"4.222,70",1.401
Eisenstadt,Burgenland,"330,7",49,"2.159,80",320
Eisenstadt-Umgebung,Burgenland,"312,2",135,"1.901,20",822
Feldkirch,Vorarlberg,"618,7",669,"3.293,20",3.561
Feldkirchen,Kärnten,"692,3",207,"1.996,50",597
Freistadt,Oberösterreich,"545,9",365,"3.534,20",2.363
Gänserndorf,Niederösterreich,"159,4",167,"1.386,70",1.453
Gmünd,Niederösterreich,"470,5",172,"2.563,40",937
Gmunden,Oberösterreich,"471,2",480,"2.728,30",2.779
Graz,Steiermark,"349,4",#ERROR!,2.008,5.844
Graz-Umgebung,Steiermark,"363,9",568,1.770,2.762
Grieskirchen,Oberösterreich,743,482,"3.722,50",2.415
Güssing,Burgenland,"420,2",108,"2.362,00",607
Hallein,Salzburg,"647,8",394,"3.681,10",2.239
Hartberg-Fürstenfeld,Steiermark,"459,1",416,"2.397,20",2.172
Hermagor,Kärnten,"537,3",97,"2.226,70",402
Hollabrunn,Niederösterreich,"350,8",179,"1.691,10",863
Horn,Niederösterreich,"229,5",71,"1.318,90",408
Imst,Tirol,"649,9",393,"3.298,90",1.995
Innsbruck-Land,Tirol,"585,7",#ERROR!,3.336,6.020
Innsbruck-Stadt,Tirol,"411,5",543,"3.755,70",4.956
Jennersdorf,Burgenland,"403,6",69,"2.421,50",414
Kirchdorf an der Krems,Oberösterreich,"590,5",337,"2.346,20",1.339
Kitzbühel,Tirol,"542,3",348,"2.803,60",1.799
Klagenfurt Land,Kärnten,"656,5",394,"1.964,50",1.179
Klagenfurt Stadt,Kärnten,"645,60",654,"2.208,30",2.237
Korneuburg,Niederösterreich,"232,3",212,"1.873,90",1.710
Krems (Land),Niederösterreich,"440,8",249,"2.490,80",1.407
Krems an der Donau,Niederösterreich,"483,3",121,"2.488,40",623
Kufstein,Tirol,"770,70",850,"3.884,40",4.284
Landeck,Tirol,"295,1",131,"4.276,10",1.898
Leibnitz,Steiermark,386,327,"2.238,20",1.897
Leoben,Steiermark,"435,50",260,"2.055,30",1.227
Lienz,Tirol,"736,60",359,"2.538,10",1.237
Liezen,Steiermark,"433,10",345,"2.219,70",1.768
Lilienfeld,Niederösterreich,"350,80",90,"2.416,70",620
Linz,Oberösterreich,"553,30",#ERROR!,"2.857,80",5.904
Linz-Land,Oberösterreich,"590,60",894,"2.845,30",4.307
Mattersburg,Burgenland,"287,20",115,"1.770,60",709
Melk,Niederösterreich,629,492,"2.241,90",1.753
Mistelbach,Niederösterreich,"281,70",213,"1.424,10",1.077
Mödling,Niederösterreich,"221,60",264,"1.915,80",2.282
Murau,Steiermark,"530,10",146,"1.550,30",427
Murtal,Steiermark,"460,30",330,"1.793,60",1.286
Neunkirchen,Niederösterreich,"278,00",240,"1.841,50",1.590
Neusiedl am See,Burgenland,"285,00",171,"1.691,90",1.015
Oberpullendorf,Burgenland,"508,20",190,"2.493,00",932
Oberwart,Burgenland,362,196,"2.474,50",1.341
Perg,Oberösterreich,"685,80",473,"3.374,00",2.327
Reutte,Tirol,"353,20",116,"1.836,30",603
Ried im Innkreis,Oberösterreich,"854,30",527,"4.195,20",2.588
Rohrbach,Oberösterreich,"1.103,50",624,"5.056,10",2.859
Rust,Burgenland,"404,00",8,"1.868,70",37
Salzburg,Salzburg,"543,20",842,"2.342,90",3.632
Salzburg-Umgebung,Salzburg,"603,90",927,"2.879,00",4.419
Sankt Johann im Pongau,Salzburg,"785,80",638,"4.316,80",3.505
Sankt Pölten,Niederösterreich,"497,20",276,"2.390,40",1.327
Sankt Pölten (Land),Niederösterreich,"409,90",540,"2.057,30",2.710
Sankt Veit an der Glan,Kärnten,"655,20",355,"2.120,50",1.149
Schärding,Oberösterreich,"690,00",396,"3.795,00",2.178
Scheibbs,Niederösterreich,"886,20",367,"3.013,50",1.248
Schwaz,Tirol,"1.160,90",979,"5.963,50",5.029
Spittal an der Drau,Kärnten,"369,10",280,"1.079,50",819
Steyr,Oberösterreich,"480,90",183,"2.743,30",1.044
Steyr-Land,Oberösterreich,"504,00",306,"3.210,00",1.949
Südoststeiermark,Steiermark,"492,6",414,"2.263,30",1.902
Tamsweg,Salzburg,"893,8",181,"3.367,70",682
Tulln,Niederösterreich,"290,70",304,"1.974,30",2.065
Urfahr-Umgebung,Oberösterreich,"839,5",722,"3.945,10",3.393
Villach Land,Kärnten,"515,3",333,"1.651,20",1.067
Villach Stadt,Kärnten,555,349,1.821,1.145
Vöcklabruck,Oberösterreich,"631,5",867,3.076,4.223
Voitsberg,Steiermark,"589,7",301,"2.337,20",1.193
Völkermarkt,Kärnten,"666,5",279,2.733,1.144
Waidhofen an der Thaya,Niederösterreich,"260,9",67,"2.277,90",585
Waidhofen an der Ybbs,Niederösterreich,"588,1",66,"2.388,20",268
Weiz,Steiermark,"377,3",342,1.857,1.683
Wels,Oberösterreich,"624,3",390,"3.342,40",2.088
Wels-Land,Oberösterreich,"573,3",423,"2.675,60",1.974
Wien,Wien,"343,2",#ERROR!,"2.769,00",52.921
Wiener Neustadt,Niederösterreich,"379,7",174,"2.433,30",1.115
Wiener Neustadt (Land),Niederösterreich,"306,5",240,"1.735,50",1.359
Wolfsberg,Kärnten,"655,8",345,"2.121,40",1.116
Zell am See,Salzburg,"787,4",690,"2.736,60",2.398
Zwettl,Niederösterreich,"559,7",235,"2.295,90",964
