Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;9490;25;44
Rust(Stadt);102;2021;1175;5;12
Eisenstadt-Umgebung;103;44488;26925;74;187
Güssing;104;25809;15277;101;97
Jennersdorf;105;17216;9455;44;42
Mattersburg;106;40731;24570;86;175
Neusiedl am See;107;61358;37784;85;379
Oberpullendorf;108;37556;22330;67;166
Oberwart;109;54682;31474;144;222
Klagenfurt Stadt;201;103297;55785;297;353
Villach Stadt;202;64125;33968;174;226
Hermagor;203;18069;10183;63;34
Klagenfurt Land;204;61114;34060;127;152
Sankt Veit an der Glan;205;53953;31484;167;113
Spittal an der Drau;206;75725;42662;275;132
Villach Land;207;65635;36845;205;215
Völkermarkt;208;41947;25222;121;106
Wolfsberg;209;52352;28991;195;95
Feldkirchen;210;29949;16680;83;52
Krems an der Donau(Stadt);301;24930;14369;74;90
Sankt Pölten(Stadt);302;56697;34362;145;304
Waidhofen an der Ybbs(Stadt);303;11187;7580;40;41
Wiener Neustadt(Stadt);304;47407;28616;206;220
Amstetten;305;117442;83663;309;403
Baden;306;148765;89801;344;673
Bruck an der Leitha;307;107297;65297;217;524
Gänserndorf;308;107504;62747;193;545
Gmünd;309;36152;21273;157;124
Hollabrunn;310;51879;29357;105;292
Horn;311;30875;17694;60;135
Korneuburg;312;92442;55570;145;495
Krems(Land);313;56840;35607;105;240
Lilienfeld;314;25491;16560;110;76
Melk;315;78779;55218;335;331
Mistelbach;316;76641;44626;106;469
Mödling;317;120412;71231;286;627
Neunkirchen;318;87048;52864;250;360
Sankt Pölten(Land);319;133497;85806;330;660
Scheibbs;320;41711;29568;95;156
Tulln;321;107723;63838;213;587
Waidhofen an der Thaya;322;25644;15652;76;149
Wiener Neustadt(Land);323;80020;49764;209;315
Zwettl;325;41757;27917;84;121
Linz(Stadt);401;208445;117144;459;512
Steyr(Stadt);402;37915;21591;72;145
Wels(Stadt);403;63542;37453;159;158
Braunau am Inn;404;108388;73184;265;182
Eferding;405;33715;21695;79;78
Freistadt;406;67638;45617;191;149
Gmunden;407;102765;66207;246;218
Grieskirchen;408;65929;44752;150;150
Kirchdorf an der Krems;409;57882;36972;158;123
Linz-Land;410;154320;93966;287;397
Perg;411;69905;47368;151;204
Ried im Innkreis;412;62535;42269;170;117
Rohrbach;413;57034;38347;162;177
Schärding;414;57750;37893;155;179
Steyr-Land;415;61494;40490;152;241
Urfahr-Umgebung;416;87466;58317;158;255
Vöcklabruck;417;139989;94090;336;305
Wels-Land;418;75514;50335;118;203
Salzburg(Stadt);501;155743;96711;311;462
Hallein;502;61262;43808;143;144
Salzburg-Umgebung;503;155982;111140;311;408
Sankt Johann im Pongau;504;81962;55106;184;190
Tamsweg;505;20327;13391;68;36
Zell am See;506;89017;54054;194;158
Graz(Stadt);601;293929;160038;563;792
Deutschlandsberg;603;61092;34605;179;108
Graz-Umgebung;606;161131;92479;425;542
Leibnitz;610;86399;49840;189;257
Leoben;611;59341;29738;190;135
Liezen;612;79739;44283;226;109
Murau;614;27343;14669;59;35
Voitsberg;616;51165;26927;186;122
Weiz;617;91844;54078;255;267
Murtal;620;71398;37317;284;118
Bruck-Mürzzuschlag;621;98394;48800;354;217
Hartberg-Fürstenfeld;622;91091;51919;297;279
Südoststeiermark;623;84024;47394;293;191
Innsbruck-Stadt;701;130599;80219;246;512
Imst;702;61843;40926;93;166
Innsbruck-Land;703;183827;117549;276;608
Kitzbühel;704;65482;39809;97;111
Kufstein;705;112301;72405;243;211
Landeck;706;44681;30601;90;164
Lienz;707;48854;32628;145;104
Reutte;708;33427;20793;29;70
Schwaz;709;85478;51541;216;197
Bludenz;801;64943;41627;95;173
Bregenz;802;136369;82384;235;414
Dornbirn;803;91344;56660;168;345
Feldkirch;804;110547;69579;176;267
Wien;900;1951354;1248241;4405;10063
