Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10680;25;2
Rust(Stadt);102;2021;1329;5;2
Eisenstadt-Umgebung;103;44488;30190;78;9
Güssing;104;25809;16923;101;4
Jennersdorf;105;17216;10100;44;3
Mattersburg;106;40731;26991;88;8
Neusiedl am See;107;61358;42736;85;18
Oberpullendorf;108;37556;25176;68;6
Oberwart;109;54682;34734;145;7
Klagenfurt Stadt;201;103297;59484;304;27
Villach Stadt;202;64125;35808;174;7
Hermagor;203;18069;10714;66;4
Klagenfurt Land;204;61114;36051;127;12
Sankt Veit an der Glan;205;53953;33104;167;5
Spittal an der Drau;206;75725;44651;275;4
Villach Land;207;65635;38651;204;4
Völkermarkt;208;41947;26655;121;4
Wolfsberg;209;52352;30381;203;5
Feldkirchen;210;29949;17389;83;2
Krems an der Donau(Stadt);301;24930;15886;75;8
Sankt Pölten(Stadt);302;56697;38016;146;12
Waidhofen an der Ybbs(Stadt);303;11187;8135;59;0
Wiener Neustadt(Stadt);304;47407;31170;223;14
Amstetten;305;117442;90186;309;7
Baden;306;148765;99993;364;76
Bruck an der Leitha;307;107297;74234;220;51
Gänserndorf;308;107504;71035;305;41
Gmünd;309;36152;23178;158;3
Hollabrunn;310;51879;32900;116;9
Horn;311;30875;19213;60;0
Korneuburg;312;92442;63489;145;34
Krems(Land);313;56840;38884;163;13
Lilienfeld;314;25491;17785;111;0
Melk;315;78779;59559;499;10
Mistelbach;316;76641;50225;107;26
Mödling;317;120412;81753;308;65
Neunkirchen;318;87048;57753;251;28
Sankt Pölten(Land);319;133497;95251;336;48
Scheibbs;320;41711;31543;98;5
Tulln;321;107723;72004;214;41
Waidhofen an der Thaya;322;25644;17105;80;3
Wiener Neustadt(Land);323;80020;54187;218;13
Zwettl;325;41757;30263;84;17
Linz(Stadt);401;208445;127268;474;36
Steyr(Stadt);402;37915;23388;84;2
Wels(Stadt);403;63542;40417;165;4
Braunau am Inn;404;108388;77183;270;11
Eferding;405;33715;23392;81;2
Freistadt;406;67638;48552;202;4
Gmunden;407;102765;71144;256;8
Grieskirchen;408;65929;47902;159;8
Kirchdorf an der Krems;409;57882;39563;167;6
Linz-Land;410;154320;101248;296;24
Perg;411;69905;50790;155;8
Ried im Innkreis;412;62535;44974;170;6
Rohrbach;413;57034;40794;165;8
Schärding;414;57750;39930;156;2
Steyr-Land;415;61494;43487;158;4
Urfahr-Umgebung;416;87466;62750;161;6
Vöcklabruck;417;139989;100317;340;15
Wels-Land;418;75514;54533;123;8
Salzburg(Stadt);501;155743;103639;342;31
Hallein;502;61262;45993;148;9
Salzburg-Umgebung;503;155982;117640;318;13
Sankt Johann im Pongau;504;81962;57548;184;3
Tamsweg;505;20327;13947;68;2
Zell am See;506;89017;56697;201;2
Graz(Stadt);601;293929;173806;609;65
Deutschlandsberg;603;61092;36416;184;8
Graz-Umgebung;606;161131;99959;441;35
Leibnitz;610;86399;53487;195;29
Leoben;611;59341;31757;197;8
Liezen;612;79739;46815;229;5
Murau;614;27343;15166;60;2
Voitsberg;616;51165;28376;191;3
Weiz;617;91844;56847;259;6
Murtal;620;71398;39323;294;7
Bruck-Mürzzuschlag;621;98394;51842;359;13
Hartberg-Fürstenfeld;622;91091;55183;311;9
Südoststeiermark;623;84024;50471;296;18
Innsbruck-Stadt;701;130599;86554;261;21
Imst;702;61843;43189;103;2
Innsbruck-Land;703;183827;126127;292;35
Kitzbühel;704;65482;42024;102;4
Kufstein;705;112301;75602;256;3
Landeck;706;44681;32290;93;3
Lienz;707;48854;33977;148;4
Reutte;708;33427;21705;34;1
Schwaz;709;85478;54229;222;4
Bludenz;801;64943;43374;99;6
Bregenz;802;136369;86128;242;9
Dornbirn;803;91344;59545;171;7
Feldkirch;804;110547;72741;179;7
Wien;900;1951354;1418462;4806;941
