Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;6823;22;50
Rust(Stadt);102;2000;865;2;0
Eisenstadt-Umgebung;103;43861;19292;68;157
Güssing;104;25770;11344;94;53
Jennersdorf;105;17109;7582;41;38
Mattersburg;106;40316;17688;82;164
Neusiedl am See;107;60397;26827;83;180
Oberpullendorf;108;37453;16088;63;117
Oberwart;109;54209;23742;145;113
Klagenfurt Stadt;201;101765;41502;272;205
Villach Stadt;202;63236;26116;172;106
Hermagor;203;18052;8292;61;36
Klagenfurt Land;204;60503;26264;126;158
Sankt Veit an der Glan;205;53880;23849;163;96
Spittal an der Drau;206;75628;34766;262;105
Villach Land;207;64920;28921;189;120
Völkermarkt;208;41834;20032;116;105
Wolfsberg;209;52488;23630;178;116
Feldkirchen;210;29783;13513;82;33
Krems an der Donau(Stadt);301;24837;10688;72;57
Sankt Pölten(Stadt);302;55878;26174;131;138
Waidhofen an der Ybbs(Stadt);303;11134;6103;38;27
Wiener Neustadt(Stadt);304;46456;21872;177;114
Amstetten;305;116592;67386;300;207
Baden;306;147113;67134;311;391
Bruck an der Leitha;307;105507;46884;215;382
Gänserndorf;308;105824;44862;165;390
Gmünd;309;36275;16601;152;93
Hollabrunn;310;51332;21360;90;150
Horn;311;30838;13435;60;57
Korneuburg;312;91777;38456;137;397
Krems(Land);313;56559;27175;97;146
Lilienfeld;314;25474;13506;113;63
Melk;315;78281;43410;269;113
Mistelbach;316;75655;32031;96;379
Mödling;317;119240;50406;263;366
Neunkirchen;318;86323;40508;246;281
Sankt Pölten(Land);319;132064;63699;289;411
Scheibbs;320;41567;24235;94;73
Tulln;321;105762;45405;201;372
Waidhofen an der Thaya;322;25531;11960;67;46
Wiener Neustadt(Land);323;79033;38122;195;201
Zwettl;325;41827;22191;84;105
Linz(Stadt);401;206537;90009;426;500
Steyr(Stadt);402;37952;16935;65;90
Wels(Stadt);403;62654;30391;154;99
Braunau am Inn;404;106492;59854;252;257
Eferding;405;33368;16738;73;64
Freistadt;406;66922;36457;182;124
Gmunden;407;102102;52705;227;182
Grieskirchen;408;65137;35326;142;107
Kirchdorf an der Krems;409;57163;29091;147;101
Linz-Land;410;152391;73098;275;360
Perg;411;69241;37807;147;139
Ried im Innkreis;412;61850;33857;166;102
Rohrbach;413;56623;30362;156;103
Schärding;414;57438;30571;153;159
Steyr-Land;415;60936;31578;145;122
Urfahr-Umgebung;416;86235;44430;153;229
Vöcklabruck;417;137993;75133;326;249
Wels-Land;418;74574;39838;114;149
Salzburg(Stadt);501;155416;74510;284;422
Hallein;502;60992;35950;137;120
Salzburg-Umgebung;503;154624;89035;296;456
Sankt Johann im Pongau;504;81392;46148;184;96
Tamsweg;505;20118;10875;64;50
Zell am See;506;88168;44669;183;124
Graz(Stadt);601;291134;120114;533;717
Deutschlandsberg;603;60871;28062;175;111
Graz-Umgebung;606;157853;71427;414;363
Leibnitz;610;85294;39897;180;127
Leoben;611;59151;23208;184;104
Liezen;612;79592;36205;215;145
Murau;614;27449;11704;59;38
Voitsberg;616;50947;22121;177;67
Weiz;617;90916;44389;250;161
Murtal;620;71356;30570;269;163
Bruck-Mürzzuschlag;621;98054;38902;350;202
Hartberg-Fürstenfeld;622;90619;42071;300;97
Südoststeiermark;623;83841;38705;284;111
Innsbruck-Stadt;701;131059;61219;219;291
Imst;702;60922;33444;85;86
Innsbruck-Land;703;181698;91387;260;454
Kitzbühel;704;64676;32248;95;105
Kufstein;705;111080;58672;235;253
Landeck;706;44346;25437;84;75
Lienz;707;48814;26144;133;95
Reutte;708;33054;16157;23;131
Schwaz;709;84456;42377;201;157
Bludenz;801;64368;34267;87;132
Bregenz;802;135310;67809;225;327
Dornbirn;803;90502;46540;159;187
Feldkirch;804;109057;56395;166;220
Wien;900;1920949;896335;3969;6887
