Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"79,8",93,"6519,90",7597
Baden,Niederösterreich,"298,5",438,"4716,20",6921
Bludenz,Vorarlberg,"87,4",56,"5470,50",3507
Braunau am Inn,Oberösterreich,"305,1",322,"5972,40",6304
Bregenz,Vorarlberg,"55,6",75,"5425,00",7323
Bruck an der Leitha,Niederösterreich,"249,7",259,"3971,70",4120
Bruck-Mürzzuschlag,Steiermark,"189,5",187,"4972,80",4908
Deutschlandsberg,Steiermark,"165,9",101,"4651,10",2831
Dornbirn,Vorarlberg,"70,1",63,"6828,90",6140
Eferding,Oberösterreich,"129,6",43,"6929,30",2299
Eisenstadt,Burgenland,189,28,"4454,60",660
Eisenstadt-Umgebung,Burgenland,"127,2",55,"3807,00",1646
Feldkirch,Vorarlberg,"99,9",108,"6039,80",6531
Feldkirchen,Kärnten,"137,1",41,"5875,90",1757
Freistadt,Oberösterreich,"98,7",66,"6371,40",4260
Gänserndorf,Niederösterreich,"284,4",298,"3879,50",4065
Gmünd,Niederösterreich,"273,6",100,"5485,20",2005
Gmunden,Oberösterreich,"167,9",171,"5968,10",6079
Graz,Steiermark,"128,1",373,"4065,30",11833
Graz-Umgebung,Steiermark,"105,1",164,"4107,10",6410
Grieskirchen,Oberösterreich,"63,2",41,"6769,90",4392
Güssing,Burgenland,"182,9",47,"5420,40",1393
Hallein,Salzburg,"203,9",124,"8611,70",5238
Hartberg-Fürstenfeld,Steiermark,"257,2",233,"5926,80",5370
Hermagor,Kärnten,"592,7",107,"9333,10",1685
Hollabrunn,Niederösterreich,"182,2",93,"3636,90",1856
Horn,Niederösterreich,"193,9",60,"3109,60",962
Imst,Tirol,"185,2",112,"6005,90",3632
Innsbruck-Land,Tirol,"63,7",115,"5697,30",10281
Innsbruck-Stadt,Tirol,"58,4",77,"5411,40",7141
Jennersdorf,Burgenland,310,53,"5907,50",1010
Kirchdorf an der Krems,Oberösterreich,"199,8",114,"5363,50",3061
Kitzbühel,Tirol,"137,1",88,"5643,00",3621
Klagenfurt Land,Kärnten,"188,3",113,"5345,40",3208
Klagenfurt Stadt,Kärnten,151,153,"4860,80",4924
Korneuburg,Niederösterreich,"163,3",149,"3422,30",3123
Krems (Land),Niederösterreich,"118,6",67,"4478,90",2530
Krems an der Donau,Niederösterreich,"111,8",28,"4118,10",1031
Kufstein,Tirol,"124,2",137,"6724,30",7416
Landeck,Tirol,"123,9",55,"6846,80",3039
Leibnitz,Steiermark,"206,5",175,"4968,40",4211
Leoben,Steiermark,"135,7",81,"4325,00",2582
Lienz,Tirol,"334,4",163,"7679,80",3743
Liezen,Steiermark,"163,2",130,"5266,70",4195
Lilienfeld,Niederösterreich,"155,9",40,"4615,10",1184
Linz,Oberösterreich,91,188,"4947,80",10222
Linz-Land,Oberösterreich,"103,1",156,"5062,40",7663
Mattersburg,Burgenland,"179,8",72,"4035,80",1616
Melk,Niederösterreich,"103,6",81,"5133,60",4014
Mistelbach,Niederösterreich,"277,7",210,"3619,20",2737
Mödling,Niederösterreich,"191,4",228,"3848,40",4584
Murau,Steiermark,"112,6",31,"4999,50",1377
Murtal,Steiermark,"114,4",82,"5000,10",3585
Neunkirchen,Niederösterreich,"244,4",211,"4760,10",4110
Neusiedl am See,Burgenland,"166,7",100,"3979,00",2387
Oberpullendorf,Burgenland,"139,1",52,"4501,90",1683
Oberwart,Burgenland,227,123,"4489,60",2433
Perg,Oberösterreich,"259,5",179,"6485,60",4473
Reutte,Tirol,"27,4",9,"4269,40",1402
Ried im Innkreis,Oberösterreich,"183,2",113,"7263,70",4481
Rohrbach,Oberösterreich,"157,4",89,"8073,20",4565
Rust,Burgenland,101,2,"3535,40",70
Salzburg,Salzburg,"180,6",280,"5728,90",8881
Salzburg-Umgebung,Salzburg,"234,5",360,"6230,30",9563
Sankt Johann im Pongau,Salzburg,"491,4",399,"9510,60",7722
Sankt Pölten,Niederösterreich,"210,8",117,"4919,50",2731
Sankt Pölten (Land),Niederösterreich,"163,2",215,"4180,60",5507
Sankt Veit an der Glan,Kärnten,"180,9",98,"5763,50",3123
Schärding,Oberösterreich,"167,3",96,"7640,60",4385
Scheibbs,Niederösterreich,"161,8",67,"6490,60",2688
Schwaz,Tirol,"144,7",122,"9610,00",8104
Spittal an der Drau,Kärnten,"196,4",149,"5140,50",3900
Steyr,Oberösterreich,"126,1",48,"4711,50",1793
Steyr-Land,Oberösterreich,"75,8",46,"5726,60",3477
Südoststeiermark,Steiermark,213,179,"5406,00",4543
Tamsweg,Salzburg,"232,1",47,"10285,90",2083
Tulln,Niederösterreich,"121,4",127,"3909,40",4089
Urfahr-Umgebung,Oberösterreich,"105,8",91,"6035,70",5191
Villach Land,Kärnten,"222,8",144,"5114,70",3305
Villach Stadt,Kärnten,159,100,"4330,30",2723
Vöcklabruck,Oberösterreich,"182,1",250,"5990,70",8225
Voitsberg,Steiermark,"117,5",60,"4600,00",2348
Völkermarkt,Kärnten,"183,9",77,"6934,70",2903
Waidhofen an der Thaya,Niederösterreich,"346,5",89,"4925,60",1265
Waidhofen an der Ybbs,Niederösterreich,"178,2",20,"6032,80",677
Weiz,Steiermark,"295,6",268,"4614,20",4183
Wels,Oberösterreich,"228,9",143,"6425,50",4014
Wels-Land,Oberösterreich,"204,7",151,"5404,10",3987
Wien,Wien,"228,9",#ERROR!,"5020,90",95959
Wiener Neustadt,Niederösterreich,563,258,"6121,40",2805
Wiener Neustadt (Land),Niederösterreich,"334,6",262,"4511,70",3533
Wolfsberg,Kärnten,"129,3",68,"5295,90",2786
Zell am See,Salzburg,"184,9",162,"6509,30",5704
Zwettl,Niederösterreich,"233,4",98,"6099,50",2561
