Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"118,4",138,"6065,90",7068
Baden,Niederösterreich,"112,4",165,"3657,90",5368
Bludenz,Vorarlberg,"109,2",70,"5027,50",3223
Braunau am Inn,Oberösterreich,"141,2",149,"4865,80",5136
Bregenz,Vorarlberg,"91,9",124,"5162,70",6969
Bruck an der Leitha,Niederösterreich,"76,2",79,"3159,00",3277
Bruck-Mürzzuschlag,Steiermark,"88,1",87,"4184,50",4130
Deutschlandsberg,Steiermark,"177,4",108,"3854,30",2346
Dornbirn,Vorarlberg,"143,5",129,"6377,30",5734
Eferding,Oberösterreich,"117,5",39,"6552,50",2174
Eisenstadt,Burgenland,"20,2",3,"3820,20",566
Eisenstadt-Umgebung,Burgenland,"57,8",25,"3224,20",1394
Feldkirch,Vorarlberg,"83,2",90,"5576,50",6030
Feldkirchen,Kärnten,"127,1",38,"5227,10",1563
Freistadt,Oberösterreich,"83,8",56,"5970,60",3992
Gänserndorf,Niederösterreich,"187,1",196,"2849,70",2986
Gmünd,Niederösterreich,"76,6",28,"4620,70",1689
Gmunden,Oberösterreich,"154,1",157,"5345,60",5445
Graz,Steiermark,"84,5",246,"3488,50",10154
Graz-Umgebung,Steiermark,"87,1",136,"3492,70",5451
Grieskirchen,Oberösterreich,111,72,"6383,00",4141
Güssing,Burgenland,"206,2",53,"4591,60",1180
Hallein,Salzburg,"231,8",141,"7750,20",4714
Hartberg-Fürstenfeld,Steiermark,"129,1",117,"4625,50",4191
Hermagor,Kärnten,"243,7",44,"6613,50",1194
Hollabrunn,Niederösterreich,"76,4",39,"2590,50",1322
Horn,Niederösterreich,"155,2",48,"2369,40",733
Imst,Tirol,"49,6",30,"5422,20",3279
Innsbruck-Land,Tirol,"63,2",114,"5400,30",9745
Innsbruck-Stadt,Tirol,"65,2",86,"5144,70",6789
Jennersdorf,Burgenland,"245,7",42,"4468,60",764
Kirchdorf an der Krems,Oberösterreich,"54,3",31,"4862,40",2775
Kitzbühel,Tirol,"107,5",69,"5085,10",3263
Klagenfurt Land,Kärnten,150,90,"4630,60",2779
Klagenfurt Stadt,Kärnten,"72,1",73,"4243,80",4299
Korneuburg,Niederösterreich,"82,2",75,"2848,10",2599
Krems (Land),Niederösterreich,"146,9",83,"3969,10",2242
Krems an der Donau,Niederösterreich,"39,9",10,"3778,60",946
Kufstein,Tirol,"91,6",101,"6219,20",6859
Landeck,Tirol,"47,3",21,"6414,20",2847
Leibnitz,Steiermark,"116,8",99,"4170,80",3535
Leoben,Steiermark,"60,3",36,"3785,60",2260
Lienz,Tirol,"293,4",143,"6397,50",3118
Liezen,Steiermark,"156,9",125,"4705,50",3748
Lilienfeld,Niederösterreich,"54,6",14,"4073,30",1045
Linz,Oberösterreich,"53,2",110,"4543,70",9387
Linz-Land,Oberösterreich,"67,4",102,"4607,20",6974
Mattersburg,Burgenland,"69,9",28,"3471,40",1390
Melk,Niederösterreich,"76,7",60,"4510,70",3527
Mistelbach,Niederösterreich,"80,7",61,"2434,40",1841
Mödling,Niederösterreich,73,87,"3200,30",3812
Murau,Steiermark,"105,3",29,"4382,20",1207
Murtal,Steiermark,"86,5",62,"4528,70",3247
Neunkirchen,Niederösterreich,"74,1",64,"3841,70",3317
Neusiedl am See,Burgenland,"81,7",49,"3265,50",1959
Oberpullendorf,Burgenland,"42,8",16,"4052,50",1515
Oberwart,Burgenland,"73,8",40,"3814,20",2067
Perg,Oberösterreich,"107,3",74,"5754,80",3969
Reutte,Tirol,"152,3",50,"3669,50",1205
Ried im Innkreis,Oberösterreich,"116,7",72,"6629,90",4090
Rohrbach,Oberösterreich,"56,6",32,"7417,10",4194
Rust,Burgenland,"50,5",1,"3383,80",67
Salzburg,Salzburg,"160,6",249,"5019,30",7781
Salzburg-Umgebung,Salzburg,"146,6",225,"5509,10",8456
Sankt Johann im Pongau,Salzburg,"253,7",206,"7953,80",6458
Sankt Pölten,Niederösterreich,"59,4",33,"4334,00",2406
Sankt Pölten (Land),Niederösterreich,"71,4",94,"3597,50",4739
Sankt Veit an der Glan,Kärnten,"86,7",47,"5148,90",2790
Schärding,Oberösterreich,"101,1",58,"6943,60",3985
Scheibbs,Niederösterreich,"142,5",59,"5826,50",2413
Schwaz,Tirol,"206,3",174,"8787,00",7410
Spittal an der Drau,Kärnten,"267,6",203,"4065,00",3084
Steyr,Oberösterreich,"34,2",13,"4406,70",1677
Steyr-Land,Oberösterreich,"42,8",26,"5375,80",3264
Südoststeiermark,Steiermark,"240,4",202,"4416,00",3711
Tamsweg,Salzburg,395,80,"9451,40",1914
Tulln,Niederösterreich,"89,9",94,"3379,80",3535
Urfahr-Umgebung,Oberösterreich,"67,4",58,"5661,30",4869
Villach Land,Kärnten,"120,7",78,"4317,70",2790
Villach Stadt,Kärnten,"116,1",73,"3714,90",2336
Vöcklabruck,Oberösterreich,"120,2",165,"5432,00",7458
