Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"229,1",267,"7965,20",9281
Baden,Niederösterreich,"164,2",241,"6340,00",9304
Bludenz,Vorarlberg,"96,7",62,"5957,20",3819
Braunau am Inn,Oberösterreich,"279,5",295,"7806,50",8240
Bregenz,Vorarlberg,"186,7",252,"6134,70",8281
Bruck an der Leitha,Niederösterreich,213,221,"5404,20",5606
Bruck-Mürzzuschlag,Steiermark,"95,2",94,"5727,60",5653
Deutschlandsberg,Steiermark,207,126,"5753,50",3502
Dornbirn,Vorarlberg,"144,6",130,"7485,10",6730
Eferding,Oberösterreich,"135,6",45,"7948,00",2637
Eisenstadt,Burgenland,"168,7",25,"6135,30",909
Eisenstadt-Umgebung,Burgenland,"113,3",49,"5132,30",2219
Feldkirch,Vorarlberg,"186,8",202,"6744,50",7293
Feldkirchen,Kärnten,"240,8",72,"7287,10",2179
Freistadt,Oberösterreich,"204,9",137,"7639,70",5108
Gänserndorf,Niederösterreich,"150,8",158,"5077,20",5320
Gmünd,Niederösterreich,"232,5",85,"7017,20",2565
Gmunden,Oberösterreich,"178,7",182,"7206,00",7340
Graz,Steiermark,"160,1",466,"4895,70",14250
Graz-Umgebung,Steiermark,"137,1",214,"4976,00",7766
Grieskirchen,Oberösterreich,"123,3",80,"7502,10",4867
Güssing,Burgenland,"175,1",45,"6813,50",1751
Hallein,Salzburg,"157,8",96,"9941,80",6047
Hartberg-Fürstenfeld,Steiermark,"186,5",169,"7314,10",6627
Hermagor,Kärnten,"94,2",17,"10236,00",1848
Hollabrunn,Niederösterreich,143,73,"4706,80",2402
Horn,Niederösterreich,"177,8",55,"4412,30",1365
Imst,Tirol,"180,2",109,"7360,20",4451
Innsbruck-Land,Tirol,"196,7",355,"6847,20",12356
Innsbruck-Stadt,Tirol,"240,2",317,"6543,60",8635
Jennersdorf,Burgenland,"140,4",24,"7217,60",1234
Kirchdorf an der Krems,Oberösterreich,"99,9",57,"6842,40",3905
Kitzbühel,Tirol,"121,6",78,"6546,90",4201
Klagenfurt Land,Kärnten,"193,3",116,"6363,50",3819
Klagenfurt Stadt,Kärnten,"179,7",182,"5766,00",5841
Korneuburg,Niederösterreich,"86,6",79,"4455,70",4066
Krems (Land),Niederösterreich,"120,4",68,"5380,00",3039
Krems an der Donau,Niederösterreich,"107,8",27,"5056,70",1266
Kufstein,Tirol,"251,2",277,"7928,40",8744
Landeck,Tirol,"108,1",48,"7682,60",3410
Leibnitz,Steiermark,"161,6",137,"6282,70",5325
Leoben,Steiermark,"145,7",87,"5232,80",3124
Lienz,Tirol,"408,3",199,"9916,30",4833
Liezen,Steiermark,"154,4",123,"6338,80",5049
Lilienfeld,Niederösterreich,"148,1",38,"5768,90",1480
Linz,Oberösterreich,"207,2",428,"5901,40",12192
Linz-Land,Oberösterreich,"190,9",289,"6080,40",9204
Mattersburg,Burgenland,"99,9",40,"5344,40",2140
Melk,Niederösterreich,"223,8",175,"6807,70",5323
Mistelbach,Niederösterreich,"126,9",96,"4649,30",3516
Mödling,Niederösterreich,131,156,"5063,20",6031
Murau,Steiermark,"192,4",53,"6270,20",1727
Murtal,Steiermark,"206,4",148,"6058,70",4344
Neunkirchen,Niederösterreich,"147,1",127,"6548,30",5654
Neusiedl am See,Burgenland,105,63,"5142,50",3085
Oberpullendorf,Burgenland,99,37,"5785,90",2163
Oberwart,Burgenland,"190,1",103,"6421,60",3480
Perg,Oberösterreich,"201,5",139,"7884,80",5438
Reutte,Tirol,"298,4",98,"5265,20",1729
Ried im Innkreis,Oberösterreich,"317,7",196,"8841,00",5454
Rohrbach,Oberösterreich,"109,6",62,"8747,00",4946
Rust,Burgenland,"50,5",1,"3636,40",72
Salzburg,Salzburg,169,262,"7004,90",10859
Salzburg-Umgebung,Salzburg,"194,8",299,"7590,00",11650
Sankt Johann im Pongau,Salzburg,"166,3",135,"11199,10",9093
Sankt Pölten,Niederösterreich,"163,9",91,"6185,80",3434
Sankt Pölten (Land),Niederösterreich,"157,1",207,"5436,20",7161
Sankt Veit an der Glan,Kärnten,"217,8",118,"6756,40",3661
Schärding,Oberösterreich,"264,8",152,"8661,60",4971
Scheibbs,Niederösterreich,"275,3",114,"8526,10",3531
Schwaz,Tirol,"72,3",61,"10497,00",8852
Spittal an der Drau,Kärnten,"262,3",199,"6781,50",5145
Steyr,Oberösterreich,"220,7",84,"5741,50",2185
Steyr-Land,Oberösterreich,"184,5",112,"6523,70",3961
Südoststeiermark,Steiermark,"154,7",130,"6499,60",5462
Tamsweg,Salzburg,"153,1",31,"11638,90",2357
Tulln,Niederösterreich,"123,3",129,"4838,80",5061
Urfahr-Umgebung,Oberösterreich,"129,1",111,"6734,50",5792
Villach Land,Kärnten,"187,3",121,"6360,50",4110
Villach Stadt,Kärnten,"187,7",118,"5472,20",3441
Vöcklabruck,Oberösterreich,268,368,"7571,90",10396
Voitsberg,Steiermark,"199,8",102,"5814,60",2968
Völkermarkt,Kärnten,"248,4",104,"8129,10",3403
Waidhofen an der Thaya,Niederösterreich,148,38,"6354,60",1632
Waidhofen an der Ybbs,Niederösterreich,"160,4",18,"7405,10",831
Weiz,Steiermark,"159,9",145,"5889,40",5339
Wels,Oberösterreich,"284,9",178,"7951,00",4967
Wels-Land,Oberösterreich,"195,2",144,"6869,30",5068
Wien,Wien,"245,8",#ERROR!,"6621,10",126542
Wiener Neustadt,Niederösterreich,"174,6",80,"8081,10",3703
Wiener Neustadt (Land),Niederösterreich,"187,7",147,"6369,80",4988
Wolfsberg,Kärnten,"231,9",122,"6345,20",3338
Zell am See,Salzburg,"228,2",200,"7836,50",6867
Zwettl,Niederösterreich,"302,5",127,"7497,60",3148
