Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"8,6",10,"8613,80",10043
Baden,Niederösterreich,"12,2",18,"6775,70",9968
Bludenz,Vorarlberg,"3,1",2,"6602,70",4250
Braunau am Inn,Oberösterreich,"18,8",20,"8691,70",9256
Bregenz,Vorarlberg,"6,7",9,"7343,10",9936
Bruck an der Leitha,Niederösterreich,"20,9",22,"5825,20",6146
Bruck-Mürzzuschlag,Steiermark,"3,1",3,"6229,20",6108
Deutschlandsberg,Steiermark,"4,9",3,"6686,30",4070
Dornbirn,Vorarlberg,"3,3",3,"8556,70",7744
Eferding,Oberösterreich,0,±0,"8409,30",2806
Eisenstadt,Burgenland,"6,7",1,"6619,70",986
Eisenstadt-Umgebung,Burgenland,"13,7",6,"5428,50",2381
Feldkirch,Vorarlberg,"7,3",8,"7642,80",8335
Feldkirchen,Kärnten,0,±0,"8095,20",2411
Freistadt,Oberösterreich,"1,5",1,"8281,30",5542
Gänserndorf,Niederösterreich,"10,4",11,"5693,40",6025
Gmünd,Niederösterreich,0,±0,"7556,20",2741
Gmunden,Oberösterreich,1,1,"7676,60",7838
Graz,Steiermark,"3,4",10,"5608,80",16329
Graz-Umgebung,Steiermark,"3,2",5,"5570,40",8793
Grieskirchen,Oberösterreich,"1,5",1,"8021,60",5225
Güssing,Burgenland,"7,8",2,"7120,70",1835
Hallein,Salzburg,"4,9",3,"10985,00",6700
Hartberg-Fürstenfeld,Steiermark,"2,2",2,"8166,10",7400
Hermagor,Kärnten,0,±0,"10453,10",1887
Hollabrunn,Niederösterreich,0,±0,"5123,50",2630
Horn,Niederösterreich,0,±0,"4987,40",1538
Imst,Tirol,"8,2",5,"9014,80",5492
Innsbruck-Land,Tirol,"8,3",15,"7668,80",13934
Innsbruck-Stadt,Tirol,"3,1",4,"7502,00",9832
Jennersdorf,Burgenland,"17,5",3,"7621,70",1304
Kirchdorf an der Krems,Oberösterreich,0,±0,"7426,10",4245
Kitzbühel,Tirol,0,±0,"6939,20",4488
Klagenfurt Land,Kärnten,"1,7",1,"6943,50",4201
Klagenfurt Stadt,Kärnten,"3,9",4,"6157,30",6266
Korneuburg,Niederösterreich,"7,6",7,"4774,60",4382
Krems (Land),Niederösterreich,"3,5",2,"5864,70",3317
Krems an der Donau,Niederösterreich,4,1,"5608,60",1393
Kufstein,Tirol,0,±0,"8457,90",9395
Landeck,Tirol,"2,3",1,"8327,70",3693
Leibnitz,Steiermark,"3,5",3,"6937,20",5917
Leoben,Steiermark,0,±0,"5682,10",3361
Lienz,Tirol,"4,1",2,"10898,50",5320
Liezen,Steiermark,"1,3",1,"6855,00",5456
Lilienfeld,Niederösterreich,"7,9",2,"6622,40",1687
Linz,Oberösterreich,"11,6",24,"6702,90",13844
Linz-Land,Oberösterreich,2,3,"6695,30",10203
Mattersburg,Burgenland,"9,9",4,"5714,90",2304
Melk,Niederösterreich,"2,6",2,"7402,80",5795
Mistelbach,Niederösterreich,0,±0,"5001,70",3784
Mödling,Niederösterreich,"12,6",15,"5385,80",6422
Murau,Steiermark,0,±0,"7264,40",1994
Murtal,Steiermark,"2,8",2,"7168,30",5115
Neunkirchen,Niederösterreich,"3,5",3,"6939,10",5990
Neusiedl am See,Burgenland,"18,2",11,"5427,40",3278
Oberpullendorf,Burgenland,"5,3",2,"5978,20",2239
Oberwart,Burgenland,"16,6",9,"6799,60",3686
Perg,Oberösterreich,"1,4",1,"8518,10",5898
Reutte,Tirol,0,±0,"6108,20",2019
Ried im Innkreis,Oberösterreich,"1,6",1,"9700,90",6000
Rohrbach,Oberösterreich,"7,1",4,"9044,00",5121
Rust,Burgenland,0,±0,"3750,00",75
Salzburg,Salzburg,"3,9",6,"7548,80",11732
Salzburg-Umgebung,Salzburg,"5,2",8,"8016,20",12395
Sankt Johann im Pongau,Salzburg,0,±0,"11775,10",9584
Sankt Pölten,Niederösterreich,"12,5",7,"7008,10",3916
Sankt Pölten (Land),Niederösterreich,"8,3",11,"6047,80",7987
Sankt Veit an der Glan,Kärnten,"1,9",1,"7388,60",3981
Schärding,Oberösterreich,"1,7",1,"9276,10",5328
Scheibbs,Niederösterreich,"2,4",1,"9113,00",3788
Schwaz,Tirol,"1,2",1,"10674,20",9015
Spittal an der Drau,Kärnten,4,3,"7728,60",5845
Steyr,Oberösterreich,0,±0,"6513,50",2472
Steyr-Land,Oberösterreich,"4,9",3,"7022,10",4279
Südoststeiermark,Steiermark,0,±0,"7195,80",6033
Tamsweg,Salzburg,"9,9",2,"12372,00",2489
Tulln,Niederösterreich,"2,8",3,"5146,50",5443
Urfahr-Umgebung,Oberösterreich,"3,5",3,"7112,00",6133
Villach Land,Kärnten,0,±0,"6870,00",4460
Villach Stadt,Kärnten,0,±0,"6233,80",3942
Vöcklabruck,Oberösterreich,"2,2",3,"8367,80",11547
Voitsberg,Steiermark,0,±0,"6716,80",3422
Völkermarkt,Kärnten,0,±0,"8856,40",3705
Waidhofen an der Thaya,Niederösterreich,0,±0,"6592,00",1683
Waidhofen an der Ybbs,Niederösterreich,0,±0,"8236,00",917
Weiz,Steiermark,"7,7",7,"6830,50",6210
Wels,Oberösterreich,"4,8",3,"9025,80",5655
Wels-Land,Oberösterreich,"1,3",1,"7654,10",5708
Wien,Wien,"17,5",337,"7229,40",138874
Wiener Neustadt,Niederösterreich,"4,3",2,"8395,00",3900
Wiener Neustadt (Land),Niederösterreich,"1,3",1,"6663,00",5266
Wolfsberg,Kärnten,"3,8",2,"6660,60",3496
Zell am See,Salzburg,"1,1",1,"8233,10",7259
Zwettl,Niederösterreich,"2,4",1,"7997,20",3345
