Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"56,6",66,"8524,70",9933
Baden,Niederösterreich,"26,6",39,"6701,10",9834
Bludenz,Vorarlberg,"54,6",35,"6509,40",4173
Braunau am Inn,Oberösterreich,"39,8",42,"8576,70",9053
Bregenz,Vorarlberg,"94,8",128,"7205,10",9726
Bruck an der Leitha,Niederösterreich,"31,8",33,"5829,30",6047
Bruck-Mürzzuschlag,Steiermark,"24,3",24,"6117,70",6038
Deutschlandsberg,Steiermark,"34,5",21,"6634,10",4038
Dornbirn,Vorarlberg,"103,4",93,"8461,60",7608
Eferding,Oberösterreich,"18,1",6,"8415,20",2792
Eisenstadt,Burgenland,"40,5",6,"6661,70",987
Eisenstadt-Umgebung,Burgenland,"23,1",10,"5449,20",2356
Feldkirch,Vorarlberg,"69,4",75,"7605,40",8224
Feldkirchen,Kärnten,"46,8",14,"8026,20",2400
Freistadt,Oberösterreich,"58,3",39,"8247,00",5514
Gänserndorf,Niederösterreich,"85,9",90,"5617,40",5886
Gmünd,Niederösterreich,52,19,"7433,00",2717
Gmunden,Oberösterreich,"43,2",44,"7656,70",7799
Graz,Steiermark,"46,4",135,"5554,00",16166
Graz-Umgebung,Steiermark,"28,8",45,"5577,60",8705
Grieskirchen,Oberösterreich,"33,9",22,"8017,00",5201
Güssing,Burgenland,"15,6",4,"7093,70",1823
Hallein,Salzburg,"52,6",32,"10946,30",6658
Hartberg-Fürstenfeld,Steiermark,"79,5",72,"8098,80",7338
Hermagor,Kärnten,"16,6",3,"10418,70",1881
Hollabrunn,Niederösterreich,"23,5",12,"5102,60",2604
Horn,Niederösterreich,"29,1",9,"4932,80",1526
Imst,Tirol,"163,7",99,"8702,90",5263
Innsbruck-Land,Tirol,"64,8",117,"7592,60",13701
Innsbruck-Stadt,Tirol,44,58,"7281,70",9609
Jennersdorf,Burgenland,0,±0,"7592,00",1298
Kirchdorf an der Krems,Oberösterreich,"50,8",29,"7411,80",4230
Kitzbühel,Tirol,"37,4",24,"6981,70",4480
Klagenfurt Land,Kärnten,20,12,"6941,70",4166
Klagenfurt Stadt,Kärnten,"23,7",24,"6126,40",6206
Korneuburg,Niederösterreich,"19,7",18,"4741,70",4327
Krems (Land),Niederösterreich,"21,2",12,"5829,70",3293
Krems an der Donau,Niederösterreich,28,7,"5488,10",1374
Kufstein,Tirol,"31,7",35,"8467,00",9338
Landeck,Tirol,"51,8",23,"8254,90",3664
Leibnitz,Steiermark,"35,4",30,"6951,70",5892
Leoben,Steiermark,"20,1",12,"5616,40",3353
Lienz,Tirol,"53,3",26,"10872,40",5299
Liezen,Steiermark,"26,4",21,"6832,20",5442
Lilienfeld,Niederösterreich,"54,6",14,"6474,40",1661
Linz,Oberösterreich,"45,5",94,"6601,80",13639
Linz-Land,Oberösterreich,41,62,"6701,40",10144
Mattersburg,Burgenland,"32,5",13,"5689,00",2278
Melk,Niederösterreich,"25,6",20,"7332,00",5733
Mistelbach,Niederösterreich,"27,8",21,"4949,40",3743
Mödling,Niederösterreich,"9,2",11,"5346,90",6369
Murau,Steiermark,"39,9",11,"7188,80",1980
Murtal,Steiermark,"78,1",56,"7060,20",5062
Neunkirchen,Niederösterreich,"17,4",15,"6858,70",5922
Neusiedl am See,Burgenland,"13,3",8,"5415,90",3249
Oberpullendorf,Burgenland,"10,7",4,"5941,00",2221
Oberwart,Burgenland,"31,4",17,"6703,90",3633
Perg,Oberösterreich,"62,3",43,"8456,10",5832
Reutte,Tirol,"36,5",12,"6142,30",2017
Ried im Innkreis,Oberösterreich,"72,9",45,"9578,50",5909
Rohrbach,Oberösterreich,"14,1",8,"9022,90",5102
Rust,Burgenland,"50,5",1,"3838,40",76
Salzburg,Salzburg,"36,8",57,"7529,30",11672
Salzburg-Umgebung,Salzburg,"24,8",38,"8051,90",12359
Sankt Johann im Pongau,Salzburg,"35,7",29,"11778,00",9563
Sankt Pölten,Niederösterreich,54,30,"6942,40",3854
Sankt Pölten (Land),Niederösterreich,"58,5",77,"5941,70",7827
Sankt Veit an der Glan,Kärnten,"36,9",20,"7263,90",3936
Schärding,Oberösterreich,"17,4",10,"9266,30",5318
Scheibbs,Niederösterreich,41,17,"9091,10",3765
Schwaz,Tirol,"7,1",6,"10679,60",9006
Spittal an der Drau,Kärnten,"35,6",27,"7631,70",5790
Steyr,Oberösterreich,"94,6",36,"6414,20",2441
Steyr-Land,Oberösterreich,"39,5",24,"7017,80",4261
Südoststeiermark,Steiermark,"38,1",32,"7124,30",5987
Tamsweg,Salzburg,"14,8",3,"12271,00",2485
Tulln,Niederösterreich,"29,6",31,"5138,00",5374
Urfahr-Umgebung,Oberösterreich,43,37,"7086,80",6095
Villach Land,Kärnten,"46,4",30,"6908,30",4464
Villach Stadt,Kärnten,"63,6",40,"6299,10",3961
Vöcklabruck,Oberösterreich,"36,4",50,"8369,40",11491
Voitsberg,Steiermark,"25,5",13,"6629,60",3384
Völkermarkt,Kärnten,"16,7",7,"8771,70",3672
Waidhofen an der Thaya,Niederösterreich,"3,9",1,"6526,00",1676
Waidhofen an der Ybbs,Niederösterreich,"35,6",4,"7984,30",896
Weiz,Steiermark,"45,2",41,"6790,70",6156
Wels,Oberösterreich,"99,2",62,"8957,90",5596
Wels-Land,Oberösterreich,"71,8",53,"7671,80",5660
Wien,Wien,"36,4",696,"7152,50",136697
Wiener Neustadt,Niederösterreich,"21,8",10,"8480,50",3886
Wiener Neustadt (Land),Niederösterreich,"19,2",15,"6682,70",5233
Wolfsberg,Kärnten,"30,4",16,"6558,10",3450
Zell am See,Salzburg,"11,4",10,"8264,50",7242
Zwettl,Niederösterreich,"42,9",18,"7919,10",3325
