Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"11,2","0,86"
Baden,"48,56","8,89"
Bludenz,"28,08","1,56"
Braunau am Inn,"23,94","0,96"
Bregenz,"47,41","2,96"
Bruck an der Leitha,"47,05","8,82"
Bruck-Mürzzuschlag,"21,22","1,01"
Deutschlandsberg,"14,8",0
Dornbirn,"40,05","3,34"
Eferding,"15,08",0
Eisenstadt,"27,33","20,5"
Eisenstadt-Umgebung,"25,62","4,66"
Feldkirch,"48,09","8,32"
Feldkirchen,"16,7",0
Freistadt,"34,52",0
Gänserndorf,"58,83","8,68"
Gmünd,"144,13","32,63"
Gmunden,"19,68","6,89"
Graz,"49,17","6,93"
Graz-Umgebung,"25,28","3,89"
Grieskirchen,"38,63","3,09"
Güssing,"65,9","-7,75"
Hallein,"59,63","9,94"
Hartberg-Fürstenfeld,"17,66","1,1"
Hermagor,"76,82",0
Hollabrunn,"3,93",0
Horn,"16,08",0
Imst,"44,96",5
Innsbruck-Land,"45,73","7,25"
Innsbruck-Stadt,"82,51","7,57"
Jennersdorf,"23,44","5,86"
Kirchdorf an der Krems,"12,31",0
Kitzbühel,"37,57","6,26"
Klagenfurt Land,"25,08","1,67"
Klagenfurt Stadt,"20,83","2,98"
Korneuburg,"38,51","6,6"
Krems (Land),"79,51","12,37"
Krems an der Donau,"112,56","20,1"
Kufstein,"36,47","3,65"
Landeck,"45,08","11,27"
Leibnitz,"30,9","5,94"
Leoben,"13,32",0
Lienz,"6,15",0
Liezen,"31,29","3,75"
Lilienfeld,"30,99","3,87"
Linz,"49,58","9,24"
Linz-Land,"25,29","2,66"
Mattersburg,"27,55",0
Melk,"75,68","11,54"
Mistelbach,"47,69","9,27"
Mödling,"71,43","11,76"
Murau,"21,69",0
Murtal,"9,72","2,78"
Neunkirchen,"52,15","13,91"
Neusiedl am See,"65,49","1,68"
Oberpullendorf,"18,66",0
Oberwart,"44,38","3,7"
Perg,"20,45","4,38"
Reutte,"6,12",0
Ried im Innkreis,"132,34","8,17"
Rohrbach,"7,08","3,54"
Rust,0,0
Salzburg,"34,37","3,24"
Salzburg-Umgebung,"15,1","1,31"
Sankt Johann im Pongau,"37,23","3,72"
Sankt Pölten,"58,14","9,08"
Sankt Pölten (Land),"44,26","12,21"
Sankt Veit an der Glan,"18,33",0
Schärding,"52,35","1,74"
Scheibbs,"96,61","19,32"
Schwaz,"66,77",0
Spittal an der Drau,"5,26",0
Steyr,"41,89",0
Steyr-Land,"8,27","1,65"
Südoststeiermark,"5,93","2,37"
Tamsweg,0,0
Tulln,"38,55","6,75"
Urfahr-Umgebung,"19,88",0
Villach Land,"20,1","3,09"
Villach Stadt,"24,1",0
Vöcklabruck,"32,29","5,14"
Voitsberg,"41,05","5,86"
Völkermarkt,"7,16","2,39"
Waidhofen an der Thaya,"73,39","15,45"
Waidhofen an der Ybbs,0,0
Weiz,"15,5","1,11"
Wels,"38,88",0
Wels-Land,"64,3","1,37"
Wien,"111,57","12,96"
Wiener Neustadt,"59,63","13,25"
Wiener Neustadt (Land),"25,64","3,85"
Wolfsberg,"5,69",0
Zell am See,"17,15",0
Zwettl,"40,26","16,58"
