Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10319;25;82
Rust(Stadt);102;2021;1293;5;16
Eisenstadt-Umgebung;103;44488;29176;76;280
Güssing;104;25809;16512;101;167
Jennersdorf;105;17216;9946;44;33
Mattersburg;106;40731;26327;87;222
Neusiedl am See;107;61358;41115;85;447
Oberpullendorf;108;37556;24290;68;353
Oberwart;109;54682;33844;144;207
Klagenfurt Stadt;201;103297;58306;301;319
Villach Stadt;202;64125;35238;174;133
Hermagor;203;18069;10618;66;26
Klagenfurt Land;204;61114;35420;127;210
Sankt Veit an der Glan;205;53953;32545;167;147
Spittal an der Drau;206;75725;44145;276;150
Villach Land;207;65635;38084;205;126
Völkermarkt;208;41947;26134;121;171
Wolfsberg;209;52352;30008;201;90
Feldkirchen;210;29949;17147;83;73
Krems an der Donau(Stadt);301;24930;15372;75;124
Sankt Pölten(Stadt);302;56697;36993;146;294
Waidhofen an der Ybbs(Stadt);303;11187;7925;58;63
Wiener Neustadt(Stadt);304;47407;30461;218;200
Amstetten;305;117442;88016;309;698
Baden;306;148765;96818;358;740
Bruck an der Leitha;307;107297;71615;220;756
Gänserndorf;308;107504;68496;216;777
Gmünd;309;36152;22567;158;193
Hollabrunn;310;51879;31960;114;333
Horn;311;30875;18840;60;139
Korneuburg;312;92442;61082;145;629
Krems(Land);313;56840;37903;109;316
Lilienfeld;314;25491;17349;110;125
Melk;315;78779;58304;420;379
Mistelbach;316;76641;48673;107;484
Mödling;317;120412;78231;302;736
Neunkirchen;318;87048;56248;250;342
Sankt Pölten(Land);319;133497;92452;336;674
Scheibbs;320;41711;30847;97;158
Tulln;321;107723;69689;214;572
Waidhofen an der Thaya;322;25644;16691;80;154
Wiener Neustadt(Land);323;80020;52941;217;349
Zwettl;325;41757;29468;84;276
Linz(Stadt);401;208445;124163;468;898
Steyr(Stadt);402;37915;22700;77;160
Wels(Stadt);403;63542;39381;163;219
Braunau am Inn;404;108388;76129;266;415
Eferding;405;33715;22952;79;155
Freistadt;406;67638;47737;194;248
Gmunden;407;102765;69863;254;658
Grieskirchen;408;65929;47127;154;277
Kirchdorf an der Krems;409;57882;38731;160;251
Linz-Land;410;154320;99107;293;607
Perg;411;69905;49797;153;336
Ried im Innkreis;412;62535;44283;170;237
Rohrbach;413;57034;40185;165;315
Schärding;414;57750;39406;156;152
Steyr-Land;415;61494;42503;155;290
Urfahr-Umgebung;416;87466;61490;160;425
Vöcklabruck;417;139989;98499;339;634
Wels-Land;418;75514;53296;121;351
Salzburg(Stadt);501;155743;101802;328;481
Hallein;502;61262;45477;145;196
Salzburg-Umgebung;503;155982;116007;314;550
Sankt Johann im Pongau;504;81962;56992;184;186
Tamsweg;505;20327;13759;68;28
Zell am See;506;89017;56120;198;231
Graz(Stadt);601;293929;170115;587;915
Deutschlandsberg;603;61092;35945;182;135
Graz-Umgebung;606;161131;97954;433;508
Leibnitz;610;86399;52510;192;339
Leoben;611;59341;31055;195;230
Liezen;612;79739;46026;226;380
Murau;614;27343;14953;59;37
Voitsberg;616;51165;28046;190;84
Weiz;617;91844;56123;259;221
Murtal;620;71398;38711;294;190
Bruck-Mürzzuschlag;621;98394;50938;358;296
Hartberg-Fürstenfeld;622;91091;54438;305;226
Südoststeiermark;623;84024;49606;295;215
Innsbruck-Stadt;701;130599;84989;255;432
Imst;702;61843;42640;98;193
Innsbruck-Land;703;183827;123955;285;761
Kitzbühel;704;65482;41533;98;193
Kufstein;705;112301;74882;246;317
Landeck;706;44681;31965;93;102
Lienz;707;48854;33556;146;153
Reutte;708;33427;21426;29;83
Schwaz;709;85478;53675;219;236
Bludenz;801;64943;42967;96;149
Bregenz;802;136369;85348;239;342
Dornbirn;803;91344;58867;170;222
Feldkirch;804;110547;72091;179;224
Wien;900;1951354;1364920;4648;12630
