Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"8,61","0,86"
Baden,"45,83","5,47"
Bludenz,"79,56","9,36"
Braunau am Inn,"27,78","0,96"
Bregenz,"52,6","10,37"
Bruck an der Leitha,"39,21","5,88"
Bruck-Mürzzuschlag,"11,11","1,01"
Deutschlandsberg,"29,6",0
Dornbirn,"107,92","20,03"
Eferding,"30,16","6,03"
Eisenstadt,"34,16",0
Eisenstadt-Umgebung,"41,93",0
Feldkirch,"51,79","5,55"
Feldkirchen,"-6,68",0
Freistadt,"40,53","4,5"
Gmunden,"17,71","0,98"
Gmünd,"32,63","5,44"
Graz,"38,09","1,73"
Graz-Umgebung,"23,99","1,3"
Grieskirchen,"29,36","6,18"
Gänserndorf,"77,16","13,5"
Güssing,"15,51",0
Hallein,"38,1","9,94"
Hartberg-Fürstenfeld,"24,28","2,21"
Hermagor,0,0
Hollabrunn,"35,39","3,93"
Horn,"16,08",0
Imst,"71,6","3,33"
Innsbruck,"113,54","41,63"
Innsbruck-Land,"101,5","6,13"
Jennersdorf,"11,72",0
Kirchdorf an der Krems,"14,07","5,28"
Kitzbühel,"34,44","12,52"
Klagenfurt,"6,94","0,99"
Klagenfurt Land,"10,03","3,34"
Korneuburg,"55,01","6,6"
Krems (Land),"56,54","19,44"
Krems an der Donau,"104,52","-12,06"
Kufstein,"74,76","1,82"
Landeck,"105,95","18,03"
Leibnitz,"19,01","2,38"
Leoben,"26,64","-1,67"
Lienz,"28,72","4,1"
Liezen (inkl. Gröbming),"17,52",0
Lilienfeld,"19,37",0
Linz,"79,23","5,83"
Linz-Land,"67,88","7,32"
Mattersburg,"10,02",0
Melk,"47,46","3,85"
Mistelbach,"54,32","9,27"
Murau,47,0
Murtal,"8,33",0
Mödling,"31,93","4,2"
Neunkirchen,"76,49","6,95"
Neusiedl am See,"38,62","13,43"
Oberpullendorf,"26,66",8
Oberwart,"25,89","5,55"
Perg,"21,91","2,92"
Reutte,"45,91","15,3"
Ried im Innkreis,"29,41","8,17"
Rohrbach,"10,61",0
Rust,0,0
Salzburg,"46,04","3,24"
Salzburg-Umgebung,"26,92","5,25"
Sankt Johann im Pongau,"40,96","11,17"
Sankt Pölten,"36,33","3,63"
Sankt Pölten (Land),"24,42","3,05"
Sankt Veit an der Glan,"7,33",0
Scheibbs,"16,91","2,42"
Schwaz,"90,61","20,27"
Schärding,"6,98",0
Spittal an der Drau,"6,57",0
Steyr,"20,95","2,62"
Steyr-Land,"14,89",0
Südoststeiermark,"9,49","2,37"
Tamsweg,"14,76",0
Tulln,"36,62","1,93"
Urfahr-Umgebung,"15,2","2,34"
Villach,"35,35","9,64"
Villach Land,"21,65","7,73"
Voitsberg,"9,77",0
Vöcklabruck,"38,9","1,47"
Völkermarkt,"9,55","2,39"
Waidhofen an der Thaya,"88,84","19,31"
Waidhofen an der Ybbs,0,0
Weiz,"22,14",0
Wels,"43,74","6,48"
Wels-Land,"30,1","2,74"
Wien,"123,43","15,44"
Wiener Neustadt,"68,47","6,63"
Wiener Neustadt (Land),"39,75","3,85"
Wolfsberg,"3,79",0
Zell am See,8,"1,14"
Zwettl,"101,84","16,58"
