Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"70,4",82,"6374,00",7427
Baden,Niederösterreich,"222,1",326,"4204,40",6170
Bludenz,Vorarlberg,"76,4",49,"5311,40",3405
Braunau am Inn,Oberösterreich,"195,2",206,"5463,60",5767
Bregenz,Vorarlberg,"34,8",47,"5327,20",7191
Bruck an der Leitha,Niederösterreich,"159,1",165,"3562,00",3695
Bruck-Mürzzuschlag,Steiermark,"132,7",131,"4679,00",4618
Deutschlandsberg,Steiermark,"129,8",79,"4370,20",2660
Dornbirn,Vorarlberg,69,62,"6703,20",6027
Eferding,Oberösterreich,"99,5",33,"6805,70",2258
Eisenstadt,Burgenland,"60,7",9,"4042,90",599
Eisenstadt-Umgebung,Burgenland,"208,2",90,"3640,50",1574
Feldkirch,Vorarlberg,"79,5",86,"5890,00",6369
Feldkirchen,Kärnten,"130,4",39,"5611,70",1678
Freistadt,Oberösterreich,"77,8",52,"6218,90",4158
Gänserndorf,Niederösterreich,"235,7",247,"3443,30",3608
Gmünd,Niederösterreich,"205,2",75,"5055,70",1848
Gmunden,Oberösterreich,"112,9",115,"5725,60",5832
Graz,Steiermark,"132,6",386,"3831,00",11151
Graz-Umgebung,Steiermark,"134,6",210,"3889,90",6071
Grieskirchen,Oberösterreich,"83,2",54,"6659,00",4320
Güssing,Burgenland,"206,2",53,"5140,30",1321
Hallein,Salzburg,171,104,"8328,90",5066
Hartberg-Fürstenfeld,Steiermark,"251,6",228,"5416,90",4908
Hermagor,Kärnten,"659,1",119,"8247,50",1489
Hollabrunn,Niederösterreich,"264,5",135,"3276,30",1672
Horn,Niederösterreich,"158,4",49,"2799,30",866
Imst,Tirol,"107,5",65,"5698,30",3446
Innsbruck-Land,Tirol,"57,1",103,"5598,10",10102
Innsbruck-Stadt,Tirol,"45,5",60,"5315,20",7014
Jennersdorf,Burgenland,"274,9",47,"5427,90",928
Kirchdorf an der Krems,Oberösterreich,"92,9",53,"5098,90",2910
Kitzbühel,Tirol,"84,2",54,"5418,60",3477
Klagenfurt Land,Kärnten,"93,3",56,"5048,80",3030
Klagenfurt Stadt,Kärnten,"144,1",146,"4621,90",4682
Korneuburg,Niederösterreich,"122,7",112,"3164,80",2888
Krems (Land),Niederösterreich,"72,6",41,"4294,80",2426
Krems an der Donau,Niederösterreich,"51,9",13,"3962,30",992
Kufstein,Tirol,"79,8",88,"6533,90",7206
Landeck,Tirol,"72,1",32,"6650,70",2952
Leibnitz,Steiermark,"192,3",163,"4584,90",3886
Leoben,Steiermark,"100,5",60,"4092,10",2443
Lienz,Tirol,"170,3",83,"7152,50",3486
Liezen,Steiermark,"90,4",72,"4974,10",3962
Lilienfeld,Niederösterreich,"148,1",38,"4330,50",1111
Linz,Oberösterreich,"102,6",212,"4756,20",9826
Linz-Land,Oberösterreich,"99,1",150,"4857,60",7353
Mattersburg,Burgenland,"157,3",63,"3813,50",1527
Melk,Niederösterreich,"157,3",123,"4884,20",3819
Mistelbach,Niederösterreich,"218,2",165,"3131,20",2368
Mödling,Niederösterreich,"136,8",163,"3518,40",4191
Murau,Steiermark,"79,9",22,"4792,50",1320
Murtal,Steiermark,"66,9",48,"4804,90",3445
Neunkirchen,Niederösterreich,"209,6",181,"4338,50",3746
Neusiedl am See,Burgenland,"181,7",109,"3737,30",2242
Oberpullendorf,Burgenland,"82,9",31,"4298,60",1607
Oberwart,Burgenland,"175,3",95,"4205,40",2279
Perg,Oberösterreich,"127,6",88,"6163,70",4251
Reutte,Tirol,"109,6",36,"4172,00",1370
Ried im Innkreis,Oberösterreich,"139,4",86,"6955,70",4291
Rohrbach,Oberösterreich,"136,2",77,"7830,90",4428
Rust,Burgenland,0,±0,"3434,30",68
Salzburg,Salzburg,"112,2",174,"5408,90",8385
Salzburg-Umgebung,Salzburg,"140,1",215,"5909,10",9070
Sankt Johann im Pongau,Salzburg,"280,8",228,"8760,50",7113
Sankt Pölten,Niederösterreich,"102,7",57,"4571,80",2538
Sankt Pölten (Land),Niederösterreich,"117,7",155,"3908,80",5149
Sankt Veit an der Glan,Kärnten,"127,3",69,"5477,40",2968
Schärding,Oberösterreich,"177,7",102,"7356,60",4222
Scheibbs,Niederösterreich,"108,7",45,"6210,50",2572
Schwaz,Tirol,"199,2",168,"9327,80",7866
Spittal an der Drau,Kärnten,"214,8",163,"4812,30",3651
Steyr,Oberösterreich,"60,4",23,"4545,90",1730
Steyr-Land,Oberösterreich,"108,7",66,"5578,30",3387
Südoststeiermark,Steiermark,"229,7",193,"5056,20",4249
Tamsweg,Salzburg,"103,7",21,"9989,60",2023
Tulln,Niederösterreich,"115,7",121,"3683,80",3853
Urfahr-Umgebung,Oberösterreich,"73,3",63,"5867,10",5046
Villach Land,Kärnten,"109,9",71,"4734,00",3059
Villach Stadt,Kärnten,"139,9",88,"4090,20",2572
Vöcklabruck,Oberösterreich,"117,3",161,"5724,80",7860
Voitsberg,Steiermark,"70,5",36,"4439,30",2266
Völkermarkt,Kärnten,"188,7",79,"6669,50",2792
Waidhofen an der Thaya,Niederösterreich,"288,1",74,"4318,20",1109
Waidhofen an der Ybbs,Niederösterreich,98,11,"5747,60",645
Weiz,Steiermark,"205,2",186,"4130,00",3744
Wels,Oberösterreich,"220,9",138,"6071,70",3793
Wels-Land,Oberösterreich,"134,2",99,"5063,90",3736
Wien,Wien,"146,3",#ERROR!,"4644,20",88759
Wiener Neustadt,Niederösterreich,"390,6",179,"5244,10",2403
Wiener Neustadt (Land),Niederösterreich,"263,1",206,"3985,60",3121
Wolfsberg,Kärnten,57,30,"5103,90",2685
Zell am See,Salzburg,"117,5",103,"6249,10",5476
Zwettl,Niederösterreich,"228,6",96,"5739,90",2410
