Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;1534;13;32
Rust(Stadt);102;2000;168;0;2
Eisenstadt-Umgebung;103;43861;4409;37;86
Güssing;104;25770;3009;65;76
Jennersdorf;105;17109;1994;30;40
Mattersburg;106;40316;4309;48;94
Neusiedl am See;107;60397;5697;50;64
Oberpullendorf;108;37453;3981;46;68
Oberwart;109;54209;5970;98;104
Klagenfurt Stadt;201;101765;12896;180;345
Villach Stadt;202;63236;8805;97;225
Hermagor;203;18052;3047;36;86
Klagenfurt Land;204;60503;8175;78;233
Sankt Veit an der Glan;205;53880;6841;114;157
Spittal an der Drau;206;75628;12594;160;323
Villach Land;207;64920;9934;119;276
Völkermarkt;208;41834;6864;76;163
Wolfsberg;209;52488;8414;119;257
Feldkirchen;210;29783;4078;59;121
Krems an der Donau(Stadt);301;24837;2772;35;47
Sankt Pölten(Stadt);302;55878;7370;82;174
Waidhofen an der Ybbs(Stadt);303;11134;2062;24;42
Wiener Neustadt(Stadt);304;46456;6956;113;154
Amstetten;305;116592;21162;139;411
Baden;306;147113;18232;188;389
Bruck an der Leitha;307;105507;10958;102;203
Gänserndorf;308;105824;9862;79;198
Gmünd;309;36275;4957;63;138
Hollabrunn;310;51332;4753;64;154
Horn;311;30838;2935;28;84
Korneuburg;312;91777;7960;68;134
Krems(Land);313;56559;6601;46;136
Lilienfeld;314;25474;4104;55;103
Melk;315;78281;13543;131;288
Mistelbach;316;75655;6807;37;135
Mödling;317;119240;11217;145;180
Neunkirchen;318;86323;12741;124;330
Sankt Pölten(Land);319;132064;16760;169;365
Scheibbs;320;41567;7772;65;166
Tulln;321;105762;9739;102;216
Waidhofen an der Thaya;322;25531;3667;19;96
Wiener Neustadt(Land);323;79033;10797;122;260
Zwettl;325;41827;6515;46;203
Linz(Stadt);401;206537;27962;296;560
Steyr(Stadt);402;37952;5554;42;117
Wels(Stadt);403;62654;10762;111;204
Braunau am Inn;404;106492;23155;170;533
Eferding;405;33368;5509;55;114
Freistadt;406;66922;11511;110;220
Gmunden;407;102102;17201;149;278
Grieskirchen;408;65137;11089;104;200
Kirchdorf an der Krems;409;57163;9218;105;294
Linz-Land;410;152391;23077;171;504
Perg;411;69241;12068;107;211
Ried im Innkreis;412;61850;12831;121;204
Rohrbach;413;56623;10224;116;234
Schärding;414;57438;11384;105;233
Steyr-Land;415;60936;9886;101;246
Urfahr-Umgebung;416;86235;13467;92;271
Vöcklabruck;417;137993;26774;232;464
Wels-Land;418;74574;12660;91;350
Salzburg(Stadt);501;155416;24911;195;488
Hallein;502;60992;13686;86;288
Salzburg-Umgebung;503;154624;30137;188;647
Sankt Johann im Pongau;504;81392;16425;128;243
Tamsweg;505;20118;4312;51;33
Zell am See;506;88168;12922;125;259
Graz(Stadt);601;291134;31833;371;744
Deutschlandsberg;603;60871;7624;125;233
Graz-Umgebung;606;157853;17195;287;541
Leibnitz;610;85294;10513;128;244
Leoben;611;59151;6377;133;127
Liezen;612;79592;11183;141;308
Murau;614;27449;3098;36;75
Voitsberg;616;50947;5666;130;183
Weiz;617;90916;12252;178;340
Murtal;620;71356;9162;207;158
Bruck-Mürzzuschlag;621;98054;10328;271;253
Hartberg-Fürstenfeld;622;90619;12293;209;272
Südoststeiermark;623;83841;10691;201;196
Innsbruck-Stadt;701;131059;17297;132;321
Imst;702;60922;9675;50;255
Innsbruck-Land;703;181698;25373;162;573
Kitzbühel;704;64676;8725;53;300
Kufstein;705;111080;17983;163;510
Landeck;706;44346;6673;56;167
Lienz;707;48814;10480;60;289
Reutte;708;33054;4909;12;70
Schwaz;709;84456;14383;137;389
Bludenz;801;64368;9253;65;469
Bregenz;802;135310;20170;143;648
Dornbirn;803;90502;14258;95;529
Feldkirch;804;109057;16431;99;748
Wien;900;1920949;229075;2732;4419
