Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"169,9",198,"5802,40",6761
Baden,Niederösterreich,"147,9",217,"3365,60",4939
Bludenz,Vorarlberg,"121,7",78,"4709,30",3019
Braunau am Inn,Oberösterreich,"168,6",178,"4552,20",4805
Bregenz,Vorarlberg,"108,2",146,"4855,30",6554
Bruck an der Leitha,Niederösterreich,"92,5",96,"2949,80",3060
Bruck-Mürzzuschlag,Steiermark,"116,5",115,"3966,70",3915
Deutschlandsberg,Steiermark,"113,4",69,"3463,30",2108
Dornbirn,Vorarlberg,"131,2",118,"6000,30",5395
Eferding,Oberösterreich,"108,5",36,"6329,50",2100
Eisenstadt,Burgenland,"114,7",17,"3705,50",549
Eisenstadt-Umgebung,Burgenland,"78,6",34,"3080,80",1332
Feldkirch,Vorarlberg,"153,5",166,"5280,50",5710
Feldkirchen,Kärnten,194,58,"4882,60",1460
Freistadt,Oberösterreich,"115,2",77,"5710,40",3818
Gänserndorf,Niederösterreich,"100,2",105,"2495,70",2615
Gmünd,Niederösterreich,"131,3",48,"4379,90",1601
Gmunden,Oberösterreich,"181,6",185,"5010,80",5104
Graz,Steiermark,"95,9",279,"3310,20",9635
Graz-Umgebung,Steiermark,"91,6",143,"3299,20",5149
Grieskirchen,Oberösterreich,"126,4",82,"6138,00",3982
Güssing,Burgenland,"268,5",69,"4198,60",1079
Hallein,Salzburg,319,194,"7209,30",4385
Hartberg-Fürstenfeld,Steiermark,"119,2",108,"4387,10",3975
Hermagor,Kärnten,"299,1",54,"5943,30",1073
Hollabrunn,Niederösterreich,"43,1",22,"2412,20",1231
Horn,Niederösterreich,84,26,"2120,50",656
Imst,Tirol,"84,3",51,"5284,90",3196
Innsbruck-Land,Tirol,"67,1",121,"5237,90",9452
Innsbruck-Stadt,Tirol,"65,9",87,"4991,60",6587
Jennersdorf,Burgenland,"99,4",17,"3965,60",678
Kirchdorf an der Krems,Oberösterreich,"147,2",84,"4662,60",2661
Kitzbühel,Tirol,"137,1",88,"4731,30",3036
Klagenfurt Land,Kärnten,"201,6",121,"4282,30",2570
Klagenfurt Stadt,Kärnten,"106,6",108,"4069,10",4122
Korneuburg,Niederösterreich,"78,9",72,"2689,20",2454
Krems (Land),Niederösterreich,108,61,"3673,40",2075
Krems an der Donau,Niederösterreich,"87,9",22,"3646,70",913
Kufstein,Tirol,"71,6",79,"6013,40",6632
Landeck,Tirol,"112,6",50,"6270,00",2783
Leibnitz,Steiermark,164,139,"3930,10",3331
Leoben,Steiermark,"93,8",56,"3653,30",2181
Lienz,Tirol,"221,6",108,"5808,60",2831
Liezen,Steiermark,"269,9",215,"4341,40",3458
Lilienfeld,Niederösterreich,"81,9",21,"3897,90",1000
Linz,Oberösterreich,"92,5",191,"4390,70",9071
Linz-Land,Oberösterreich,"88,5",134,"4434,80",6713
Mattersburg,Burgenland,"87,4",35,"3179,20",1273
Melk,Niederösterreich,"124,1",97,"4297,20",3360
Mistelbach,Niederösterreich,86,65,"2261,20",1710
