Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"33,59","5,17"
Baden,"52,67","8,21"
Bludenz,"29,64","9,36"
Braunau am Inn,"29,69","1,92"
Bregenz,"41,48","5,19"
Bruck an der Leitha,"82,34","15,68"
Bruck-Mürzzuschlag,"18,18","1,01"
Deutschlandsberg,"6,58","1,64"
Dornbirn,"54,52","3,34"
Eferding,"3,02","3,02"
Eisenstadt,"-6,83",0
Eisenstadt-Umgebung,"27,95",0
Feldkirch,"94,34","18,5"
Feldkirchen,"6,68",0
Freistadt,"46,53",0
Gmunden,"58,05",0
Gmünd,"119,65","13,6"
Graz,"28,74","6,93"
Graz-Umgebung,"31,12","2,59"
Grieskirchen,17,"3,09"
Gänserndorf,"55,94","13,5"
Güssing,"81,4","7,75"
Hallein,"115,94","13,25"
Hartberg-Fürstenfeld,"16,55","1,1"
Hermagor,"181,08","5,49"
Hollabrunn,"37,36","17,7"
Horn,"9,65",0
Imst,"33,3","1,67"
Innsbruck,"109,76","29,52"
Innsbruck-Land,"70,82","11,71"
Jennersdorf,0,0
Kirchdorf an der Krems,"12,31",0
Kitzbühel,"29,74","4,7"
Klagenfurt,"12,89","2,98"
Klagenfurt Land,"8,36",0
Korneuburg,"60,51","7,7"
Krems (Land),"40,64","8,83"
Krems an der Donau,"104,52","8,04"
Kufstein,"52,88","11,85"
Landeck,"151,03","2,25"
Leibnitz,"13,07","1,19"
Leoben,"11,66",0
Lienz,"2,05",0
Liezen (inkl. Gröbming),"33,79","3,75"
Lilienfeld,"27,12",0
Linz,"86,52","25,28"
Linz-Land,"57,89","25,95"
Mattersburg,"20,04",0
Melk,"61,57","1,28"
Mistelbach,"67,56","7,95"
Murau,0,0
Murtal,"18,05","2,78"
Mödling,"62,19","14,29"
Neunkirchen,"42,88","5,79"
Neusiedl am See,"68,85","3,36"
Oberpullendorf,"29,32","2,67"
Oberwart,"24,04",0
Perg,"16,07","1,46"
Reutte,"3,06",0
Ried im Innkreis,"106,2",0
Rohrbach,"42,46","14,15"
Rust,0,0
Salzburg,"36,31","3,89"
Salzburg-Umgebung,"34,8","3,28"
Sankt Johann im Pongau,"35,99","1,24"
Sankt Pölten,"105,37","21,8"
Sankt Pölten (Land),"51,89","3,82"
Sankt Veit an der Glan,"7,33",0
Scheibbs,"26,57","-2,42"
Schwaz,"56,04","10,73"
Schärding,"22,68",0
Spittal an der Drau,"6,57",0
Steyr,"18,33",0
Steyr-Land,"13,24","4,96"
Südoststeiermark,"3,56","1,19"
Tamsweg,"29,53",0
Tulln,"26,02","7,71"
Urfahr-Umgebung,"40,93","1,17"
Villach,"11,25","1,61"
Villach Land,"18,56","3,09"
Voitsberg,"35,18","7,82"
Vöcklabruck,"60,18","6,61"
Völkermarkt,"64,47","28,65"
Waidhofen an der Thaya,"77,26","7,73"
Waidhofen an der Ybbs,"8,88",0
Weiz,"14,39",0
Wels,"61,56","9,72"
Wels-Land,"24,63","1,37"
Wien,"122,27","12,6"
Wiener Neustadt,"53,01","6,63"
Wiener Neustadt (Land),"19,23",0
Wolfsberg,"9,48",0
Zell am See,"12,58","4,57"
Zwettl,"59,21","9,47"
