Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"7,75","0,86"
Baden,"54,72","4,79"
Bludenz,"70,2","3,12"
Braunau am Inn,"28,73","4,79"
Bregenz,"65,19","10,37"
Bruck an der Leitha,"38,23","4,9"
Bruck-Mürzzuschlag,"15,15","5,05"
Deutschlandsberg,"16,44","4,93"
Dornbirn,"92,35","6,68"
Eferding,"33,18","3,02"
Eisenstadt,"27,33",0
Eisenstadt-Umgebung,"46,59",0
Feldkirch,"44,39","12,02"
Feldkirchen,0,"3,34"
Freistadt,"45,03","4,5"
Gmunden,"17,71","1,97"
Gmünd,"62,55","16,32"
Graz,"41,55","12,12"
Graz-Umgebung,"25,93","5,83"
Grieskirchen,"44,81",0
Gänserndorf,"78,12","11,57"
Güssing,"38,76","23,26"
Hallein,"38,1","4,97"
Hartberg-Fürstenfeld,"28,69","4,41"
Hermagor,0,0
Hollabrunn,"15,73","-3,93"
Horn,"12,87","3,22"
Imst,"33,3","1,67"
Innsbruck,"136,25","22,71"
Innsbruck-Land,"78,63","8,92"
Jennersdorf,"17,58","5,86"
Kirchdorf an der Krems,"17,59",0
Kitzbühel,"37,57","7,83"
Klagenfurt,"8,93","1,98"
Klagenfurt Land,"16,72","5,02"
Korneuburg,"52,81","2,2"
Krems (Land),"74,21","14,14"
Krems an der Donau,"92,46","4,02"
Kufstein,"62,91","1,82"
Landeck,"85,66",0
Leibnitz,"35,65","15,45"
Leoben,"23,31",5
Lienz,"30,77",0
Liezen (inkl. Gröbming),"23,78","8,76"
Lilienfeld,"23,25","3,87"
Linz,"67,08","5,83"
Linz-Land,"60,56","3,99"
Mattersburg,"12,52","2,5"
Melk,59,"8,98"
Mistelbach,"58,29","3,97"
Murau,"50,62",0
Murtal,"11,11",0
Mödling,"44,54","7,56"
Neunkirchen,"98,5","4,64"
Neusiedl am See,"58,77","18,47"
Oberpullendorf,"18,66","2,67"
Oberwart,"33,29","11,1"
Perg,"36,52","5,84"
Reutte,"39,79",0
Ried im Innkreis,"71,89","47,38"
Rohrbach,"8,85",0
Rust,0,0
Salzburg,"46,04","3,89"
Salzburg-Umgebung,"28,89","1,31"
Sankt Johann im Pongau,"55,85","8,69"
Sankt Pölten,"49,05","7,27"
Sankt Pölten (Land),29,"3,05"
Sankt Veit an der Glan,"7,33",0
Scheibbs,"41,06","14,49"
Schwaz,"91,81","2,38"
Schärding,"6,98","1,74"
Spittal an der Drau,"7,89","2,63"
Steyr,"31,42","10,47"
Steyr-Land,"16,55","1,65"
Südoststeiermark,"7,12","1,19"
Tamsweg,"14,76",0
Tulln,"43,36","0,96"
Urfahr-Umgebung,"26,9","1,17"
Villach,"33,74","3,21"
Villach Land,"30,93",0
Voitsberg,"19,55","7,82"
Vöcklabruck,"41,1","2,94"
Völkermarkt,"4,78",0
Waidhofen an der Thaya,"112,02","15,45"
Waidhofen an der Ybbs,"-8,88","-17,76"
Weiz,"25,46","2,21"
Wels,"40,5","6,48"
Wels-Land,"35,57","9,58"
Wien,"113,73","12,12"
Wiener Neustadt,"88,35","2,21"
Wiener Neustadt (Land),"35,9",0
Wolfsberg,"5,69",0
Zell am See,"22,87","3,43"
Zwettl,"87,63","2,37"
