Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"12,92","2,58"
Baden,"42,41","5,47"
Bludenz,"18,72",0
Braunau am Inn,"35,44","12,45"
Bregenz,40,"5,93"
Bruck an der Leitha,"65,68","11,76"
Bruck-Mürzzuschlag,"18,18","6,06"
Deutschlandsberg,"8,22","1,64"
Dornbirn,"41,17","4,45"
Eferding,"3,02",0
Eisenstadt,"-20,5","-6,83"
Eisenstadt-Umgebung,"34,94","9,32"
Feldkirch,"53,64","8,32"
Feldkirchen,"13,36",0
Freistadt,"54,04","13,51"
Gänserndorf,"54,97","6,75"
Gmünd,"100,62","8,16"
Gmunden,"47,23","11,81"
Graz,"34,63","5,54"
Graz-Umgebung,"29,82","9,08"
Grieskirchen,"29,36","4,64"
Güssing,"85,28","42,64"
Hallein,"92,76","21,53"
Hartberg-Fürstenfeld,"19,86","3,31"
Hermagor,214,"21,95"
Hollabrunn,"1,97",0
Horn,"6,43","3,22"
Imst,"44,96","8,33"
Innsbruck-Land,"49,63","10,6"
Innsbruck-Stadt,"73,42","10,6"
Jennersdorf,"5,86",0
Kirchdorf an der Krems,"12,31","1,76"
Kitzbühel,"25,05","1,57"
Klagenfurt Land,"15,05","1,67"
Klagenfurt Stadt,"15,87","1,98"
Korneuburg,"50,61","8,8"
Krems (Land),"51,24","7,07"
Krems an der Donau,"88,44","16,08"
Kufstein,"40,12","8,21"
Landeck,"137,51","45,08"
Leibnitz,"14,26","2,38"
Leoben,"16,65",0
Lienz,"6,15",0
Liezen,"32,54","8,76"
Lilienfeld,"19,37",0
Linz,"55,41","11,67"
Linz-Land,"29,95","4,66"
Mattersburg,"35,07","10,02"
Melk,"75,68","12,83"
Mistelbach,"58,29","3,97"
Mödling,"62,19","13,45"
Murau,"7,23",0
Murtal,"16,67","2,78"
Neunkirchen,"41,72","12,75"
Neusiedl am See,"70,53","13,43"
Oberpullendorf,"34,65","10,66"
Oberwart,"35,14","3,7"
Perg,"14,61","2,92"
Reutte,"9,18","3,06"
Ried im Innkreis,"91,5","13,07"
Rohrbach,"24,77","12,38"
Rust,0,0
Salzburg,"43,45","3,24"
Salzburg-Umgebung,"26,27","3,94"
Sankt Johann im Pongau,"31,03","3,72"
Sankt Pölten,"85,39","12,72"
Sankt Pölten (Land),"57,23","7,63"
Sankt Veit an der Glan,"14,66","1,83"
Schärding,"50,6","6,98"
Scheibbs,"62,8","2,42"
Schwaz,62,"15,5"
Spittal an der Drau,"3,94",0
Steyr,"18,33","2,62"
Steyr-Land,"4,96","1,65"
Südoststeiermark,"3,56",0
Tamsweg,"4,92",0
Tulln,"12,53","-19,27"
Urfahr-Umgebung,"36,26","18,71"
Villach Land,"18,56","1,55"
Villach Stadt,"11,25",0
Vöcklabruck,"51,38","14,68"
Voitsberg,43,"5,86"
Völkermarkt,"11,94",0
Waidhofen an der Thaya,"54,08","3,86"
Waidhofen an der Ybbs,"26,64",0
Weiz,"15,5","2,21"
Wels,"58,32","12,96"
Wels-Land,"69,77","6,84"
Wien,"115,84","22,5"
Wiener Neustadt,"48,59","4,42"
Wiener Neustadt (Land),"21,8","1,28"
Wolfsberg,"9,48",0
Zell am See,"13,72","1,14"
Zwettl,"42,63","2,37"
