Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"6,89","1,72"
Baden,"56,77","6,16"
Bludenz,"71,76","12,48"
Braunau am Inn,"26,82","2,87"
Bregenz,"50,37","11,85"
Bruck an der Leitha,"47,05","5,88"
Bruck-Mürzzuschlag,"12,12","6,06"
Deutschlandsberg,"32,88","4,93"
Dornbirn,"113,49","6,68"
Eferding,"21,11","9,05"
Eisenstadt,"47,82","-6,83"
Eisenstadt-Umgebung,"44,26","11,65"
Feldkirch,"56,42","6,47"
Feldkirchen,"3,34",0
Freistadt,"31,52","15,01"
Gmunden,"12,79","2,95"
Gmünd,"27,19","5,44"
Graz,"44,32","9,35"
Graz-Umgebung,"23,99","4,54"
Grieskirchen,"24,72","3,09"
Gänserndorf,"59,8","17,36"
Güssing,"11,63","7,75"
Hallein,"26,5","6,63"
Hartberg-Fürstenfeld,"17,66","6,62"
Hermagor,0,0
Hollabrunn,"41,29","7,87"
Horn,"22,52",0
Imst,"63,27","6,66"
Innsbruck,"105,97","18,92"
Innsbruck-Land,"75,29","3,9"
Jennersdorf,"5,86","5,86"
Kirchdorf an der Krems,"8,79",0
Kitzbühel,"12,52","3,13"
Klagenfurt,"4,96",0
Klagenfurt Land,"8,36","3,34"
Korneuburg,"58,31","9,9"
Krems (Land),"44,17","3,53"
Krems an der Donau,"124,62","28,14"
Kufstein,"72,94","13,68"
Landeck,"83,4","13,53"
Leibnitz,"19,01","8,32"
Leoben,"21,65","1,67"
Lienz,"24,61","10,26"
Liezen (inkl. Gröbming),"16,27","8,76"
Lilienfeld,"50,36","3,87"
Linz,"71,45","12,64"
Linz-Land,"73,87","16,64"
Mattersburg,"15,03","5,01"
Melk,"38,48","5,13"
Mistelbach,"42,39","5,3"
Murau,"43,39","10,85"
Murtal,"8,33","4,17"
Mödling,"42,02","4,2"
Neunkirchen,"71,85","5,79"
Neusiedl am See,"25,19","6,72"
Oberpullendorf,"18,66","2,67"
Oberwart,"20,34","1,85"
Perg,"17,53","5,84"
Reutte,"27,55","3,06"
Ried im Innkreis,"26,14","1,63"
Rohrbach,"7,08","1,77"
Rust,0,0
Salzburg,"47,99","11,67"
Salzburg-Umgebung,"17,07","3,94"
Sankt Johann im Pongau,"31,03","11,17"
Sankt Pölten,"32,7","1,82"
Sankt Pölten (Land),"22,13","3,05"
Sankt Veit an der Glan,"7,33","1,83"
Scheibbs,"14,49","2,42"
Schwaz,"76,31","26,23"
Schärding,"8,72",0
Spittal an der Drau,"13,14","1,31"
Steyr,"28,8","2,62"
Steyr-Land,"16,55",0
Südoststeiermark,"10,68",0
Tamsweg,"9,84",0
Tulln,"37,58","8,67"
Urfahr-Umgebung,"11,7","2,34"
Villach,"25,71","4,82"
Villach Land,"15,46","3,09"
Voitsberg,"11,73","7,82"
Vöcklabruck,"41,1","13,21"
Völkermarkt,"7,16",0
Waidhofen an der Thaya,"50,22","7,73"
Waidhofen an der Ybbs,0,"-8,88"
Weiz,"21,03","9,96"
Wels,"51,84","1,62"
Wels-Land,"30,1","4,1"
Wien,"118,63","19,13"
Wiener Neustadt,"77,3","6,63"
Wiener Neustadt (Land),"43,59","2,56"
Wolfsberg,"11,38","-1,9"
Zell am See,"11,43","1,14"
Zwettl,90,"18,95"
