Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"11,2",13,"8611,40",10034
Baden,Niederösterreich,"19,8",29,"6782,90",9954
Bludenz,Vorarlberg,"12,5",8,"6629,50",4250
Braunau am Inn,Oberösterreich,"16,1",17,"8747,30",9233
Bregenz,Vorarlberg,"10,4",14,"7357,00",9931
Bruck an der Leitha,Niederösterreich,"24,1",25,"5906,40",6127
Bruck-Mürzzuschlag,Steiermark,"5,1",5,"6185,60",6105
Deutschlandsberg,Steiermark,"4,9",3,"6681,80",4067
Dornbirn,Vorarlberg,"8,9",8,"8621,80",7752
Eferding,Oberösterreich,3,1,"8454,40",2805
Eisenstadt,Burgenland,0,±0,"6661,70",987
Eisenstadt-Umgebung,Burgenland,"4,6",2,"5488,50",2373
Feldkirch,Vorarlberg,"18,5",20,"7705,30",8332
Feldkirchen,Kärnten,10,3,"8066,40",2412
Freistadt,Oberösterreich,"1,5",1,"8290,30",5543
Gänserndorf,Niederösterreich,"11,5",12,"5732,90",6007
Gmünd,Niederösterreich,"10,9",4,"7501,40",2742
Gmunden,Oberösterreich,0,±0,"7695,00",7838
Graz,Steiermark,"8,6",25,"5613,00",16338
Graz-Umgebung,Steiermark,"3,2",5,"5630,20",8787
Grieskirchen,Oberösterreich,0,±0,"8050,90",5223
Güssing,Burgenland,"11,7",3,"7128,70",1832
Hallein,Salzburg,"8,2",5,"11010,50",6697
Hartberg-Fürstenfeld,Steiermark,"4,4",4,"8163,90",7397
Hermagor,Kärnten,0,±0,"10452,00",1887
Hollabrunn,Niederösterreich,0,±0,"5147,60",2627
Horn,Niederösterreich,"3,2",1,"4971,60",1538
Imst,Tirol,"14,9",9,"9075,00",5488
Innsbruck-Land,Tirol,"13,9",25,"7730,50",13950
Innsbruck-Stadt,Tirol,"12,1",16,"7451,40",9833
Jennersdorf,Burgenland,"11,7",2,"7609,50",1301
Kirchdorf an der Krems,Oberösterreich,0,±0,"7438,10",4245
Kitzbühel,Tirol,"3,1",2,"6995,70",4489
Klagenfurt Land,Kärnten,"8,3",5,"6996,70",4199
Klagenfurt Stadt,Kärnten,"7,9",8,"6178,70",6259
Korneuburg,Niederösterreich,"16,4",15,"4792,10",4373
Krems (Land),Niederösterreich,"7,1",4,"5875,70",3319
Krems an der Donau,Niederösterreich,4,1,"5564,00",1393
Kufstein,Tirol,0,±0,"8525,90",9403
