Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10719;25;3
Rust(Stadt);102;2021;1331;5;0
Eisenstadt-Umgebung;103;44488;30241;78;5
Güssing;104;25809;16955;101;5
Jennersdorf;105;17216;10108;44;2
Mattersburg;106;40731;27027;88;5
Neusiedl am See;107;61358;42832;85;16
Oberpullendorf;108;37556;25189;68;2
Oberwart;109;54682;34766;145;6
Klagenfurt Stadt;201;103297;59523;304;4
Villach Stadt;202;64125;35842;174;3
Hermagor;203;18069;10717;66;0
Klagenfurt Land;204;61114;36077;127;4
Sankt Veit an der Glan;205;53953;33120;167;0
Spittal an der Drau;206;75725;44667;275;0
Villach Land;207;65635;38665;204;3
Völkermarkt;208;41947;26666;121;1
Wolfsberg;209;52352;30396;203;1
Feldkirchen;210;29949;17396;83;1
Krems an der Donau(Stadt);301;24930;15897;75;3
Sankt Pölten(Stadt);302;56697;38059;146;7
Waidhofen an der Ybbs(Stadt);303;11187;8145;59;2
Wiener Neustadt(Stadt);304;47407;31196;224;8
Amstetten;305;117442;90237;309;11
Baden;306;148765;100125;364;20
Bruck an der Leitha;307;107297;74361;220;22
Gänserndorf;308;107504;71131;305;10
Gmünd;309;36152;23184;158;1
Hollabrunn;310;51879;32936;116;4
Horn;311;30875;19224;60;0
Korneuburg;312;92442;63593;146;15
Krems(Land);313;56840;38919;163;3
Lilienfeld;314;25491;17790;111;0
Melk;315;78779;59604;517;5
Mistelbach;316;76641;50278;107;8
Mödling;317;120412;81899;309;19
Neunkirchen;318;87048;57825;251;1
Sankt Pölten(Land);319;133497;95352;336;16
Scheibbs;320;41711;31564;98;1
Tulln;321;107723;72123;214;15
Waidhofen an der Thaya;322;25644;17117;80;2
Wiener Neustadt(Land);323;80020;54222;219;5
Zwettl;325;41757;30287;84;3
Linz(Stadt);401;208445;127371;474;22
Steyr(Stadt);402;37915;23399;84;2
Wels(Stadt);403;63542;40447;165;3
Braunau am Inn;404;108388;77219;270;5
Eferding;405;33715;23396;81;1
Freistadt;406;67638;48573;202;2
Gmunden;407;102765;71181;256;7
Grieskirchen;408;65929;47918;158;1
Kirchdorf an der Krems;409;57882;39586;167;4
Linz-Land;410;154320;101329;296;17
Perg;411;69905;50811;155;10
Ried im Innkreis;412;62535;44987;170;2
Rohrbach;413;57034;40801;165;1
Schärding;414;57750;39942;156;2
Steyr-Land;415;61494;43503;158;1
Urfahr-Umgebung;416;87466;62791;161;5
Vöcklabruck;417;139989;100359;340;1
Wels-Land;418;75514;54567;123;4
Salzburg(Stadt);501;155743;103719;344;17
Hallein;502;61262;46009;148;5
Salzburg-Umgebung;503;155982;117716;318;10
Sankt Johann im Pongau;504;81962;57560;184;2
Tamsweg;505;20327;13948;68;0
Zell am See;506;89017;56720;202;2
Graz(Stadt);601;293929;174039;610;34
Deutschlandsberg;603;61092;36447;184;4
Graz-Umgebung;606;161131;100051;441;13
Leibnitz;610;86399;53528;195;3
Leoben;611;59341;31797;197;6
Liezen;612;79739;46839;229;2
Murau;614;27343;15174;60;2
Voitsberg;616;51165;28385;191;2
Weiz;617;91844;56874;260;5
Murtal;620;71398;39343;294;0
Bruck-Mürzzuschlag;621;98394;51875;359;5
Hartberg-Fürstenfeld;622;91091;55201;312;4
Südoststeiermark;623;84024;50506;296;3
Innsbruck-Stadt;701;130599;86624;261;11
Imst;702;61843;43196;103;1
Innsbruck-Land;703;183827;126210;292;14
Kitzbühel;704;65482;42046;102;1
Kufstein;705;112301;75630;256;5
Landeck;706;44681;32292;93;0
Lienz;707;48854;33991;148;1
Reutte;708;33427;21725;34;3
Schwaz;709;85478;54248;222;3
Bludenz;801;64943;43384;99;0
Bregenz;802;136369;86155;243;0
Dornbirn;803;91344;59570;171;3
Feldkirch;804;110547;72770;179;2
Wien;900;1951354;1421328;4817;430
