Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"4,3",5,"8609,50",10038
Baden,Niederösterreich,"11,6",17,"6775,10",9967
Bludenz,Vorarlberg,"7,8",5,"6607,30",4253
Braunau am Inn,Oberösterreich,"19,7",21,"8684,20",9248
Bregenz,Vorarlberg,"10,3",14,"7346,10",9940
Bruck an der Leitha,Niederösterreich,"27,5",29,"5824,30",6145
Bruck-Mürzzuschlag,Steiermark,1,1,"6226,20",6105
Deutschlandsberg,Steiermark,"1,6",1,"6683,00",4068
Dornbirn,Vorarlberg,"4,4",4,"8565,60",7752
Eferding,Oberösterreich,0,±0,"8409,30",2806
Eisenstadt,Burgenland,"6,7",1,"6633,10",988
Eisenstadt-Umgebung,Burgenland,16,7,"5428,50",2381
Feldkirch,Vorarlberg,"11,9",13,"7647,40",8340
Feldkirchen,Kärnten,0,±0,"8095,20",2411
Freistadt,Oberösterreich,"1,5",1,"8282,80",5543
Gänserndorf,Niederösterreich,"10,4",11,"5687,70",6019
Gmünd,Niederösterreich,"2,8",1,"7558,90",2742
Gmunden,Oberösterreich,1,1,"7676,60",7838
Graz,Steiermark,"3,8",11,"5609,40",16331
Graz-Umgebung,Steiermark,"3,8",6,"5569,70",8792
Grieskirchen,Oberösterreich,"4,6",3,"8023,10",5226
Güssing,Burgenland,"7,8",2,"7116,80",1834
Hallein,Salzburg,"1,6",1,"10980,10",6697
Hartberg-Fürstenfeld,Steiermark,"3,3",3,"8165,00",7399
Hermagor,Kärnten,0,±0,"10453,10",1887
Hollabrunn,Niederösterreich,0,±0,"5121,60",2629
Horn,Niederösterreich,0,±0,"4987,40",1538
Imst,Tirol,"9,8",6,"9014,80",5492
Innsbruck-Land,Tirol,"9,9",18,"7677,60",13950
Innsbruck-Stadt,Tirol,"4,6",6,"7502,00",9832
Jennersdorf,Burgenland,"17,5",3,"7621,70",1304
Kirchdorf an der Krems,Oberösterreich,0,±0,"7426,10",4245
Kitzbühel,Tirol,0,±0,"6939,20",4488
Klagenfurt Land,Kärnten,"1,7",1,"6941,80",4200
Klagenfurt Stadt,Kärnten,"5,9",6,"6158,30",6267
