Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"8,61","0,86"
Baden,"54,72","7,52"
Bludenz,"70,2","3,12"
Braunau am Inn,"27,78","8,62"
Bregenz,"42,97","5,19"
Bruck an der Leitha,"44,11","6,86"
Bruck-Mürzzuschlag,"10,1","2,02"
Deutschlandsberg,"34,53","3,29"
Dornbirn,"111,26","8,9"
Eferding,"27,14","6,03"
Eisenstadt,"54,66","6,83"
Eisenstadt-Umgebung,"30,28","9,32"
Feldkirch,"52,72","3,7"
Feldkirchen,"6,68","3,34"
Freistadt,"27,02","4,5"
Gmunden,"9,84",0
Gmünd,"10,88","5,44"
Graz,"43,97","4,85"
Graz-Umgebung,"23,99","1,94"
Grieskirchen,"18,54","9,27"
Gänserndorf,"44,36","6,75"
Güssing,"7,75",0
Hallein,"16,56","1,66"
Hartberg-Fürstenfeld,"13,24","2,21"
Hermagor,0,0
Hollabrunn,"31,46","5,9"
Horn,"25,73","9,65"
Imst,"64,94",0
Innsbruck,"123,38","16,65"
Innsbruck-Land,"67,48","10,04"
Jennersdorf,0,0
Kirchdorf an der Krems,"10,55","1,76"
Kitzbühel,"20,35","1,57"
Klagenfurt,"7,94","0,99"
Klagenfurt Land,"5,02",0
Korneuburg,"39,61","12,1"
Krems (Land),"35,34","3,53"
Krems an der Donau,"88,44","28,14"
Kufstein,"88,44","15,5"
Landeck,"54,1","6,76"
Leibnitz,"13,07","2,38"
Leoben,"28,31","8,33"
Lienz,"14,36","14,36"
Liezen (inkl. Gröbming),"11,26",0
Lilienfeld,"69,74",0
Linz,"49,09","9,24"
Linz-Land,"58,56","13,31"
Mattersburg,"15,03","5,01"
Melk,"29,5","5,13"
Mistelbach,"35,77","13,25"
Murau,"36,15","14,46"
Murtal,"5,56","2,78"
Mödling,"52,94","3,36"
Neunkirchen,"84,6","37,08"
Neusiedl am See,"21,83","6,72"
Oberpullendorf,"13,33","2,67"
Oberwart,"18,49","1,85"
Perg,"17,53","2,92"
Reutte,"30,61","3,06"
Ried im Innkreis,"17,97","1,63"
Rohrbach,"5,31",0
Rust,0,0
Salzburg,"38,91","6,48"
Salzburg-Umgebung,"13,13","1,97"
Sankt Johann im Pongau,"17,38","8,69"
Sankt Pölten,"38,15","16,35"
Sankt Pölten (Land),"20,6","2,29"
Sankt Veit an der Glan,"5,5","1,83"
Scheibbs,"12,08","7,25"
Schwaz,"76,31","20,27"
Schärding,"6,98","1,74"
Spittal an der Drau,"7,89","-1,31"
Steyr,"34,04","10,47"
Steyr-Land,"18,2","8,27"
Südoststeiermark,"10,68",0
Tamsweg,"9,84","4,92"
Tulln,"29,87","7,71"
Urfahr-Umgebung,"12,86","2,34"
Villach,"19,28","3,21"
Villach Land,"9,28","1,55"
Voitsberg,"7,82",0
Vöcklabruck,"32,29","5,14"
Völkermarkt,"9,55",0
Waidhofen an der Thaya,"34,77","30,9"
Waidhofen an der Ybbs,"8,88",0
Weiz,"9,96","5,53"
Wels,"50,22","6,48"
Wels-Land,"30,1","6,84"
Wien,"113,47","16,65"
Wiener Neustadt,"70,68","11,04"
Wiener Neustadt (Land),"56,42","12,82"
Wolfsberg,"15,17","5,69"
Zell am See,"12,58","2,29"
Zwettl,"71,05","16,58"
