Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;1075;11;12
Rust(Stadt);102;2000;87;0;1
Eisenstadt-Umgebung;103;43861;2815;26;48
Güssing;104;25770;2058;59;19
Jennersdorf;105;17109;1438;26;50
Mattersburg;106;40316;2794;35;39
Neusiedl am See;107;60397;3730;45;50
Oberpullendorf;108;37453;2555;41;12
Oberwart;109;54209;4028;95;34
Klagenfurt Stadt;201;101765;7554;162;140
Villach Stadt;202;63236;4640;73;104
Hermagor;203;18052;2086;30;19
Klagenfurt Land;204;60503;4664;69;82
Sankt Veit an der Glan;205;53880;4473;102;57
Spittal an der Drau;206;75628;6970;128;118
Villach Land;207;64920;5131;92;116
Völkermarkt;208;41834;3927;64;33
Wolfsberg;209;52488;3968;76;89
Feldkirchen;210;29783;2727;53;20
Krems an der Donau(Stadt);301;24837;1774;31;33
Sankt Pölten(Stadt);302;55878;4692;65;61
Waidhofen an der Ybbs(Stadt);303;11134;1037;16;31
Wiener Neustadt(Stadt);304;46456;4576;88;55
Amstetten;305;116592;11883;133;385
Baden;306;147113;11950;141;201
Bruck an der Leitha;307;105507;7517;94;187
Gänserndorf;308;105824;7106;74;85
Gmünd;309;36275;2979;48;53
Hollabrunn;310;51332;2917;56;21
Horn;311;30838;1835;27;26
Korneuburg;312;91777;5246;52;95
Krems(Land);313;56559;3957;43;75
Lilienfeld;314;25474;2069;50;31
Melk;315;78281;7132;106;325
Mistelbach;316;75655;4374;34;97
Mödling;317;119240;7639;127;99
Neunkirchen;318;86323;6941;104;82
Sankt Pölten(Land);319;132064;9484;144;201
Scheibbs;320;41567;4628;47;157
Tulln;321;105762;6408;99;82
Waidhofen an der Thaya;322;25531;1934;14;101
Wiener Neustadt(Land);323;79033;6261;97;105
Zwettl;325;41827;3641;39;61
Linz(Stadt);401;206537;18088;246;414
Steyr(Stadt);402;37952;3225;25;137
Wels(Stadt);403;62654;7096;91;108
Braunau am Inn;404;106492;12082;117;448
Eferding;405;33368;3368;37;51
Freistadt;406;66922;6307;94;147
Gmunden;407;102102;9511;115;390
Grieskirchen;408;65137;6170;78;147
Kirchdorf an der Krems;409;57163;5373;87;132
Linz-Land;410;152391;13403;100;416
Perg;411;69241;6898;78;182
Ried im Innkreis;412;61850;7286;103;133
Rohrbach;413;56623;5624;100;69
Schärding;414;57438;6149;75;110
Steyr-Land;415;60936;5355;74;164
Urfahr-Umgebung;416;86235;7120;78;137
Vöcklabruck;417;137993;13628;166;319
Wels-Land;418;74574;7056;65;120
Salzburg(Stadt);501;155416;14778;150;268
Hallein;502;60992;7843;68;281
Salzburg-Umgebung;503;154624;15237;134;440
Sankt Johann im Pongau;504;81392;10716;115;115
Tamsweg;505;20118;2685;43;47
Zell am See;506;88168;8469;111;70
Graz(Stadt);601;291134;21156;328;551
Deutschlandsberg;603;60871;4583;113;60
Graz-Umgebung;606;157853;10571;258;235
Leibnitz;610;85294;6595;114;94
Leoben;611;59151;3818;113;80
Liezen;612;79592;6608;117;198
Murau;614;27449;2148;30;13
Voitsberg;616;50947;3900;123;66
Weiz;617;90916;7206;151;156
Murtal;620;71356;5790;177;94
Bruck-Mürzzuschlag;621;98054;6980;254;145
Hartberg-Fürstenfeld;622;90619;8151;193;127
Südoststeiermark;623;83841;6757;177;154
Innsbruck-Stadt;701;131059;11395;112;144
Imst;702;60922;6015;43;62
Innsbruck-Land;703;181698;15692;140;160
Kitzbühel;704;64676;5119;45;101
Kufstein;705;111080;10788;148;150
Landeck;706;44346;4127;49;120
Lienz;707;48814;6314;46;48
Reutte;708;33054;2418;6;52
Schwaz;709;84456;9579;133;66
Bludenz;801;64368;4908;51;58
Bregenz;802;135310;11543;111;93
Dornbirn;803;90502;8792;81;60
Feldkirch;804;109057;9518;81;74
Wien;900;1920949;171449;2463;2494
