Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,297,346,"5059,20",5895
Baden,Niederösterreich,"156,00",229,"2845,60",4176
Bludenz,Vorarlberg,"142,00",91,"4308,40",2762
Braunau am Inn,Oberösterreich,"163,00",172,"4025,50",4249
Bregenz,Vorarlberg,"158,5",214,"4428,60",5978
Bruck an der Leitha,Niederösterreich,"99,3",103,"2630,70",2729
Bruck-Mürzzuschlag,Steiermark,155,153,3596,3549
Deutschlandsberg,Steiermark,"208,7",127,"2837,30",1727
Dornbirn,Vorarlberg,"186,8",168,5402,4857
Eferding,Oberösterreich,"129,6",43,6034,2002
Eisenstadt,Burgenland,"249,7",37,"3212,70",476
Eisenstadt-Umgebung,Burgenland,81,35,"2777,80",1201
Feldkirch,Vorarlberg,"216,4",234,"4736,80",5122
Feldkirchen,Kärnten,"280,9",84,"3976,30",1189
Freistadt,Oberösterreich,"204,9",137,"5242,20",3505
Gänserndorf,Niederösterreich,146,153,2062,2161
Gmünd,Niederösterreich,"205,2",75,"3986,00",1457
Gmunden,Oberösterreich,"274,9",280,"4308,90",4389
Graz,Steiermark,"132,60",386,"3016,40",8780
Graz-Umgebung,Steiermark,"128,1",200,"2932,70",4577
Grieskirchen,Oberösterreich,"161,8",105,"5621,60",3647
Güssing,Burgenland,"237,4",61,"3517,60",904
Hallein,Salzburg,"361,7",220,"5844,70",3555
Hartberg-Fürstenfeld,Steiermark,"184,30",167,"3943,40",3573
Hermagor,Kärnten,"515,1",93,"4586,20",828
Hollabrunn,Niederösterreich,"74,5",38,2248,1147
Horn,Niederösterreich,"38,8",12,"1926,60",596
Imst,Tirol,"160,40",97,"4783,90",2893
Innsbruck-Land,Tirol,123,222,"4846,70",8746
Innsbruck-Stadt,Tirol,69,91,"4737,00",6251
Jennersdorf,Burgenland,"140,4",24,"3603,00",616
Kirchdorf an der Krems,Oberösterreich,"233,00",133,"3984,50",2274
Kitzbühel,Tirol,"163,6",105,"4037,80",2591
Klagenfurt Land,Kärnten,"296,60",178,"3654,10",2193
Klagenfurt Stadt,Kärnten,"205,3",208,"3662,40",3710
Korneuburg,Niederösterreich,"81,10",74,"2443,70",2230
Krems (Land),Niederösterreich,"70,8",40,"3310,50",1870
Krems an der Donau,Niederösterreich,"71,90",18,"3363,20",842
Kufstein,Tirol,"124,2",137,"5552,80",6124
Landeck,Tirol,"263,6",117,"5558,10",2467
Leibnitz,Steiermark,"160,5",136,"3470,00",2941
Leoben,Steiermark,134,80,"3346,70",1998
Lienz,Tirol,"223,6",109,"5170,50",2520
Liezen,Steiermark,"248,6",198,"3514,00",2799
Lilienfeld,Niederösterreich,"140,3",36,"3640,60",934
Linz,Oberösterreich,"127,8",264,"4081,40",8432
Linz-Land,Oberösterreich,"103,7",157,"4120,30",6237
Mattersburg,Burgenland,"84,9",34,"2859,50",1145
Melk,Niederösterreich,"214,9",168,"3864,90",3022
Mistelbach,Niederösterreich,"46,3",35,"1938,50",1466
Mödling,Niederösterreich,"131,8",157,"2721,70",3242
Murau,Steiermark,"174,3",48,"3514,50",968
Murtal,Steiermark,"192,5",138,"3645,80",2614
Neunkirchen,Niederösterreich,"163,3",141,"3074,90",2655
Neusiedl am See,Burgenland,100,60,"2550,40",1530
Oberpullendorf,Burgenland,"56,2",21,"3517,50",1315
Oberwart,Burgenland,"110,7",60,"3404,60",1845
Perg,Oberösterreich,"150,8",104,"4993,60",3444
Reutte,Tirol,"100,5",33,"2756,00",905
Ried im Innkreis,Oberösterreich,"168,6",104,"5728,60",3534
Rohrbach,Oberösterreich,"169,8",96,"6662,00",3767
Rust,Burgenland,0,±0,"2525,30",50
Salzburg,Salzburg,"164,5",255,"3874,30",6006
Salzburg-Umgebung,Salzburg,"211,1",324,"4432,20",6803
Sankt Johann im Pongau,Salzburg,"272,2",221,"6307,10",5121
Sankt Pölten,Niederösterreich,"124,3",69,"3890,90",2160
Sankt Pölten (Land),Niederösterreich,"90,3",119,"3119,30",4109
Sankt Veit an der Glan,Kärnten,"143,9",78,"4161,60",2255
Schärding,Oberösterreich,"233,5",134,"6079,40",3489
Scheibbs,Niederösterreich,"217,3",90,"4802,70",1989
Schwaz,Tirol,"156,5",132,"7853,80",6623
Spittal an der Drau,Kärnten,"108,1",82,"2400,20",1821
Steyr,Oberösterreich,"176,1",67,"4030,90",1534
Steyr-Land,Oberösterreich,"156,5",95,"4843,80",2941
Südoststeiermark,Steiermark,"170,2",143,"3471,10",2917
Tamsweg,Salzburg,"192,6",39,"6705,80",1358
Tulln,Niederösterreich,"119,5",125,"2698,10",2822
Urfahr-Umgebung,Oberösterreich,"112,8",97,"5318,30",4574
Villach Land,Kärnten,"154,8",100,"3352,00",2166
Villach Stadt,Kärnten,"254,4",160,"3121,70",1963
Vöcklabruck,Oberösterreich,"207,6",285,"4635,20",6364
Voitsberg,Steiermark,"92,1",47,"3675,30",1876
Völkermarkt,Kärnten,"226,9",95,"5269,70",2206
Waidhofen an der Thaya,Niederösterreich,"81,8",21,"3192,90",820
Waidhofen an der Ybbs,Niederösterreich,"392,1",44,"4108,00",461
Weiz,Steiermark,"110,3",100,"2968,40",2691
Wels,Oberösterreich,"152,1",95,"4861,50",3037
Wels-Land,Oberösterreich,"169,4",125,"4018,90",2965
Wien,Wien,"113,1",#ERROR!,"3693,90",70598
Wiener Neustadt,Niederösterreich,"109,1",50,"3371,70",1545
Wiener Neustadt (Land),Niederösterreich,"136,6",107,"2634,50",2063
Wolfsberg,Kärnten,"159,7",84,"4225,70",2223
Zell am See,Salzburg,"263,6",231,"4767,90",4178
Zwettl,Niederösterreich,"250,1",105,"3932,20",1651
