Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;9972;25;47
Rust(Stadt);102;2021;1243;5;18
Eisenstadt-Umgebung;103;44488;28238;75;91
Güssing;104;25809;15947;101;107
Jennersdorf;105;17216;9773;44;37
Mattersburg;106;40731;25706;87;69
Neusiedl am See;107;61358;39923;85;196
Oberpullendorf;108;37556;23509;68;57
Oberwart;109;54682;32999;144;114
Klagenfurt Stadt;201;103297;57321;300;132
Villach Stadt;202;64125;34801;174;51
Hermagor;203;18069;10470;65;40
Klagenfurt Land;204;61114;34858;127;65
Sankt Veit an der Glan;205;53953;32045;167;37
Spittal an der Drau;206;75725;43520;276;87
Villach Land;207;65635;37687;205;46
Völkermarkt;208;41947;25712;121;32
Wolfsberg;209;52352;29695;201;93
Feldkirchen;210;29949;16938;83;22
Krems an der Donau(Stadt);301;24930;14941;74;36
Sankt Pölten(Stadt);302;56697;36014;146;109
Waidhofen an der Ybbs(Stadt);303;11187;7786;58;11
Wiener Neustadt(Stadt);304;47407;29808;214;84
Amstetten;305;117442;85947;309;192
Baden;306;148765;94239;355;326
Bruck an der Leitha;307;107297;68959;220;378
Gänserndorf;308;107504;66291;212;293
Gmünd;309;36152;21832;157;78
Hollabrunn;310;51879;31040;109;113
Horn;311;30875;18309;60;50
Korneuburg;312;92442;58805;145;345
Krems(Land);313;56840;36962;106;104
Lilienfeld;314;25491;16983;110;13
Melk;315;78779;57000;354;185
Mistelbach;316;76641;46883;107;186
Mödling;317;120412;75433;295;371
Neunkirchen;318;87048;55092;250;151
Sankt Pölten(Land);319;133497;89819;336;270
Scheibbs;320;41711;30410;96;61
Tulln;321;107723;67595;214;281
Waidhofen an der Thaya;322;25644;16186;78;72
Wiener Neustadt(Land);323;80020;51870;216;114
Zwettl;325;41757;28745;84;84
Linz(Stadt);401;208445;120847;462;403
Steyr(Stadt);402;37915;22169;75;70
Wels(Stadt);403;63542;38509;163;105
Braunau am Inn;404;108388;74542;266;251
Eferding;405;33715;22308;79;76
Freistadt;406;67638;46701;192;78
Gmunden;407;102765;68075;252;182
Grieskirchen;408;65929;45934;152;143
Kirchdorf an der Krems;409;57882;37860;160;121
Linz-Land;410;154320;96666;290;291
Perg;411;69905;48391;152;116
Ried im Innkreis;412;62535;43119;170;165
Rohrbach;413;57034;39096;164;87
Schärding;414;57750;38705;155;116
Steyr-Land;415;61494;41441;154;101
Urfahr-Umgebung;416;87466;59883;160;181
Vöcklabruck;417;139989;96353;336;309
Wels-Land;418;75514;51874;120;209
Salzburg(Stadt);501;155743;99488;322;216
Hallein;502;61262;44722;143;101
Salzburg-Umgebung;503;155982;113739;314;281
Sankt Johann im Pongau;504;81962;56065;184;93
Tamsweg;505;20327;13634;68;18
Zell am See;506;89017;55166;194;145
Graz(Stadt);601;293929;166225;579;690
Deutschlandsberg;603;61092;35455;180;79
Graz-Umgebung;606;161131;95780;430;371
Leibnitz;610;86399;51352;192;122
Leoben;611;59341;30495;193;42
Liezen;612;79739;45155;226;72
Murau;614;27343;14838;59;19
Voitsberg;616;51165;27670;189;87
Weiz;617;91844;55325;259;85
Murtal;620;71398;38205;293;68
Bruck-Mürzzuschlag;621;98394;50085;357;146
Hartberg-Fürstenfeld;622;91091;53529;300;123
Südoststeiermark;623;84024;48700;295;78
Innsbruck-Stadt;701;130599;82957;254;312
Imst;702;61843;41852;95;108
Innsbruck-Land;703;183827;120912;284;454
Kitzbühel;704;65482;40691;98;157
Kufstein;705;112301;73583;245;148
Landeck;706;44681;31395;92;85
Lienz;707;48854;33146;146;48
Reutte;708;33427;21144;29;35
Schwaz;709;85478;52516;218;113
Bludenz;801;64943;42428;96;38
Bregenz;802;136369;84145;238;143
Dornbirn;803;91344;58007;170;89
Feldkirch;804;110547;71243;177;101
Wien;900;1951354;1317321;4583;6929
