Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;5416;13;610
Rust(Stadt);102;2000;626;1;94
Eisenstadt-Umgebung;103;43861;15025;43;1792
Güssing;104;25770;9243;74;1073
Jennersdorf;105;17109;6565;31;909
Mattersburg;106;40316;14165;63;1564
Neusiedl am See;107;60397;20530;62;2273
Oberpullendorf;108;37453;12785;54;1353
Oberwart;109;54209;19616;103;2105
Klagenfurt Stadt;201;101765;36113;207;2633
Villach Stadt;202;63236;22835;123;1815
Hermagor;203;18052;7135;41;483
Klagenfurt Land;204;60503;22822;89;1707
Sankt Veit an der Glan;205;53880;20486;132;1844
Spittal an der Drau;206;75628;30790;182;1987
Villach Land;207;64920;25231;141;1706
Völkermarkt;208;41834;17364;90;1145
Wolfsberg;209;52488;20743;140;1412
Feldkirchen;210;29783;11832;74;910
Krems an der Donau(Stadt);301;24837;8789;38;1029
Sankt Pölten(Stadt);302;55878;21795;93;2342
Waidhofen an der Ybbs(Stadt);303;11134;5389;24;528
Wiener Neustadt(Stadt);304;46456;18587;143;1548
Amstetten;305;116592;58550;154;4931
Baden;306;147113;55289;213;5166
Bruck an der Leitha;307;105507;37425;107;3812
Gänserndorf;308;105824;34959;92;3797
Gmünd;309;36275;13691;76;1361
Hollabrunn;310;51332;16658;71;2070
Horn;311;30838;11102;33;1297
Korneuburg;312;91777;30042;74;3264
Krems(Land);313;56559;22167;49;2564
Lilienfeld;314;25474;11211;57;1170
Melk;315;78281;37894;143;3382
Mistelbach;316;75655;24957;43;2917
Mödling;317;119240;39814;151;4105
Neunkirchen;318;86323;34185;132;3038
Sankt Pölten(Land);319;132064;52756;187;4932
Scheibbs;320;41567;21584;76;1693
Tulln;321;105762;35509;111;4335
Waidhofen an der Thaya;322;25531;10162;29;996
Wiener Neustadt(Land);323;79033;32398;140;2937
Zwettl;325;41827;18432;56;1908
Linz(Stadt);401;206537;76778;348;6919
Steyr(Stadt);402;37952;14371;51;1175
Wels(Stadt);403;62654;26467;127;1961
Braunau am Inn;404;106492;52137;198;4029
Eferding;405;33368;14189;57;1297
Freistadt;406;66922;31834;129;2644
Gmunden;407;102102;46959;181;3310
Grieskirchen;408;65137;30559;117;2851
Kirchdorf an der Krems;409;57163;24703;116;2129
Linz-Land;410;152391;62740;207;5733
Perg;411;69241;32434;121;3047
Ried im Innkreis;412;61850;29445;132;2427
Rohrbach;413;56623;26740;129;1923
Schärding;414;57438;26488;120;2122
Steyr-Land;415;60936;27000;123;2496
Urfahr-Umgebung;416;86235;37900;107;3368
Vöcklabruck;417;137993;65332;270;5132
Wels-Land;418;74574;34362;99;2585
Salzburg(Stadt);501;155416;64098;230;5322
Hallein;502;60992;32436;96;2039
Salzburg-Umgebung;503;154624;77372;215;6338
Sankt Johann im Pongau;504;81392;42168;139;2138
Tamsweg;505;20118;9769;52;439
Zell am See;506;88168;40648;151;2169
Graz(Stadt);601;291134;101447;430;10807
Deutschlandsberg;603;60871;24199;141;2786
Graz-Umgebung;606;157853;60300;332;6851
Leibnitz;610;85294;34546;147;3430
Leoben;611;59151;19976;147;2002
Liezen;612;79592;31968;168;2360
Murau;614;27449;9915;42;977
Voitsberg;616;50947;19316;155;1761
Weiz;617;90916;39147;200;3646
Murtal;620;71356;26929;232;1947
Bruck-Mürzzuschlag;621;98054;32933;290;3075
Hartberg-Fürstenfeld;622;90619;37515;231;3182
Südoststeiermark;623;83841;33727;225;3501
Innsbruck-Stadt;701;131059;53486;165;3607
Imst;702;60922;30647;61;1478
Innsbruck-Land;703;181698;80821;187;5014
Kitzbühel;704;64676;29243;57;1555
Kufstein;705;111080;53157;182;2653
Landeck;706;44346;23261;66;1117
Lienz;707;48814;23589;94;1195
Reutte;708;33054;13693;16;1105
Schwaz;709;84456;38590;158;1993
Bludenz;801;64368;30122;77;2470
Bregenz;802;135310;57432;180;4473
Dornbirn;803;90502;40865;120;2912
Feldkirch;804;109057;48414;134;4034
Wien;900;1920949;734179;3197;59818
