Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"4,3",5,"8612,30",10035
Baden,Niederösterreich,"10,9",16,"6789,70",9964
Bludenz,Vorarlberg,"10,9",7,"6632,70",4252
Braunau am Inn,Oberösterreich,"19,9",21,"8760,50",9247
Bregenz,Vorarlberg,"10,4",14,"7360,00",9935
Bruck an der Leitha,Niederösterreich,"32,8",34,"5922,80",6144
Bruck-Mürzzuschlag,Steiermark,2,2,"6185,60",6105
Deutschlandsberg,Steiermark,"1,6",1,"6683,40",4068
Dornbirn,Vorarlberg,"7,8",7,"8624,00",7754
Eferding,Oberösterreich,3,1,"8457,40",2806
Eisenstadt,Burgenland,"6,7",1,"6668,50",988
Eisenstadt-Umgebung,Burgenland,"13,9",6,"5502,40",2379
Feldkirch,Vorarlberg,"12,9",14,"7712,70",8340
Feldkirchen,Kärnten,0,±0,"8063,00",2411
Freistadt,Oberösterreich,"1,5",1,"8293,30",5545
Gänserndorf,Niederösterreich,"11,5",12,"5743,40",6018
Gmünd,Niederösterreich,"2,7",1,"7501,40",2742
Gmunden,Oberösterreich,1,1,"7695,90",7839
Graz,Steiermark,"5,8",17,"5610,30",16330
Graz-Umgebung,Steiermark,"3,8",6,"5633,40",8792
Grieskirchen,Oberösterreich,"3,1",2,"8053,90",5225
Güssing,Burgenland,"11,7",3,"7136,50",1834
Hallein,Salzburg,"3,3",2,"11013,70",6699
Hartberg-Fürstenfeld,Steiermark,"3,3",3,"8165,00",7398
Hermagor,Kärnten,0,±0,"10452,00",1887
Hollabrunn,Niederösterreich,0,±0,"5149,60",2628
Horn,Niederösterreich,0,±0,"4971,60",1538
Imst,Tirol,"9,9",6,"9081,60",5492
Innsbruck-Land,Tirol,"12,2",22,"7734,40",13957
Innsbruck-Stadt,Tirol,"5,3",7,"7452,20",9834
Jennersdorf,Burgenland,"17,5",3,"7627,10",1304
Kirchdorf an der Krems,Oberösterreich,0,±0,"7438,10",4245
Kitzbühel,Tirol,"1,6",1,"6994,10",4488
Klagenfurt Land,Kärnten,"1,7",1,"6998,40",4200
Klagenfurt Stadt,Kärnten,"7,9",8,"6183,60",6264
Korneuburg,Niederösterreich,"8,8",8,"4798,70",4379
Krems (Land),Niederösterreich,"1,8",1,"5875,70",3319
Krems an der Donau,Niederösterreich,0,±0,"5564,00",1393
Kufstein,Tirol,"0,9",1,"8524,10",9401
Landeck,Tirol,"4,5",2,"8322,40",3694
Leibnitz,Steiermark,"2,4",2,"6980,00",5916
Leoben,Steiermark,"1,7",1,"5629,80",3361
Lienz,Tirol,"6,2",3,"10919,60",5322
Liezen,Steiermark,"3,8",3,"6851,10",5457
Lilienfeld,Niederösterreich,0,±0,"6575,70",1687
Linz,Oberösterreich,"16,9",35,"6699,10",13840
Linz-Land,Oberösterreich,"8,6",13,"6740,40",10203
Mattersburg,Burgenland,5,2,"5741,50",2299
Melk,Niederösterreich,"2,6",2,"7413,90",5797
Mistelbach,Niederösterreich,0,±0,"5006,30",3786
Mödling,Niederösterreich,"15,1",18,"5383,90",6413
Murau,Steiermark,0,±0,"7250,50",1997
Murtal,Steiermark,"1,4",1,"7131,30",5113
Neunkirchen,Niederösterreich,"2,3",2,"6936,30",5989
Neusiedl am See,Burgenland,"8,3",5,"5454,20",3272
Oberpullendorf,Burgenland,"2,7",1,"5989,20",2239
Oberwart,Burgenland,24,13,"6794,40",3682
Perg,Oberösterreich,"7,2",5,"8553,20",5899
Reutte,Tirol,3,1,"6151,40",2020
Ried im Innkreis,Oberösterreich,"3,2",2,"9726,00",6000
Rohrbach,Oberösterreich,"5,3",3,"9053,00",5119
Rust,Burgenland,0,±0,"3787,90",75
Salzburg,Salzburg,"5,8",9,"7574,50",11742
