Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"16,3",19,"8598,50",10019
Baden,Niederösterreich,"16,4",24,"6761,80",9923
Bludenz,Vorarlberg,"17,2",11,"6624,90",4247
Braunau am Inn,Oberösterreich,"42,6",45,"8729,30",9214
Bregenz,Vorarlberg,"27,4",37,"7351,10",9923
Bruck an der Leitha,Niederösterreich,"13,5",14,"5885,20",6105
Bruck-Mürzzuschlag,Steiermark,"8,1",8,"6180,50",6100
Deutschlandsberg,Steiermark,"9,9",6,"6676,90",4064
Dornbirn,Vorarlberg,"28,9",26,"8616,20",7747
Eferding,Oberösterreich,0,±0,"8451,40",2804
Eisenstadt,Burgenland,0,±0,"6661,70",987
Eisenstadt-Umgebung,Burgenland,"11,6",5,"5486,20",2372
Feldkirch,Vorarlberg,"15,7",17,"7690,50",8316
Feldkirchen,Kärnten,10,3,"8053,00",2408
Freistadt,Oberösterreich,12,8,"8288,80",5542
Gänserndorf,Niederösterreich,"18,1",19,"5720,40",5994
Gmünd,Niederösterreich,"19,2",7,"7490,50",2738
Gmunden,Oberösterreich,2,2,"7695,00",7838
Graz,Steiermark,12,35,"5607,20",16321
Graz-Umgebung,Steiermark,9,14,"5625,70",8780
Grieskirchen,Oberösterreich,"3,1",2,"8050,90",5223
Güssing,Burgenland,"7,8",2,"7117,00",1829
Hallein,Salzburg,"6,6",4,"11003,90",6693
Hartberg-Fürstenfeld,Steiermark,"7,7",7,"8159,50",7393
Hermagor,Kärnten,0,±0,"10446,40",1886
Hollabrunn,Niederösterreich,"5,9",3,"5145,70",2626
Horn,Niederösterreich,"6,5",2,"4971,60",1538
Imst,Tirol,"46,3",28,"9061,70",5480
Innsbruck-Land,Tirol,"28,8",52,"7716,70",13925
Innsbruck-Stadt,Tirol,"37,9",50,"7435,50",9812
Jennersdorf,Burgenland,"5,8",1,"7597,80",1299
Kirchdorf an der Krems,Oberösterreich,"1,8",1,"7438,10",4245
Kitzbühel,Tirol,"1,6",1,"6992,60",4487
Klagenfurt Land,Kärnten,"11,7",7,"6985,00",4192
Klagenfurt Stadt,Kärnten,"9,9",10,"6170,80",6251
Korneuburg,Niederösterreich,"14,2",13,"4771,30",4354
Krems (Land),Niederösterreich,"8,9",5,"5870,40",3316
Krems an der Donau,Niederösterreich,20,5,"5560,00",1392
Kufstein,Tirol,"10,9",12,"8525,90",9403
Landeck,Tirol,"15,8",7,"8322,40",3694
Leibnitz,Steiermark,"7,1",6,"6978,90",5915
Leoben,Steiermark,5,3,"5628,10",3360
Lienz,Tirol,"14,4",7,"10911,40",5318
Liezen,Steiermark,5,4,"6846,00",5453
Lilienfeld,Niederösterreich,"27,3",7,"6575,70",1687
Linz,Oberösterreich,"22,7",47,"6671,50",13783
Linz-Land,Oberösterreich,"16,5",25,"6724,50",10179
Mattersburg,Burgenland,0,±0,"5724,00",2292
Melk,Niederösterreich,"15,3",12,"7404,90",5790
Mistelbach,Niederösterreich,"14,5",11,"5003,60",3784
Mödling,Niederösterreich,"6,7",8,"5361,20",6386
Murau,Steiermark,"14,5",4,"7239,60",1994
Murtal,Steiermark,"8,4",6,"7129,90",5112
Neunkirchen,Niederösterreich,"30,1",26,"6934,00",5987
Neusiedl am See,Burgenland,"8,3",5,"5442,60",3265
Oberpullendorf,Burgenland,"10,7",4,"5967,80",2231
Oberwart,Burgenland,24,13,"6751,90",3659
Perg,Oberösterreich,"27,5",19,"8540,20",5890
Reutte,Tirol,"9,1",3,"6151,40",2020
Ried im Innkreis,Oberösterreich,"9,7",6,"9719,60",5996
Rohrbach,Oberösterreich,"10,6",6,"9045,90",5115
Rust,Burgenland,0,±0,"3787,90",75
Salzburg,Salzburg,"8,4",13,"7564,10",11726
Salzburg-Umgebung,Salzburg,"18,9",29,"8061,00",12373
Sankt Johann im Pongau,Salzburg,"2,5",2,"11806,30",9586
Sankt Pölten,Niederösterreich,"25,2",14,"7028,90",3902
Sankt Pölten (Land),Niederösterreich,"12,9",17,"6051,10",7971
Sankt Veit an der Glan,Kärnten,"14,8",8,"7328,50",3971
Schärding,Oberösterreich,7,4,"9283,70",5328
Scheibbs,Niederösterreich,"12,1",5,"9144,30",3787
Schwaz,Tirol,"3,6",3,"10684,30",9010
Spittal an der Drau,Kärnten,"11,9",9,"7694,90",5838
Steyr,Oberösterreich,"26,3",10,"6498,30",2473
Steyr-Land,Oberösterreich,"11,5",7,"7044,20",4277
Südoststeiermark,Steiermark,"7,1",6,"7177,90",6032
Tamsweg,Salzburg,0,±0,"12266,10",2484
Tulln,Niederösterreich,"15,3",16,"5190,60",5429
Urfahr-Umgebung,Oberösterreich,"2,3",2,"7118,20",6122
Villach Land,Kärnten,"9,3",6,"6951,60",4492
Villach Stadt,Kärnten,"6,4",4,"6337,30",3985
Vöcklabruck,Oberösterreich,"5,8",8,"8408,00",11544
Voitsberg,Steiermark,"15,7",8,"6700,10",3420
Völkermarkt,Kärnten,"21,5",9,"8843,30",3702
Waidhofen an der Thaya,Niederösterreich,"3,9",1,"6541,50",1680
Waidhofen an der Ybbs,Niederösterreich,"106,9",12,"8135,80",913
Weiz,Steiermark,"8,8",8,"6835,90",6197
Wels,Oberösterreich,"14,4",9,"9044,30",5650
Wels-Land,Oberösterreich,"13,6",10,"7734,10",5706
Wien,Wien,"29,9",571,"7229,10",138162
Wiener Neustadt,Niederösterreich,"15,3",7,"8513,20",3901
Wiener Neustadt (Land),Niederösterreich,"6,4",5,"6715,90",5259
Wolfsberg,Kärnten,"13,3",7,"6636,00",3491
Zell am See,Salzburg,"3,4",3,"8279,30",7255
Zwettl,Niederösterreich,"4,8",2,"7957,20",3341
