Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"705,50",822,2697,3143
Baden,Niederösterreich,"300,5",441,"1852,10",2718
Bludenz,Vorarlberg,"609,90",391,"2977,80",1909
Braunau am Inn,Oberösterreich,"556,1",587,"2197,00",2319
Bregenz,Vorarlberg,"694,1",937,"3190,70",4307
Bruck an der Leitha,Niederösterreich,"302,7",314,"1724,60",1789
Bruck-Mürzzuschlag,Steiermark,462,456,"2044,60",2018
Deutschlandsberg,Steiermark,"330,2",201,"1496,70",911
Dornbirn,Vorarlberg,"816,4",734,"4046,20",3638
Eferding,Oberösterreich,"928,3",308,"4129,20",1370
Eisenstadt,Burgenland,"364,5",54,"2146,30",318
Eisenstadt-Umgebung,Burgenland,"374,7",162,"1882,70",814
Feldkirch,Vorarlberg,"718,6",777,"3198,80",3459
Feldkirchen,Kärnten,"635,4",190,"1879,50",562
Freistadt,Oberösterreich,"526,5",352,"3426,50",2291
Gänserndorf,Niederösterreich,"151,7",159,"1356,10",1421
Gmünd,Niederösterreich,"456,9",167,"2489,50",910
Gmunden,Oberösterreich,"478,1",487,"2638,00",2687
Graz,Steiermark,"368,3",#ERROR!,"1957,20",5697
Graz-Umgebung,Steiermark,380,593,"1710,80",2670
Grieskirchen,Oberösterreich,"707,5",459,3575,2319
Güssing,Burgenland,"466,9",120,2343,602
Hallein,Salzburg,"734,9",447,"3608,80",2195
Hartberg-Fürstenfeld,Steiermark,"488,9",443,"2321,00",2103
Hermagor,Kärnten,"459,7",83,"2115,90",382
Hollabrunn,Niederösterreich,"364,5",186,"1646,00",840
Horn,Niederösterreich,"239,2",74,"1289,80",399
Imst,Tirol,"605,2",366,"3204,70",1938
Innsbruck-Land,Tirol,"559,1",#ERROR!,"3233,50",5835
Innsbruck-Stadt,Tirol,"400,1",528,"3682,10",4859
Jennersdorf,Burgenland,427,73,2381,407
Kirchdorf an der Krems,Oberösterreich,"632,5",361,"2281,40",1302
Kitzbühel,Tirol,547,351,"2713,20",1741
Klagenfurt Land,Kärnten,"693,2",416,"1884,60",1131
