Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederöstereich,"404,2",471,"1.113,10",1.297
Baden,Niederöstereich,"265,8",390,"1.062,30",1.559
Bludenz,Vorarlberg,"411,8",264,1.563,1.002
Braunau am Inn,Oberösterreich,"313,6",331,"905,70",956
Bregenz,Vorarlberg,"492,6",665,"1.483,80",2.003
Bruck an der Leitha,Niederöstereich,"238,1",247,"1.056,50",1.096
Bruck-Mürzzuschlag,Steiermark,"320,2",316,"756,90",747
Deutschlandsberg,Steiermark,"241,5",147,"637,50",388
Dornbirn,Vorarlberg,"804,1",723,"2.042,00",1.836
Eferding,Oberösterreich,859,285,"1.892,80",628
Eisenstadt,Burgenland,"627,7",93,"1.100,20",163
Eisenstadt-Umgebung,Burgenland,"349,2",151,"999,20",432
Feldkirch,Vorarlberg,"450,4",487,"1.581,40",1.710
Feldkirchen,Kärnten,"254,2",76,"561,80",168
Freistadt,Oberösterreich,"505,5",338,"1.411,90",944
Gänserndorf,Niederöstereich,"153,7",161,"883,70",926
Gmünd,Niederöstereich,476,174,1.237,452
Gmunden,Oberösterreich,"529,2",539,"1.345,00",1.370
Graz,Steiermark,"272,8",794,"1.014,50",2.953
Graz-Umgebung,Steiermark,"233,2",364,"810,50",1.265
Grieskirchen,Oberösterreich,"759,9",493,"1.751,10",1.136
Güssing,Burgenland,"319,1",82,"867,70",223
Hallein,Salzburg,"450,5",274,"2.053,50",1.249
Hartberg-Fürstenfeld,Steiermark,"337,7",306,"1.055,10",956
Hermagor,Kärnten,"354,5",64,"875,20",158
Hollabrunn,Niederöstereich,"301,8",154,"687,80",351
Horn,Niederöstereich,"193,9",60,"698,20",216
Imst,Tirol,"357,2",216,"1.648,60",997
Innsbruck-Land,Tirol,"463,8",837,"1.671,30",3.016
Innsbruck-Stadt,Tirol,"462,3",610,"2.354,50",3.107
Jennersdorf,Burgenland,386,66,"748,70",128
Kirchdorf an der Krems,Oberösterreich,"325,9",186,"779,70",445
Kitzbühel,Tirol,"370,9",238,"1.332,40",855
Klagenfurt Land,Kärnten,"223,3",134,548,329
Klagenfurt Stadt,Kärnten,"325,8",330,"810,50",821
Korneuburg,Niederöstereich,"279,4",255,"1.155,00",1.054
Krems (Land),Niederöstereich,"345,2",195,"1.267,50",716
Krems an der Donau,Niederöstereich,"303,6",76,"1.154,30",289
Kufstein,Tirol,"503,2",555,"1.834,30",2.023
Landeck,Tirol,"292,9",130,"3.350,20",1.487
Leibnitz,Steiermark,"379,9",322,"995,80",844
Leoben,Steiermark,"323,3",193,"891,10",532
Lienz,Tirol,"242,1",118,"898,70",438
Liezen,Steiermark,"359,1",286,"949,10",756
Lilienfeld,Niederöstereich,"401,5",103,"1.274,60",327
Linz,Oberösterreich,"368,8",762,"1.466,60",3.030
Linz-Land,Oberösterreich,"388,4",588,"1.353,00",2.048
Mattersburg,Burgenland,"262,2",105,"896,60",359
Melk,Niederöstereich,"230,2",180,"925,90",724
Mistelbach,Niederöstereich,"108,4",82,"761,70",576
Mödling,Niederöstereich,"288,8",344,"1.190,40",1.418
Murau,Steiermark,"217,8",60,"410,30",113
Murtal,Steiermark,"241,3",173,"689,00",494
Neunkirchen,Niederöstereich,"284,9",246,1.093,944
Neusiedl am See,Burgenland,"231,7",139,959,575
Oberpullendorf,Burgenland,"379,8",142,"1.019,20",381
Oberwart,Burgenland,"461,3",250,"1.367,40",741
Perg,Oberösterreich,"429,2",296,"1.352,80",933
Reutte,Tirol,"283,2",93,"852,70",280
Ried im Innkreis,Oberösterreich,697,430,"1.857,70",1.146
Rohrbach,Oberösterreich,"767,5",434,"1.867,50",1.056
Rust,Burgenland,404,8,"707,10",14
Salzburg,Salzburg,"329,6",511,"1.056,60",1.638
Salzburg-Umgebung,Salzburg,"446,3",685,"1.336,20",2.051
Sankt Johann im Pongau,Salzburg,654,531,2.171,1.763
Sankt Pölten,Niederöstereich,"340,5",189,"1.244,70",691
Sankt Pölten (Land),Niederöstereich,"266,5",351,"1.037,00",1.366
Sankt Veit an der Glan,Kärnten,"232,5",126,"647,80",351
Schärding,Oberösterreich,"660,4",379,"1.678,00",963
Scheibbs,Niederöstereich,"415,3",172,"963,40",399
Schwaz,Tirol,"709,1",598,"2.585,10",2.180
Spittal an der Drau,Kärnten,"102,8",78,"300,50",228
Steyr,Oberösterreich,"483,5",184,"1.313,90",500
Steyr-Land,Oberösterreich,"533,6",324,"1.396,60",848
Südoststeiermark,Steiermark,"441,5",371,"806,80",678
Tamsweg,Salzburg,"409,9",83,"1.076,50",218
Tulln,Niederöstereich,"316,5",331,"1.109,10",1.160
Urfahr-Umgebung,Oberösterreich,493,424,"1.374,30",1.182
Villach Land,Kärnten,"187,3",121,"509,10",329
Villach Stadt,Kärnten,"227,4",143,"577,30",363
Vöcklabruck,Oberösterreich,"391,9",538,"1.260,80",1.731
Voitsberg,Steiermark,"274,3",140,"973,70",497
Völkermarkt,Kärnten,"219,8",92,"771,60",323
Waidhofen an der Thaya,Niederöstereich,"416,6",107,"1.432,90",368
Waidhofen an der Ybbs,Niederöstereich,"285,2",32,"837,60",94
Weiz,Steiermark,"313,3",284,"890,20",807
Wels,Oberösterreich,"505,8",316,"1.829,70",1.143
Wels-Land,Oberösterreich,"398,5",294,"1.160,30",856
Wien,Wien,"303,3",#ERROR!,"1.780,30",34.025
Wiener Neustadt,Niederöstereich,"473,6",217,"1.508,00",691
Wiener Neustadt (Land),Niederöstereich,"240,1",188,"888,80",696
Wolfsberg,Kärnten,"220,5",116,"560,80",295
Zell am See,Salzburg,"251,1",220,"1.143,50",1.002
Zwettl,Niederöstereich,"304,9",128,"1.112,20",467
