Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"430,8",502,"3978,70",4636
Baden,Niederösterreich,"202,4",297,"2375,50",3486
Bludenz,Vorarlberg,"280,80",180,"3817,10",2447
Braunau am Inn,Oberösterreich,378,399,"3355,70",3542
Bregenz,Vorarlberg,"233,4",315,"3932,20",5308
Bruck an der Leitha,Niederösterreich,"195,7",203,"2220,10",2303
Bruck-Mürzzuschlag,Steiermark,"373,9",369,"3023,40",2984
Deutschlandsberg,Steiermark,"203,70",124,"2025,70",1233
Dornbirn,Vorarlberg,"238,00",214,"4772,40",4291
Eferding,Oberösterreich,320,106,"5551,90",1842
Eisenstadt,Burgenland,"324,00",48,"2801,00",415
Eisenstadt-Umgebung,Burgenland,"187,30",81,"2442,40",1056
Feldkirch,Vorarlberg,"291,30",315,"4091,30",4424
Feldkirchen,Kärnten,"291,00",87,"2996,50",896
Freistadt,Oberösterreich,"237,80",159,"4648,40",3108
Gänserndorf,Niederösterreich,"112,60",118,"1684,40",1765
Gmünd,Niederösterreich,"314,60",115,"3252,80",1189
Gmunden,Oberösterreich,258,263,"3440,00",3504
Graz,Steiermark,"219,20",638,"2581,80",7515
Graz-Umgebung,Steiermark,"286,40",447,"2452,10",3827
Grieskirchen,Oberösterreich,"299,00",194,"5051,30",3277
Güssing,Burgenland,"260,70",67,"2992,30",769
Hallein,Salzburg,"346,90",211,"4754,70",2892
Hartberg-Fürstenfeld,Steiermark,"335,50",304,"3264,70",2958
Hermagor,Kärnten,"421,00",76,"3207,00",579
Hollabrunn,Niederösterreich,78,40,"2028,10",1035
Horn,Niederösterreich,"93,70",29,"1616,20",500
Imst,Tirol,"271,20",164,"4086,10",2471
Innsbruck-Land,Tirol,"268,20",484,"4227,10",7628
Innsbruck-Stadt,Tirol,"191,00",252,"4346,70",5736
Jennersdorf,Burgenland,"310,00",53,"3187,70",545
Kirchdorf an der Krems,Oberösterreich,"266,30",152,"3255,60",1858
Kitzbühel,Tirol,"221,30",142,"3511,10",2253
Klagenfurt Land,Kärnten,"298,30",179,"2911,00",1747
Klagenfurt Stadt,Kärnten,"268,50",272,"3023,70",3063
Korneuburg,Niederösterreich,"106,30",97,"2180,70",1990
Krems (Land),Niederösterreich,"173,50",98,"3036,10",1715
Krems an der Donau,Niederösterreich,"179,70",45,"3143,50",787
Kufstein,Tirol,"261,10",288,"5051,40",5571
Landeck,Tirol,"218,50",97,"4796,60",2129
Leibnitz,Steiermark,"324,50",275,"2976,80",2523
Leoben,Steiermark,240,143,"2829,10",1689
Lienz,Tirol,"580,70",283,"4302,60",2097
Liezen,Steiermark,"239,80",191,"2967,90",2364
Lilienfeld,Niederösterreich,"296,2",76,"3091,00",793
Linz,Oberösterreich,"299,6",619,"3635,10",7510
Linz-Land,Oberösterreich,"305,9",463,"3668,50",5553
Mattersburg,Burgenland,"324,7",130,2550,1021
Melk,Niederösterreich,353,276,3169,2478
Mistelbach,Niederösterreich,"91,2",69,1716,1298
Mödling,Niederösterreich,162,193,"2291,10",2729
Murau,Steiermark,"642,6",177,"2864,60",789
Murtal,Steiermark,"403,1",289,"2929,00",2100
Neunkirchen,Niederösterreich,"295,3",255,"2482,00",2143
Neusiedl am See,Burgenland,"143,4",86,2199,1319
Oberpullendorf,Burgenland,"216,7",81,"3204,60",1198
Oberwart,Burgenland,"190,1",103,"2996,80",1624
Perg,Oberösterreich,"310,3",214,"4480,30",3090
Reutte,Tirol,"140,1",46,"2381,40",782
Ried im Innkreis,Oberösterreich,"317,70",196,"5156,40",3181
Rohrbach,Oberösterreich,"212,2",120,"6133,20",3468
Rust,Burgenland,101,2,"2474,70",49
Salzburg,Salzburg,"254,8",395,"3277,00",5080
Salzburg-Umgebung,Salzburg,"287,3",441,"3794,30",5824
Sankt Johann im Pongau,Salzburg,"390,40",317,"5486,90",4455
Sankt Pölten,Niederösterreich,"380,1",211,"3343,30",1856
Sankt Pölten (Land),Niederösterreich,227,299,2724,3588
Sankt Veit an der Glan,Kärnten,"424,50",230,"3545,20",1921
Schärding,Oberösterreich,"444,3",255,"5021,70",2882
Scheibbs,Niederösterreich,"412,90",171,"4158,00",1722
Schwaz,Tirol,"392,5",331,"7326,10",6178
Spittal an der Drau,Kärnten,"170,00",129,"1908,60",1448
Steyr,Oberösterreich,"218,1",83,"3515,90",1338
Steyr-Land,Oberösterreich,"256,90",156,"4188,30",2543
Südoststeiermark,Steiermark,"336,8",283,"3076,10",2585
Tamsweg,Salzburg,"1027,10",208,"5589,80",1132
Tulln,Niederösterreich,131,137,"2367,30",2476
Urfahr-Umgebung,Oberösterreich,"281,4",242,"4918,30",4230
Villach Land,Kärnten,"323,4",209,"2658,70",1718
Villach Stadt,Kärnten,"187,7",118,"2410,90",1516
Vöcklabruck,Oberösterreich,"253,5",348,"3887,20",5337
Voitsberg,Steiermark,"268,4",137,"3303,00",1686
Völkermarkt,Kärnten,"437,2",183,"4163,70",1743
Waidhofen an der Thaya,Niederösterreich,"202,5",52,"2838,60",729
Waidhofen an der Ybbs,Niederösterreich,"392,1",44,"3323,80",373
Weiz,Steiermark,"276,9",251,"2509,50",2275
Wels,Oberösterreich,"310,5",194,"4315,70",2696
Wels-Land,Oberösterreich,"215,5",159,"3465,80",2557
Wien,Wien,"186,1",#ERROR!,"3270,80",62512
Wiener Neustadt,Niederösterreich,"229,1",105,"3016,00",1382
Wiener Neustadt (Land),Niederösterreich,"183,9",144,"2227,10",1744
Wolfsberg,Kärnten,"520,8",274,"3510,90",1847
Zell am See,Salzburg,"329,8",289,"3965,60",3475
Zwettl,Niederösterreich,312,131,"3177,20",1334
