Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10641;25;25
Rust(Stadt);102;2021;1318;5;2
Eisenstadt-Umgebung;103;44488;30067;77;62
Güssing;104;25809;16896;101;11
Jennersdorf;105;17216;10075;44;3
Mattersburg;106;40731;26878;88;21
Neusiedl am See;107;61358;42549;85;85
Oberpullendorf;108;37556;25055;68;46
Oberwart;109;54682;34645;145;42
Klagenfurt Stadt;201;103297;59336;303;55
Villach Stadt;202;64125;35681;174;35
Hermagor;203;18069;10696;66;5
Klagenfurt Land;204;61114;35983;127;28
Sankt Veit an der Glan;205;53953;33034;167;26
Spittal an der Drau;206;75725;44556;276;40
Villach Land;207;65635;38567;204;30
Völkermarkt;208;41947;26614;121;24
Wolfsberg;209;52352;30349;203;22
Feldkirchen;210;29949;17352;83;13
Krems an der Donau(Stadt);301;24930;15835;75;31
Sankt Pölten(Stadt);302;56697;37867;146;49
Waidhofen an der Ybbs(Stadt);303;11187;8122;59;11
Wiener Neustadt(Stadt);304;47407;31055;222;41
Amstetten;305;117442;90010;309;87
Baden;306;148765;99488;363;172
Bruck an der Leitha;307;107297;73802;220;143
Gänserndorf;308;107504;70672;222;129
Gmünd;309;36152;23089;158;41
Hollabrunn;310;51879;32808;116;45
Horn;311;30875;19181;60;9
Korneuburg;312;92442;63112;145;128
Krems(Land);313;56840;38773;139;59
Lilienfeld;314;25491;17736;111;15
Melk;315;78779;59443;464;48
Mistelbach;316;76641;50007;107;86
Mödling;317;120412;81260;307;167
Neunkirchen;318;87048;57471;250;78
Sankt Pölten(Land);319;133497;94877;336;115
Scheibbs;320;41711;31494;98;26
Tulln;321;107723;71629;214;102
Waidhofen an der Thaya;322;25644;17050;80;15
Wiener Neustadt(Land);323;80020;54011;217;79
Zwettl;325;41757;30146;84;27
Linz(Stadt);401;208445;126882;474;139
Steyr(Stadt);402;37915;23316;83;23
Wels(Stadt);403;63542;40260;165;47
Braunau am Inn;404;108388;77076;269;43
Eferding;405;33715;23350;81;11
Freistadt;406;67638;48462;200;25
Gmunden;407;102765;71012;256;50
Grieskirchen;408;65929;47829;158;37
Kirchdorf an der Krems;409;57882;39458;167;40
Linz-Land;410;154320;101003;295;85
Perg;411;69905;50717;155;36
Ried im Innkreis;412;62535;44907;170;27
Rohrbach;413;57034;40751;165;18
Schärding;414;57750;39887;156;12
Steyr-Land;415;61494;43390;158;50
Urfahr-Umgebung;416;87466;62644;161;50
Vöcklabruck;417;139989;100143;340;68
Wels-Land;418;75514;54403;123;45
Salzburg(Stadt);501;155743;103375;340;96
Hallein;502;61262;45901;147;30
Salzburg-Umgebung;503;155982;117450;317;89
Sankt Johann im Pongau;504;81962;57488;184;18
Tamsweg;505;20327;13931;68;7
Zell am See;506;89017;56623;200;25
Graz(Stadt);601;293929;173269;604;207
Deutschlandsberg;603;61092;36350;184;19
Graz-Umgebung;606;161131;99686;440;97
Leibnitz;610;86399;53347;194;46
Leoben;611;59341;31706;196;25
Liezen;612;79739;46757;229;20
Murau;614;27343;15142;60;11
Voitsberg;616;51165;28350;191;18
Weiz;617;91844;56746;259;27
Murtal;620;71398;39247;294;28
Bruck-Mürzzuschlag;621;98394;51744;359;39
Hartberg-Fürstenfeld;622;91091;55086;310;41
Südoststeiermark;623;84024;50331;295;18
Innsbruck-Stadt;701;130599;86325;263;90
Imst;702;61843;43118;105;24
Innsbruck-Land;703;183827;125846;293;87
Kitzbühel;704;65482;41976;102;20
Kufstein;705;112301;75552;256;37
Landeck;706;44681;32256;93;24
Lienz;707;48854;33942;147;13
Reutte;708;33427;21654;34;12
Schwaz;709;85478;54174;222;22
Bludenz;801;64943;43350;98;14
Bregenz;802;136369;86030;242;23
Dornbirn;803;91344;59492;171;26
Feldkirch;804;110547;72674;179;24
Wien;900;1951354;1409831;4760;2848
