Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;4567;13;647
Rust(Stadt);102;2000;517;1;114
Eisenstadt-Umgebung;103;43861;12739;43;1640
Güssing;104;25770;7859;73;929
Jennersdorf;105;17109;5428;31;963
Mattersburg;106;40316;12179;62;1325
Neusiedl am See;107;60397;17717;60;1906
Oberpullendorf;108;37453;11104;52;1488
Oberwart;109;54209;17079;103;2185
Klagenfurt Stadt;201;101765;32623;205;2661
Villach Stadt;202;63236;20401;123;1394
Hermagor;203;18052;6468;40;457
Klagenfurt Land;204;60503;20547;87;1657
Sankt Veit an der Glan;205;53880;18041;132;1813
Spittal an der Drau;206;75628;28175;179;1987
Villach Land;207;64920;22925;139;1676
Völkermarkt;208;41834;15888;87;1203
Wolfsberg;209;52488;18843;138;1870
Feldkirchen;210;29783;10630;73;817
Krems an der Donau(Stadt);301;24837;7485;38;929
Sankt Pölten(Stadt);302;55878;18676;92;2221
Waidhofen an der Ybbs(Stadt);303;11134;4646;24;559
Wiener Neustadt(Stadt);304;46456;16434;142;1573
Amstetten;305;116592;51737;154;5238
Baden;306;147113;48292;210;4938
Bruck an der Leitha;307;105507;32534;107;3521
Gänserndorf;308;105824;29908;91;3646
Gmünd;309;36275;11851;75;1406
Hollabrunn;310;51332;13926;71;1860
Horn;311;30838;9367;33;1540
Korneuburg;312;91777;25760;74;3033
Krems(Land);313;56559;18940;49;2466
Lilienfeld;314;25474;9684;56;1225
Melk;315;78281;33418;143;3460
Mistelbach;316;75655;21285;43;2804
Mödling;317;119240;34012;151;3795
Neunkirchen;318;86323;30070;132;3211
Sankt Pölten(Land);319;132064;46051;187;5154
Scheibbs;320;41567;19253;73;2216
Tulln;321;105762;29789;111;3823
Waidhofen an der Thaya;322;25531;8765;29;1118
Wiener Neustadt(Land);323;79033;28380;139;3380
Zwettl;325;41827;15926;56;1742
Linz(Stadt);401;206537;67657;331;5550
Steyr(Stadt);402;37952;12771;50;959
Wels(Stadt);403;62654;23873;123;1816
Braunau am Inn;404;106492;46672;196;3791
Eferding;405;33368;12423;57;1096
Freistadt;406;66922;28385;123;2633
Gmunden;407;102102;42421;177;4317
Grieskirchen;408;65137;26945;116;2417
Kirchdorf an der Krems;409;57163;21850;114;2049
Linz-Land;410;152391;55348;199;4576
Perg;411;69241;28523;117;3008
Ried im Innkreis;412;61850;26271;126;2417
Rohrbach;413;56623;24106;127;2042
Schärding;414;57438;23519;117;2448
Steyr-Land;415;60936;23537;120;2276
Urfahr-Umgebung;416;86235;33293;102;3396
Vöcklabruck;417;137993;58577;262;5027
Wels-Land;418;74574;30910;99;2602
Salzburg(Stadt);501;155416;57050;227;5072
Hallein;502;60992;29729;94;1975
Salzburg-Umgebung;503;154624;68969;213;6726
Sankt Johann im Pongau;504;81392;39206;137;2185
Tamsweg;505;20118;9156;52;427
Zell am See;506;88168;37669;147;2541
Graz(Stadt);601;291134;87256;421;9872
Deutschlandsberg;603;60871;20471;137;2841
Graz-Umgebung;606;157853;51231;325;6353
Leibnitz;610;85294;29960;147;3600
Leoben;611;59151;17139;146;2251
Liezen;612;79592;28677;164;3201
Murau;614;27449;8652;41;999
Voitsberg;616;50947;16992;151;1880
Weiz;617;90916;34340;197;4054
Murtal;620;71356;24292;231;2391
Bruck-Mürzzuschlag;621;98054;28885;286;2845
Hartberg-Fürstenfeld;622;90619;33273;227;3608
Südoststeiermark;623;83841;29064;221;4082
Innsbruck-Stadt;701;131059;48318;147;4354
Imst;702;60922;28474;54;2122
Innsbruck-Land;703;181698;73603;177;6464
Kitzbühel;704;64676;27130;53;1613
Kufstein;705;111080;49379;170;3087
Landeck;706;44346;21669;61;1343
Lienz;707;48814;21932;80;1395
Reutte;708;33054;12137;13;1100
Schwaz;709;84456;35774;145;2418
Bludenz;801;64368;26610;74;2643
Bregenz;802;135310;51325;177;4658
Dornbirn;803;90502;36808;118;3289
Feldkirch;804;109057;42906;131;4315
Wien;900;1920949;654815;3137;53480
