Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederöstereich,"329,8",383,963,1.118
Baden,Niederöstereich,"244,2",357,"1.004,80",1.469
Bludenz,Vorarlberg,"334,3",213,"1.428,30",910
Braunau am Inn,Oberösterreich,"255,7",267,"803,60",839
Bregenz,Vorarlberg,"399,6",537,"1.315,60",1.768
Bruck an der Leitha,Niederöstereich,"223,5",228,"997,90",1.018
Bruck-Mürzzuschlag,Steiermark,"260,6",258,633,627
Deutschlandsberg,Steiermark,222,135,"567,20",345
Dornbirn,Vorarlberg,"635,7",566,"1.774,50",1.580
Eferding,Oberösterreich,"829,4",275,"1.637,70",543
Eisenstadt,Burgenland,"614,9",90,"1.086,30",159
Eisenstadt-Umgebung,Burgenland,"335,5",144,"873,60",375
Feldkirch,Vorarlberg,"378,9",406,"1.433,40",1.536
Feldkirchen,Kärnten,"257,2",77,"461,00",138
Freistadt,Oberösterreich,"541,9",361,"1.368,90",912
Gänserndorf,Niederöstereich,"144,7",150,"866,10",898
Gmünd,Niederöstereich,"454,1",167,"1.134,00",417
Gmunden,Oberösterreich,"506,7",515,"1.209,30",1.229
Graz,Steiermark,"255,9",739,"962,90",2.781
Graz-Umgebung,Steiermark,"219,8",339,"758,50",1.170
Grieskirchen,Oberösterreich,"684,5",443,1.561,1.010
Güssing,Burgenland,"310,1",80,"837,30",216
Hallein,Salzburg,"440,6",266,"1.954,50",1.180
Hartberg-Fürstenfeld,Steiermark,"323,3",293,"970,00",879
Hermagor,Kärnten,"296,3",54,"757,20",138
Hollabrunn,Niederöstereich,"228,1",116,"585,90",298
Horn,Niederöstereich,"144,7",45,"636,90",198
Imst,Tirol,"336,4",202,"1.578,50",948
Innsbruck-Land,Tirol,435,780,"1.577,10",2.828
Innsbruck-Stadt,Tirol,"493,5",652,"2.298,80",3.037
Jennersdorf,Burgenland,"398,5",68,"644,60",110
Kirchdorf an der Krems,Oberösterreich,"265,5",151,"677,00",385
Kitzbühel,Tirol,"336,6",215,"1.247,60",797
Klagenfurt Land,Kärnten,"205,7",123,"510,00",305
Klagenfurt Stadt,Kärnten,"280,7",283,"742,90",749
Korneuburg,Niederöstereich,"286,1",260,"1.128,80",1.026
Krems (Land),Niederöstereich,311,176,"1.137,90",644
Krems an der Donau,Niederöstereich,"225,1",56,1.061,264
Kufstein,Tirol,"527,9",579,"1.761,50",1.932
Landeck,Tirol,"268,2",119,"3.363,20",1.492
Leibnitz,Steiermark,"391,6",323,"961,40",793
Leoben,Steiermark,"304,7",183,"820,80",493
Lienz,Tirol,"246,1",120,"785,60",383
Liezen,Steiermark,"359,2",287,"867,30",693
Lilienfeld,Niederöstereich,"457,2",118,"1.228,10",317
Linz,Oberösterreich,"321,8",662,"1.364,90",2.808
Linz-Land,Oberösterreich,"326,7",491,"1.238,40",1.861
Mattersburg,Burgenland,"210,4",84,"784,00",313
Melk,Niederöstereich,"209,1",163,"869,70",678
Mistelbach,Niederöstereich,"103,3",78,"731,30",552
Mödling,Niederöstereich,"252,9",301,"1.121,00",1.334
Murau,Steiermark,"137,4",38,"321,80",89
Murtal,Steiermark,"216,7",156,"602,70",434
Neunkirchen,Niederöstereich,"251,5",217,"1.031,40",890
Neusiedl am See,Burgenland,"198,1",118,"910,10",542
Oberpullendorf,Burgenland,"359,9",135,"847,70",318
Oberwart,Burgenland,"458,6",248,"1.203,90",651
Perg,Oberösterreich,"378,3",259,1.259,862
Reutte,Tirol,"171,4",56,735,240
Ried im Innkreis,Oberösterreich,"535,9",328,"1.609,40",985
Rohrbach,Oberösterreich,"741,3",419,"1.746,20",987
Rust,Burgenland,"206,2",4,"412,40",8
Salzburg,Salzburg,"301,5",465,"987,00",1.522
Salzburg-Umgebung,Salzburg,"400,6",610,"1.235,90",1.882
Sankt Johann im Pongau,Salzburg,"624,3",503,"2.005,60",1.616
Sankt Pölten,Niederöstereich,"305,2",168,"1.180,90",650
Sankt Pölten (Land),Niederöstereich,"251,8",330,"968,40",1.269
Sankt Veit an der Glan,Kärnten,"216,3",118,594,324
Schärding,Oberösterreich,"582,8",334,"1.416,90",812
Scheibbs,Niederöstereich,"292,2",121,"821,20",340
Schwaz,Tirol,"790,5",663,"2.503,80",2.100
Spittal an der Drau,Kärnten,"90,7",69,"262,80",200
Steyr,Oberösterreich,"408,5",156,"1.222,70",467
Steyr-Land,Oberösterreich,"460,1",278,"1.237,90",748
Südoststeiermark,Steiermark,"439,8",378,"716,70",616
Tamsweg,Salzburg,310,63,"880,90",179
Tulln,Niederöstereich,"283,3",294,"1.017,60",1.056
Urfahr-Umgebung,Oberösterreich,"493,5",422,"1.302,80",1.114
Villach Land,Kärnten,"165,5",107,"448,40",290
Villach Stadt,Kärnten,"171,9",107,"494,80",308
Vöcklabruck,Oberösterreich,"394,9",538,"1.168,40",1.592
Voitsberg,Steiermark,"244,3",125,"887,40",454
Völkermarkt,Kärnten,"212,5",89,"706,80",296
Waidhofen an der Thaya,Niederöstereich,"382,4",99,"1.313,30",340
Waidhofen an der Ybbs,Niederöstereich,"204,2",23,"745,90",84
