Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;9465;25;69
Rust(Stadt);102;2021;1166;5;13
Eisenstadt-Umgebung;103;44488;26807;74;181
Güssing;104;25809;15217;101;112
Jennersdorf;105;17216;9425;44;37
Mattersburg;106;40731;24449;86;157
Neusiedl am See;107;61358;37541;85;384
Oberpullendorf;108;37556;22215;66;112
Oberwart;109;54682;31323;144;191
Klagenfurt Stadt;201;103297;55569;297;343
Villach Stadt;202;64125;33802;174;185
Hermagor;203;18069;10163;63;32
Klagenfurt Land;204;61114;33962;127;151
Sankt Veit an der Glan;205;53953;31411;167;105
Spittal an der Drau;206;75725;42570;275;133
Villach Land;207;65635;36688;207;161
Völkermarkt;208;41947;25154;121;103
Wolfsberg;209;52352;28936;195;85
Feldkirchen;210;29949;16644;83;36
Krems an der Donau(Stadt);301;24930;14305;74;76
Sankt Pölten(Stadt);302;56697;34147;145;239
Waidhofen an der Ybbs(Stadt);303;11187;7555;40;35
Wiener Neustadt(Stadt);304;47407;28476;205;220
Amstetten;305;117442;83397;309;361
Baden;306;148765;89367;342;642
Bruck an der Leitha;307;107297;64930;216;459
Gänserndorf;308;107504;62362;193;517
Gmünd;309;36152;21199;157;153
Hollabrunn;310;51879;29165;105;277
Horn;311;30875;17597;60;126
Korneuburg;312;92442;55245;145;510
Krems(Land);313;56840;35441;105;189
Lilienfeld;314;25491;16511;110;63
Melk;315;78779;55019;333;304
Mistelbach;316;76641;44322;106;451
Mödling;317;120412;70828;281;656
Neunkirchen;318;87048;52640;250;359
Sankt Pölten(Land);319;133497;85367;327;603
Scheibbs;320;41711;29473;94;162
Tulln;321;107723;63465;213;562
Waidhofen an der Thaya;322;25644;15548;76;120
Wiener Neustadt(Land);323;80020;49551;209;313
Zwettl;325;41757;27844;84;120
Linz(Stadt);401;208445;116809;458;509
Steyr(Stadt);402;37915;21495;72;141
Wels(Stadt);403;63542;37341;159;118
Braunau am Inn;404;108388;73067;265;166
Eferding;405;33715;21638;79;66
Freistadt;406;67638;45509;191;147
Gmunden;407;102765;66084;246;254
Grieskirchen;408;65929;44649;150;119
Kirchdorf an der Krems;409;57882;36901;158;143
Linz-Land;410;154320;93708;287;373
Perg;411;69905;47229;151;170
Ried im Innkreis;412;62535;42187;170;112
Rohrbach;413;57034;38216;162;203
Schärding;414;57750;37769;155;144
Steyr-Land;415;61494;40335;152;235
Urfahr-Umgebung;416;87466;58155;158;242
Vöcklabruck;417;139989;93899;336;283
Wels-Land;418;75514;50207;118;195
Salzburg(Stadt);501;155743;96391;311;426
Hallein;502;61262;43709;143;107
Salzburg-Umgebung;503;155982;110874;311;382
Sankt Johann im Pongau;504;81962;54974;184;168
Tamsweg;505;20327;13366;67;24
Zell am See;506;89017;53948;194;176
Graz(Stadt);601;293929;159484;563;733
Deutschlandsberg;603;61092;34530;179;98
Graz-Umgebung;606;161131;92073;424;380
Leibnitz;610;86399;49656;187;210
Leoben;611;59341;29641;190;122
Liezen;612;79739;44202;226;99
Murau;614;27343;14650;59;25
Voitsberg;616;51165;26838;186;85
Weiz;617;91844;53910;254;272
Murtal;620;71398;37241;281;115
Bruck-Mürzzuschlag;621;98394;48659;354;219
Hartberg-Fürstenfeld;622;91091;51731;297;279
Südoststeiermark;623;84024;47262;293;201
Innsbruck-Stadt;701;130599;79889;246;430
Imst;702;61843;40809;93;140
Innsbruck-Land;703;183827;117118;276;550
Kitzbühel;704;65482;39735;97;105
Kufstein;705;112301;72264;243;182
Landeck;706;44681;30490;90;119
Lienz;707;48854;32553;145;89
Reutte;708;33427;20750;29;117
Schwaz;709;85478;51389;216;152
Bludenz;801;64943;41515;95;180
Bregenz;802;136369;82119;235;392
Dornbirn;803;91344;56410;168;285
Feldkirch;804;110547;69404;175;245
Wien;900;1951354;1241532;4393;9384
