Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10030;25;67
Rust(Stadt);102;2021;1260;5;22
Eisenstadt-Umgebung;103;44488;28361;75;144
Güssing;104;25809;16034;101;101
Jennersdorf;105;17216;9815;44;48
Mattersburg;106;40731;25784;87;91
Neusiedl am See;107;61358;40081;85;187
Oberpullendorf;108;37556;23575;68;76
Oberwart;109;54682;33088;144;111
Klagenfurt Stadt;201;103297;57436;300;145
Villach Stadt;202;64125;34857;174;69
Hermagor;203;18069;10516;66;51
Klagenfurt Land;204;61114;34937;127;104
Sankt Veit an der Glan;205;53953;32091;167;57
Spittal an der Drau;206;75725;43652;276;154
Villach Land;207;65635;37737;205;61
Völkermarkt;208;41947;25753;121;49
Wolfsberg;209;52352;29748;201;66
Feldkirchen;210;29949;16962;83;30
Krems an der Donau(Stadt);301;24930;15007;75;79
Sankt Pölten(Stadt);302;56697;36142;146;149
Waidhofen an der Ybbs(Stadt);303;11187;7794;58;10
Wiener Neustadt(Stadt);304;47407;29918;215;127
Amstetten;305;117442;86177;309;262
Baden;306;148765;94653;358;487
Bruck an der Leitha;307;107297;69352;220;472
Gänserndorf;308;107504;66573;212;352
Gmünd;309;36152;21917;157;98
Hollabrunn;310;51879;31145;109;132
Horn;311;30875;18390;60;87
Korneuburg;312;92442;59146;145;412
Krems(Land);313;56840;37089;106;156
Lilienfeld;314;25491;17015;110;36
Melk;315;78779;57170;401;202
Mistelbach;316;76641;47154;107;317
Mödling;317;120412;75873;295;528
Neunkirchen;318;87048;55265;250;200
Sankt Pölten(Land);319;133497;90172;336;409
Scheibbs;320;41711;30464;96;62
Tulln;321;107723;67930;214;386
Waidhofen an der Thaya;322;25644;16253;80;77
Wiener Neustadt(Land);323;80020;52025;217;179
Zwettl;325;41757;28804;84;81
Linz(Stadt);401;208445;121293;462;551
Steyr(Stadt);402;37915;22232;76;89
Wels(Stadt);403;63542;38608;163;133
Braunau am Inn;404;108388;74735;266;257
Eferding;405;33715;22388;79;92
Freistadt;406;67638;46835;192;152
Gmunden;407;102765;68284;252;259
Grieskirchen;408;65929;46099;152;200
Kirchdorf an der Krems;409;57882;37974;160;139
Linz-Land;410;154320;96996;290;400
Perg;411;69905;48540;152;174
Ried im Innkreis;412;62535;43351;170;286
Rohrbach;413;57034;39237;164;156
Schärding;414;57750;38823;156;156
Steyr-Land;415;61494;41576;154;163
Urfahr-Umgebung;416;87466;60069;160;227
Vöcklabruck;417;139989;96614;336;337
Wels-Land;418;75514;52108;120;275
Salzburg(Stadt);501;155743;99846;325;396
Hallein;502;61262;44823;144;130
Salzburg-Umgebung;503;155982;114092;314;409
Sankt Johann im Pongau;504;81962;56227;184;185
Tamsweg;505;20327;13660;68;29
Zell am See;506;89017;55358;196;210
Graz(Stadt);601;293929;166913;582;844
Deutschlandsberg;603;61092;35535;180;97
Graz-Umgebung;606;161131;96133;432;442
Leibnitz;610;86399;51539;192;203
Leoben;611;59341;30565;193;80
Liezen;612;79739;45250;226;107
Murau;614;27343;14856;59;22
Voitsberg;616;51165;27749;190;96
Weiz;617;91844;55425;259;114
Murtal;620;71398;38270;293;79
Bruck-Mürzzuschlag;621;98394;50178;357;129
Hartberg-Fürstenfeld;622;91091;53649;302;154
Südoststeiermark;623;84024;48795;295;105
Innsbruck-Stadt;701;130599;83248;254;336
Imst;702;61843;41939;95;109
Innsbruck-Land;703;183827;121362;285;535
Kitzbühel;704;65482;40843;98;174
Kufstein;705;112301;73798;245;242
Landeck;706;44681;31532;92;150
Lienz;707;48854;33186;146;54
Reutte;708;33427;21182;29;38
Schwaz;709;85478;52695;218;196
Bludenz;801;64943;42497;96;76
Bregenz;802;136369;84357;238;244
Dornbirn;803;91344;58164;170;176
Feldkirch;804;110547;71368;177;149
Wien;900;1951354;1324296;4603;8614
