Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"326,1",380,"5326,10",6206
Baden,Niederösterreich,"149,9",220,"2956,70",4339
Bludenz,Vorarlberg,"107,6",69,"4405,10",2824
Braunau am Inn,Oberösterreich,"163,9",173,"4135,40",4365
Bregenz,Vorarlberg,"154,8",209,"4572,30",6172
Bruck an der Leitha,Niederösterreich,"94,5",98,2704,2805
Bruck-Mürzzuschlag,Steiermark,"122,6",121,"3686,00",3638
Deutschlandsberg,Steiermark,253,154,"3037,80",1849
Dornbirn,Vorarlberg,"259,10",233,"5632,20",5064
Eferding,Oberösterreich,"57,3",19,"6079,30",2017
Eisenstadt,Burgenland,"303,7",45,"3428,70",508
Eisenstadt-Umgebung,Burgenland,"115,6",50,"2868,00",1240
Feldkirch,Vorarlberg,"174,8",189,"4894,00",5292
Feldkirchen,Kärnten,"291,00",87,"4233,80",1266
Freistadt,Oberösterreich,"192,9",129,"5387,30",3602
Gänserndorf,Niederösterreich,147,154,2176,2280
Gmünd,Niederösterreich,186,68,"4098,20",1498
Gmunden,Oberösterreich,"259,20",264,"4489,50",4573
Graz,Steiermark,"103,4",301,"3084,10",8977
Graz-Umgebung,Steiermark,"131,4",205,"3035,80",4738
Grieskirchen,Oberösterreich,"177,3",115,"5768,00",3742
Güssing,Burgenland,"136,20",35,"3634,40",934
Hallein,Salzburg,"457,1",278,"6214,70",3780
Hartberg-Fürstenfeld,Steiermark,"140,20",127,"4031,70",3653
Hermagor,Kärnten,"509,6",92,"5079,20",917
Hollabrunn,Niederösterreich,"49,00",25,"2275,00",1161
Horn,Niederösterreich,"77,6",24,"1984,70",614
Imst,Tirol,"160,40",97,"4954,20",2996
Innsbruck-Land,Tirol,"129,7",234,"4999,60",9022
Innsbruck-Stadt,Tirol,"61,4",81,"4815,80",6355
Jennersdorf,Burgenland,"81,9",14,"3673,20",628
Kirchdorf an der Krems,Oberösterreich,"210,3",120,"4135,20",2360
Kitzbühel,Tirol,"162,1",104,"4187,40",2687
Klagenfurt Land,Kärnten,210,126,"3809,10",2286
Klagenfurt Stadt,Kärnten,"163,9",166,"3787,80",3837
Korneuburg,Niederösterreich,"58,1",53,"2493,00",2275
Krems (Land),Niederösterreich,"93,8",53,"3430,90",1938
Krems an der Donau,Niederösterreich,"83,9",21,"3447,00",863
Kufstein,Tirol,"141,4",156,"5722,30",6311
Landeck,Tirol,"299,6",133,"5889,20",2614
Leibnitz,Steiermark,"145,1",123,"3599,70",3051
Leoben,Steiermark,"53,6",32,"3378,60",2017
Lienz,Tirol,"211,3",103,"5297,70",2582
Liezen,Steiermark,"259,9",207,"3711,10",2956
Lilienfeld,Niederösterreich,"105,2",27,"3710,80",952
Linz,Oberösterreich,122,252,"4168,10",8611
Linz-Land,Oberösterreich,"105,7",160,"4189,70",6342
Mattersburg,Burgenland,"109,9",44,"2926,90",1172
Melk,Niederösterreich,"152,2",119,"3976,20",3109
Mistelbach,Niederösterreich,"104,5",79,"2031,10",1536
Mödling,Niederösterreich,"107,5",128,"2794,80",3329
Murau,Steiermark,"192,4",53,"3677,90",1013
Murtal,Steiermark,"216,2",155,"3807,60",2730
Neunkirchen,Niederösterreich,"137,8",119,"3187,30",2752
Neusiedl am See,Burgenland,"151,7",91,"2677,10",1606
Oberpullendorf,Burgenland,"88,3",33,"3619,20",1353
Oberwart,Burgenland,72,39,"3456,20",1873
Perg,Oberösterreich,"184,1",127,"5160,40",3559
Reutte,Tirol,"167,5",55,"2947,80",968
Ried im Innkreis,Oberösterreich,"191,3",118,"5890,70",3634
Rohrbach,Oberösterreich,"233,4",132,"6861,80",3880
Rust,Burgenland,101,2,"2727,30",54
Salzburg,Salzburg,"226,4",351,"4057,50",6290
Salzburg-Umgebung,Salzburg,"235,2",361,"4625,00",7099
Sankt Johann im Pongau,Salzburg,"305,4",248,"6555,90",5323
Sankt Pölten,Niederösterreich,"108,1",60,"3966,60",2202
Sankt Pölten (Land),Niederösterreich,126,166,"3218,70",4240
Sankt Veit an der Glan,Kärnten,"208,5",113,"4325,80",2344
Schärding,Oberösterreich,"252,7",145,"6285,00",3607
Scheibbs,Niederösterreich,"166,6",69,"4947,60",2049
Schwaz,Tirol,"155,3",131,"7990,10",6738
Spittal an der Drau,Kärnten,"189,8",144,"2624,30",1991
Steyr,Oberösterreich,"157,7",60,"4130,80",1572
Steyr-Land,Oberösterreich,"151,5",92,"4965,70",3015
Südoststeiermark,Steiermark,"154,7",130,"3565,10",2996
Tamsweg,Salzburg,"390,1",79,"7081,10",1434
Tulln,Niederösterreich,"128,1",134,"2794,60",2923
Urfahr-Umgebung,Oberösterreich,"84,9",73,"5375,30",4623
Villach Land,Kärnten,"182,6",118,"3516,00",2272
Villach Stadt,Kärnten,"162,2",102,"3271,20",2057
Vöcklabruck,Oberösterreich,"244,7",336,"4834,00",6637
Voitsberg,Steiermark,"82,3",42,"3728,20",1903
Völkermarkt,Kärnten,"265,2",111,"5427,40",2272
Waidhofen an der Thaya,Niederösterreich,74,19,"3251,30",835
Waidhofen an der Ybbs,Niederösterreich,"463,4",52,"4473,40",502
Weiz,Steiermark,"98,2",89,"3053,40",2768
Wels,Oberösterreich,"115,3",72,"4936,80",3084
Wels-Land,Oberösterreich,"143,7",106,"4139,50",3054
Wien,Wien,"119,5",#ERROR!,"3788,90",72414
Wiener Neustadt,Niederösterreich,"102,6",47,"3443,70",1578
Wiener Neustadt (Land),Niederösterreich,"148,1",116,"2745,60",2150
