Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"8,61","2,58"
Baden,"44,46","4,1"
Bludenz,"73,32","17,16"
Braunau am Inn,"29,69","7,66"
Bregenz,"43,71","8,89"
Bruck an der Leitha,"44,11","2,94"
Bruck-Mürzzuschlag,"10,1",0
Deutschlandsberg,"31,24","3,29"
Dornbirn,"95,68","16,69"
Eferding,"30,16","9,05"
Eisenstadt,"40,99",0
Eisenstadt-Umgebung,"48,92","9,32"
Feldkirch,"46,24","1,85"
Feldkirchen,"-3,34","-3,34"
Freistadt,"37,53",6
Gmunden,"16,73","7,87"
Gmünd,"27,19","2,72"
Graz,"41,9","8,66"
Graz-Umgebung,"25,28","4,54"
Grieskirchen,"26,27","3,09"
Gänserndorf,"68,48","10,61"
Güssing,"15,51","3,88"
Hallein,"29,81","4,97"
Hartberg-Fürstenfeld,"25,38","8,83"
Hermagor,0,0
Hollabrunn,"35,39",0
Horn,"16,08",0
Imst,"74,93","11,66"
Innsbruck,"77,21","16,65"
Innsbruck-Land,"97,59","30,67"
Jennersdorf,"11,72","5,86"
Kirchdorf an der Krems,"10,55","3,52"
Kitzbühel,"21,92","12,52"
Klagenfurt,"6,94","1,98"
Klagenfurt Land,"6,69",0
Korneuburg,"52,81","2,2"
Krems (Land),"40,64","3,53"
Krems an der Donau,"120,6","8,04"
Kufstein,"84,79","23,7"
Landeck,"96,93","22,54"
Leibnitz,"16,64","4,75"
Leoben,"29,97","8,33"
Lienz,"26,67","2,05"
Liezen (inkl. Gröbming),"18,77","2,5"
Lilienfeld,"30,99","7,75"
Linz,"79,72","15,55"
Linz-Land,"68,54","8,65"
Mattersburg,"10,02","-2,5"
Melk,"44,89","8,98"
Mistelbach,"49,02","9,27"
Murau,"57,85","14,46"
Murtal,"8,33",0
Mödling,"35,29","8,4"
Neunkirchen,"79,96","18,54"
Neusiedl am See,"28,55","5,04"
Oberpullendorf,"18,66",0
Oberwart,"20,34","3,7"
Perg,"21,91","7,3"
Reutte,"42,85","15,3"
Ried im Innkreis,"27,78","4,9"
Rohrbach,"10,61","3,54"
Rust,0,0
Salzburg,"47,34","10,38"
Salzburg-Umgebung,"24,3","9,85"
Sankt Johann im Pongau,"33,51","4,96"
Sankt Pölten,"34,52","9,08"
Sankt Pölten (Land),"23,66","7,63"
Sankt Veit an der Glan,"7,33",0
Scheibbs,"19,32","4,83"
Schwaz,"76,31","9,54"
Schärding,"6,98",0
Spittal an der Drau,"11,83",0
Steyr,"18,33","2,62"
Steyr-Land,"14,89",0
Südoststeiermark,"8,31",0
Tamsweg,"19,69","9,84"
Tulln,"39,51","7,71"
Urfahr-Umgebung,"15,2","4,68"
Villach,"27,31","1,61"
Villach Land,"18,56","3,09"
Voitsberg,"9,77","1,95"
Vöcklabruck,"37,43","7,34"
Völkermarkt,"7,16",0
Waidhofen an der Thaya,"69,53","19,31"
Waidhofen an der Ybbs,"8,88","8,88"
Weiz,"22,14","2,21"
Wels,"50,22","3,24"
Wels-Land,"31,47","4,1"
Wien,"116,94","22,13"
Wiener Neustadt,"70,68","8,83"
Wiener Neustadt (Land),"39,75","11,54"
Wolfsberg,"11,38","1,9"
Zell am See,"6,86","1,14"
Zwettl,"87,63","7,11"
