Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"6,89",0
Baden,"55,4","8,21"
Bludenz,"71,76","4,68"
Braunau am Inn,"21,07","0,96"
Bregenz,"62,23","2,22"
Bruck an der Leitha,"37,25","5,88"
Bruck-Mürzzuschlag,"14,14","1,01"
Deutschlandsberg,"16,44","3,29"
Dornbirn,"91,23","7,79"
Eferding,"36,19","9,05"
Eisenstadt,"27,33","6,83"
Eisenstadt-Umgebung,"39,6","2,33"
Feldkirch,"44,39","3,7"
Feldkirchen,"6,68","10,02"
Freistadt,"42,03","1,5"
Gänserndorf,"77,16","5,79"
Gmünd,"84,3","27,19"
Gmunden,"22,63","4,92"
Graz,"43,63","6,93"
Graz-Umgebung,"25,28","1,3"
Grieskirchen,"52,53",17
Güssing,"54,27","15,51"
Hallein,"44,72","8,28"
Hartberg-Fürstenfeld,"28,69","2,21"
Hermagor,0,0
Hollabrunn,"13,76","3,93"
Horn,"6,43","3,22"
Imst,"41,63","8,33"
Innsbruck-Land,"74,73","6,13"
Innsbruck-Stadt,"137,76","18,17"
Jennersdorf,"17,58",0
Kirchdorf an der Krems,"22,86","7,03"
Kitzbühel,"37,57","1,57"
Klagenfurt Land,"25,08","8,36"
Klagenfurt Stadt,"8,93","0,99"
Korneuburg,"49,51","8,8"
Krems (Land),"77,74","7,07"
Krems an der Donau,"84,42","20,1"
Kufstein,"47,41",0
Landeck,"83,4","4,51"
Leibnitz,"33,27",0
Leoben,"14,99",0
Lienz,"18,46","2,05"
Liezen,"25,03","1,25"
Lilienfeld,"27,12","3,87"
Linz,"68,54","10,69"
Linz-Land,"53,9","6,65"
Mattersburg,"10,02","2,5"
Melk,59,"5,13"
Mistelbach,"49,02","3,97"
Mödling,"50,42","9,24"
Murau,"43,39","7,23"
Murtal,"8,33",0
Neunkirchen,"69,53","8,11"
Neusiedl am See,"63,81","11,75"
Oberpullendorf,"18,66","2,67"
Oberwart,"36,98","5,55"
Perg,"36,52","2,92"
Reutte,"36,73",0
Ried im Innkreis,"102,93","32,68"
Rohrbach,"8,85",0
Rust,0,0
Salzburg,"38,26","-1,3"
Salzburg-Umgebung,"24,3","-2,63"
Sankt Johann im Pongau,"50,89","3,72"
Sankt Pölten,"38,15","5,45"
Sankt Pölten (Land),"26,71",0
Sankt Veit an der Glan,11,"5,5"
Schärding,"15,7","10,47"
Scheibbs,"38,64","4,83"
Schwaz,93,"21,46"
Spittal an der Drau,"10,51","1,31"
Steyr,"20,95",0
Steyr-Land,"9,93","1,65"
Südoststeiermark,"7,12",0
Tamsweg,"9,84",0
Tulln,"41,44","5,78"
Urfahr-Umgebung,"22,22","-2,34"
Villach Land,"32,47","3,09"
Villach Stadt,"32,13","1,61"
Vöcklabruck,"38,16","2,2"
Voitsberg,"19,55",0
Völkermarkt,"4,78",0
Waidhofen an der Thaya,"96,57","15,45"
Waidhofen an der Ybbs,"-8,88",0
Weiz,"19,92",0
Wels,"38,88","4,86"
Wels-Land,"31,47","2,74"
Wien,"114,73","17,65"
Wiener Neustadt,"83,93","6,63"
Wiener Neustadt (Land),"24,36","1,28"
Wolfsberg,"1,9","1,9"
Zell am See,"22,87","2,29"
Zwettl,"75,79","4,74"
