Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"14,64","4,31"
Baden,"48,56","6,84"
Bludenz,"26,52","1,56"
Braunau am Inn,"28,73","3,83"
Bregenz,"42,97","1,48"
Bruck an der Leitha,"59,8","12,74"
Bruck-Mürzzuschlag,"17,17",0
Deutschlandsberg,"8,22","1,64"
Dornbirn,"43,39","5,56"
Eferding,"3,02",0
Eisenstadt,"-6,83","-6,83"
Eisenstadt-Umgebung,"27,95","2,33"
Feldkirch,"49,94","7,4"
Feldkirchen,"10,02",0
Freistadt,"49,53","7,51"
Gänserndorf,"55,94","6,75"
Gmünd,"119,65","10,88"
Gmunden,"36,41","13,78"
Graz,"33,93","0,35"
Graz-Umgebung,"22,69","1,3"
Grieskirchen,"24,72","1,55"
Güssing,"50,39","7,75"
Hallein,"79,5","24,85"
Hartberg-Fürstenfeld,"17,66","1,1"
Hermagor,"192,05","65,85"
Hollabrunn,"3,93","1,97"
Horn,"9,65","3,22"
Imst,"39,96",0
Innsbruck-Land,"45,17","5,02"
Innsbruck-Stadt,"68,88","14,38"
Jennersdorf,"11,72",0
Kirchdorf an der Krems,"10,55",0
Kitzbühel,"32,87","4,7"
Klagenfurt Land,"13,38","5,02"
Klagenfurt Stadt,"18,85","-1,98"
Korneuburg,"48,41","8,8"
Krems (Land),"60,07","-3,53"
Krems an der Donau,"112,56","4,02"
Kufstein,"44,67","7,29"
Landeck,"96,93","22,54"
Leibnitz,"16,64",0
Leoben,"16,65","6,66"
Lienz,"6,15","2,05"
Liezen,"26,28",0
Lilienfeld,"27,12","3,87"
Linz,"46,18","8,75"
Linz-Land,"27,28","9,32"
Mattersburg,"22,54","5,01"
Melk,"79,53","12,83"
Mistelbach,"59,62","15,9"
Mödling,"63,03","4,2"
Murau,"10,85",0
Murtal,"16,67","1,39"
Neunkirchen,"41,72",0
Neusiedl am See,"63,81","8,4"
Oberpullendorf,"23,99","5,33"
Oberwart,"40,68","9,25"
Perg,"13,15","1,46"
Reutte,"9,18",0
Ried im Innkreis,"98,03","35,95"
Rohrbach,"12,38",0
Rust,0,0
Salzburg,"46,04","7,78"
Salzburg-Umgebung,"26,27","5,25"
Sankt Johann im Pongau,"35,99","8,69"
Sankt Pölten,"78,12","27,25"
Sankt Pölten (Land),58,"6,1"
Sankt Veit an der Glan,"14,66",0
Schärding,"48,86","5,23"
Scheibbs,"77,29","4,83"
Schwaz,"52,46","3,58"
Spittal an der Drau,"3,94","1,31"
Steyr,"34,04","2,62"
Steyr-Land,"4,96",0
Südoststeiermark,"3,56",0
Tamsweg,"9,84","9,84"
Tulln,"44,33","1,93"
Urfahr-Umgebung,"28,07","4,68"
Villach Land,"21,65","3,09"
Villach Stadt,"19,28","1,61"
Vöcklabruck,"44,04","4,4"
Voitsberg,"37,14","1,95"
Völkermarkt,"14,33","7,16"
Waidhofen an der Thaya,"65,67","11,59"
Waidhofen an der Ybbs,"26,64","8,88"
Weiz,"15,5",0
Wels,"46,98","4,86"
Wels-Land,"64,3",0
Wien,"114,89","16,6"
Wiener Neustadt,"61,84","6,63"
Wiener Neustadt (Land),"25,64","1,28"
Wolfsberg,"9,48","5,69"
Zell am See,"13,72","3,43"
Zwettl,"47,37","9,47"
