Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10072;25;70
Rust(Stadt);102;2021;1263;5;12
Eisenstadt-Umgebung;103;44488;28445;75;155
Güssing;104;25809;16085;101;98
Jennersdorf;105;17216;9848;44;48
Mattersburg;106;40731;25833;87;100
Neusiedl am See;107;61358;40164;85;181
Oberpullendorf;108;37556;23620;68;78
Oberwart;109;54682;33217;144;176
Klagenfurt Stadt;201;103297;57559;300;182
Villach Stadt;202;64125;34904;174;84
Hermagor;203;18069;10534;66;39
Klagenfurt Land;204;61114;34992;127;101
Sankt Veit an der Glan;205;53953;32135;167;74
Spittal an der Drau;206;75725;43710;276;141
Villach Land;207;65635;37767;205;65
Völkermarkt;208;41947;25795;121;65
Wolfsberg;209;52352;29783;201;63
Feldkirchen;210;29949;16978;83;35
Krems an der Donau(Stadt);301;24930;15052;75;76
Sankt Pölten(Stadt);302;56697;36229;146;159
Waidhofen an der Ybbs(Stadt);303;11187;7800;58;9
Wiener Neustadt(Stadt);304;47407;29977;215;116
Amstetten;305;117442;86325;309;254
Baden;306;148765;94891;358;471
Bruck an der Leitha;307;107297;69567;220;433
Gänserndorf;308;107504;66734;213;327
Gmünd;309;36152;21989;157;121
Hollabrunn;310;51879;31205;109;117
Horn;311;30875;18429;60;73
Korneuburg;312;92442;59339;145;392
Krems(Land);313;56840;37161;107;145
Lilienfeld;314;25491;17031;110;33
Melk;315;78779;57276;402;205
Mistelbach;316;76641;47332;107;356
Mödling;317;120412;76114;295;493
Neunkirchen;318;87048;55394;250;218
Sankt Pölten(Land);319;133497;90443;336;461
Scheibbs;320;41711;30509;96;77
Tulln;321;107723;68147;214;414
Waidhofen an der Thaya;322;25644;16307;80;93
Wiener Neustadt(Land);323;80020;52105;217;171
Zwettl;325;41757;28852;84;86
Linz(Stadt);401;208445;121585;464;576
Steyr(Stadt);402;37915;22280;76;80
Wels(Stadt);403;63542;38707;163;170
Braunau am Inn;404;108388;74898;266;277
Eferding;405;33715;22463;79;111
Freistadt;406;67638;46928;192;186
Gmunden;407;102765;68448;252;278
Grieskirchen;408;65929;46239;152;239
Kirchdorf an der Krems;409;57882;38057;160;147
Linz-Land;410;154320;97252;290;487
Perg;411;69905;48702;153;227
Ried im Innkreis;412;62535;43498;170;277
Rohrbach;413;57034;39342;164;186
Schärding;414;57750;38907;156;149
Steyr-Land;415;61494;41706;154;205
Urfahr-Umgebung;416;87466;60228;160;277
Vöcklabruck;417;139989;96825;336;387
Wels-Land;418;75514;52244;120;278
Salzburg(Stadt);501;155743;100135;326;500
Hallein;502;61262;44909;144;145
Salzburg-Umgebung;503;155982;114314;314;433
Sankt Johann im Pongau;504;81962;56352;184;219
Tamsweg;505;20327;13669;68;27
Zell am See;506;89017;55450;197;171
Graz(Stadt);601;293929;167324;584;804
Deutschlandsberg;603;61092;35584;180;104
Graz-Umgebung;606;161131;96371;432;433
Leibnitz;610;86399;51644;192;217
Leoben;611;59341;30601;193;80
Liezen;612;79739;45302;226;108
Murau;614;27343;14867;59;18
Voitsberg;616;51165;27783;190;72
Weiz;617;91844;55485;259;117
Murtal;620;71398;38313;293;81
Bruck-Mürzzuschlag;621;98394;50260;357;137
Hartberg-Fürstenfeld;622;91091;53741;302;154
Südoststeiermark;623;84024;48873;295;139
Innsbruck-Stadt;701;130599;83486;254;397
Imst;702;61843;42019;95;133
Innsbruck-Land;703;183827;121682;285;559
Kitzbühel;704;65482;40932;98;178
Kufstein;705;112301;73943;245;261
Landeck;706;44681;31602;92;165
Lienz;707;48854;33230;146;63
Reutte;708;33427;21210;29;50
Schwaz;709;85478;52830;218;250
Bludenz;801;64943;42544;96;93
Bregenz;802;136369;84497;238;262
Dornbirn;803;91344;58255;170;198
Feldkirch;804;110547;71455;177;162
Wien;900;1951354;1328829;4606;8651
