Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;6824;22;30
Rust(Stadt);102;2000;865;2;0
Eisenstadt-Umgebung;103;43861;19334;68;125
Güssing;104;25770;11361;94;46
Jennersdorf;105;17109;7589;41;34
Mattersburg;106;40316;17727;82;129
Neusiedl am See;107;60397;26862;83;150
Oberpullendorf;108;37453;16110;63;78
Oberwart;109;54209;23766;145;88
Klagenfurt Stadt;201;101765;41545;274;167
Villach Stadt;202;63236;26150;172;88
Hermagor;203;18052;8300;61;37
Klagenfurt Land;204;60503;26285;126;106
Sankt Veit an der Glan;205;53880;23876;163;85
Spittal an der Drau;206;75628;34781;262;68
Villach Land;207;64920;28954;189;100
Völkermarkt;208;41834;20041;116;79
Wolfsberg;209;52488;23659;178;88
Feldkirchen;210;29783;13523;82;32
Krems an der Donau(Stadt);301;24837;10702;72;36
Sankt Pölten(Stadt);302;55878;26168;132;101
Waidhofen an der Ybbs(Stadt);303;11134;6110;38;20
Wiener Neustadt(Stadt);304;46456;21906;177;91
Amstetten;305;116592;67419;300;178
Baden;306;147113;67161;311;346
Bruck an der Leitha;307;105507;46971;215;346
Gänserndorf;308;105824;44912;165;341
Gmünd;309;36275;16622;152;75
Hollabrunn;310;51332;21395;90;142
Horn;311;30838;13445;60;45
Korneuburg;312;91777;38480;137;346
Krems(Land);313;56559;27199;97;122
Lilienfeld;314;25474;13502;113;40
Melk;315;78281;43412;269;95
Mistelbach;316;75655;32089;96;305
Mödling;317;119240;50463;264;321
Neunkirchen;318;86323;40503;245;185
Sankt Pölten(Land);319;132064;63771;289;319
Scheibbs;320;41567;24233;94;54
Tulln;321;105762;45499;201;308
Waidhofen an der Thaya;322;25531;11964;67;30
Wiener Neustadt(Land);323;79033;38146;195;149
Zwettl;325;41827;22212;84;98
Linz(Stadt);401;206537;90097;426;396
Steyr(Stadt);402;37952;16946;65;66
Wels(Stadt);403;62654;30424;154;107
Braunau am Inn;404;106492;59897;252;209
Eferding;405;33368;16754;73;49
Freistadt;406;66922;36470;182;99
Gmunden;407;102102;52768;227;188
Grieskirchen;408;65137;35353;142;82
Kirchdorf an der Krems;409;57163;29118;147;87
Linz-Land;410;152391;73155;275;292
Perg;411;69241;37859;147;128
Ried im Innkreis;412;61850;33889;166;103
Rohrbach;413;56623;30391;156;89
Schärding;414;57438;30587;153;89
Steyr-Land;415;60936;31620;145;119
Urfahr-Umgebung;416;86235;44484;153;210
Vöcklabruck;417;137993;75166;327;243
Wels-Land;418;74574;39862;114;115
Salzburg(Stadt);501;155416;74605;285;340
Hallein;502;60992;35985;137;104
Salzburg-Umgebung;503;154624;89063;297;391
Sankt Johann im Pongau;504;81392;46200;184;107
Tamsweg;505;20118;10891;64;45
Zell am See;506;88168;44735;183;144
Graz(Stadt);601;291134;120268;533;541
Deutschlandsberg;603;60871;28079;175;85
Graz-Umgebung;606;157853;71495;414;275
Leibnitz;610;85294;39909;180;84
Leoben;611;59151;23238;184;97
Liezen;612;79592;36236;215;141
Murau;614;27449;11707;59;30
Voitsberg;616;50947;22137;177;46
Weiz;617;90916;44417;250;130
Murtal;620;71356;30605;269;131
Bruck-Mürzzuschlag;621;98054;38953;350;173
Hartberg-Fürstenfeld;622;90619;42092;300;91
Südoststeiermark;623;83841;38716;284;80
Innsbruck-Stadt;701;131059;61139;219;254
Imst;702;60922;33448;86;61
Innsbruck-Land;703;181698;91282;260;314
Kitzbühel;704;64676;32288;95;101
Kufstein;705;111080;58729;235;202
Landeck;706;44346;25444;84;51
Lienz;707;48814;26166;133;75
Reutte;708;33054;16175;23;81
Schwaz;709;84456;42425;201;140
Bludenz;801;64368;34283;87;115
Bregenz;802;135310;67882;225;273
Dornbirn;803;90502;46574;159;135
Feldkirch;804;109057;56446;166;187
Wien;900;1920949;898046;3973;6233
