Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10627;25;19
Rust(Stadt);102;2021;1317;5;1
Eisenstadt-Umgebung;103;44488;30037;77;77
Güssing;104;25809;16891;101;17
Jennersdorf;105;17216;10072;44;1
Mattersburg;106;40731;26860;88;20
Neusiedl am See;107;61358;42501;85;114
Oberpullendorf;108;37556;25030;68;42
Oberwart;109;54682;34617;145;44
Klagenfurt Stadt;201;103297;59294;303;44
Villach Stadt;202;64125;35659;174;33
Hermagor;203;18069;10694;66;2
Klagenfurt Land;204;61114;35961;127;21
Sankt Veit an der Glan;205;53953;33014;167;25
Spittal an der Drau;206;75725;44531;276;40
Villach Land;207;65635;38549;205;34
Völkermarkt;208;41947;26597;121;24
Wolfsberg;209;52352;30333;203;11
Feldkirchen;210;29949;17342;83;5
Krems an der Donau(Stadt);301;24930;15818;75;25
Sankt Pölten(Stadt);302;56697;37836;146;37
Waidhofen an der Ybbs(Stadt);303;11187;8114;59;6
Wiener Neustadt(Stadt);304;47407;31027;222;39
Amstetten;305;117442;89956;309;92
Baden;306;148765;99371;363;170
Bruck an der Leitha;307;107297;73711;220;140
Gänserndorf;308;107504;70585;222;99
Gmünd;309;36152;23060;158;29
Hollabrunn;310;51879;32782;116;54
Horn;311;30875;19175;60;13
Korneuburg;312;92442;63031;145;121
Krems(Land);313;56840;38730;138;41
Lilienfeld;314;25491;17728;111;21
Melk;315;78779;59408;455;44
Mistelbach;316;76641;49953;107;94
Mödling;317;120412;81152;307;160
Neunkirchen;318;87048;57418;250;87
Sankt Pölten(Land);319;133497;94797;336;126
Scheibbs;320;41711;31478;98;31
Tulln;321;107723;71561;214;107
Waidhofen an der Thaya;322;25644;17043;80;19
Wiener Neustadt(Land);323;80020;53971;217;87
Zwettl;325;41757;30128;84;34
Linz(Stadt);401;208445;126774;474;148
Steyr(Stadt);402;37915;23304;83;34
Wels(Stadt);403;63542;40225;165;56
Braunau am Inn;404;108388;77043;269;35
Eferding;405;33715;23345;81;15
Freistadt;406;67638;48448;200;38
Gmunden;407;102765;70986;256;47
Grieskirchen;408;65929;47808;158;38
Kirchdorf an der Krems;409;57882;39432;164;38
Linz-Land;410;154320;100929;295;82
Perg;411;69905;50697;155;41
Ried im Innkreis;412;62535;44890;170;30
Rohrbach;413;57034;40738;165;22
Schärding;414;57750;39881;156;23
Steyr-Land;415;61494;43349;158;36
Urfahr-Umgebung;416;87466;62606;161;48
Vöcklabruck;417;139989;100097;340;80
Wels-Land;418;75514;54374;122;49
Salzburg(Stadt);501;155743;103318;339;101
Hallein;502;61262;45882;147;20
Salzburg-Umgebung;503;155982;117400;317;77
Sankt Johann im Pongau;504;81962;57477;184;28
Tamsweg;505;20327;13927;68;7
Zell am See;506;89017;56609;200;18
Graz(Stadt);601;293929;173112;604;182
Deutschlandsberg;603;61092;36338;184;29
Graz-Umgebung;606;161131;99606;439;88
Leibnitz;610;86399;53316;193;50
Leoben;611;59341;31690;196;40
Liezen;612;79739;46742;229;21
Murau;614;27343;15135;60;8
Voitsberg;616;51165;28335;191;16
Weiz;617;91844;56725;259;34
Murtal;620;71398;39223;294;22
Bruck-Mürzzuschlag;621;98394;51716;359;35
Hartberg-Fürstenfeld;622;91091;55058;310;46
Südoststeiermark;623;84024;50314;295;31
Innsbruck-Stadt;701;130599;86279;256;98
Imst;702;61843;43104;102;33
Innsbruck-Land;703;183827;125799;289;91
Kitzbühel;704;65482;41966;100;19
Kufstein;705;112301;75532;250;27
Landeck;706;44681;32234;93;14
Lienz;707;48854;33934;145;15
Reutte;708;33427;21643;29;7
Schwaz;709;85478;54155;219;11
Bludenz;801;64943;43338;98;12
Bregenz;802;136369;86014;241;25
Dornbirn;803;91344;59472;171;29
Feldkirch;804;110547;72655;179;20
Wien;900;1951354;1407941;4750;2838
