Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"29,28","16,36"
Baden,"50,61","9,58"
Bludenz,"21,84","10,92"
Braunau am Inn,"31,61","2,87"
Bregenz,"48,89","6,67"
Bruck an der Leitha,"73,52","14,7"
Bruck-Mürzzuschlag,"20,21","7,07"
Deutschlandsberg,"8,22",0
Dornbirn,"56,74","12,24"
Eferding,0,0
Eisenstadt,"-47,82",0
Eisenstadt-Umgebung,"34,94",0
Feldkirch,"82,31","21,27"
Feldkirchen,"6,68",0
Freistadt,"51,03",3
Gmunden,"59,04","11,81"
Gmünd,"108,78","21,76"
Graz,"25,97","2,77"
Graz-Umgebung,"31,76","3,24"
Grieskirchen,"23,18",0
Gänserndorf,"47,26","7,72"
Güssing,"89,16","3,88"
Hallein,"109,32","23,19"
Hartberg-Fürstenfeld,"19,86","4,41"
Hermagor,"241,44","21,95"
Hollabrunn,"19,66","9,83"
Horn,"9,65",0
Imst,"33,3","6,66"
Innsbruck,"87,81","23,47"
Innsbruck-Land,"63,02","15,61"
Jennersdorf,"5,86",0
Kirchdorf an der Krems,"14,07","3,52"
Kitzbühel,"26,61","4,7"
Klagenfurt,"10,91","2,98"
Klagenfurt Land,"10,03","1,67"
Korneuburg,"55,01",11
Krems (Land),"35,34","10,6"
Krems an der Donau,"104,52","28,14"
Kufstein,"49,23","7,29"
Landeck,"148,78","27,05"
Leibnitz,"11,88","1,19"
Leoben,"13,32","3,33"
Lienz,"2,05",0
Liezen (inkl. Gröbming),"35,04","6,26"
Lilienfeld,"27,12","15,5"
Linz,"63,68","15,07"
Linz-Land,"35,93","4,66"
Mattersburg,"27,55",0
Melk,"64,13","7,7"
Mistelbach,"68,89","15,9"
Murau,0,"3,62"
Murtal,"16,67","1,39"
Mödling,"56,3","10,92"
Neunkirchen,"37,08","6,95"
Neusiedl am See,"75,56","8,4"
Oberpullendorf,"31,99",0
Oberwart,"33,29","1,85"
Perg,"14,61","2,92"
Reutte,"3,06",0
Ried im Innkreis,"116,01","14,7"
Rohrbach,"28,31","5,31"
Rust,0,0
Salzburg,"35,67","6,48"
Salzburg-Umgebung,"33,49","3,94"
Sankt Johann im Pongau,"38,47","6,21"
Sankt Pölten,"90,84","10,9"
Sankt Pölten (Land),"51,13","9,16"
Sankt Veit an der Glan,"7,33",0
Scheibbs,"28,98","4,83"
Schwaz,"52,46","9,54"
Schärding,"34,9","3,49"
Spittal an der Drau,"6,57","2,63"
Steyr,"18,33","13,09"
Steyr-Land,"8,27","3,31"
Südoststeiermark,"2,37","1,19"
Tamsweg,"24,61","19,69"
Tulln,"22,16","4,82"
Urfahr-Umgebung,"43,27","8,19"
Villach,"9,64","4,82"
Villach Land,"17,01","1,55"
Voitsberg,"25,41","5,86"
Vöcklabruck,"59,45","13,94"
Völkermarkt,"40,59","16,72"
Waidhofen an der Thaya,"69,53","7,73"
Waidhofen an der Ybbs,"8,88",0
Weiz,"14,39","3,32"
Wels,"61,56","11,34"
Wels-Land,"51,99","1,37"
Wien,"125,85","25,93"
Wiener Neustadt,"48,59","11,04"
Wiener Neustadt (Land),"21,8","10,26"
Wolfsberg,"11,38","1,9"
Zell am See,"12,58","4,57"
Zwettl,"52,11","11,84"
