Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"10,33","0,86"
Baden,"54,03","4,79"
Bludenz,"42,12","6,24"
Braunau am Inn,"21,07","2,87"
Bregenz,"54,82","3,7"
Bruck an der Leitha,"41,17","7,84"
Bruck-Mürzzuschlag,"20,21","3,03"
Deutschlandsberg,"11,51","1,64"
Dornbirn,"62,31","6,68"
Eferding,"21,11",0
Eisenstadt,"61,49","34,16"
Eisenstadt-Umgebung,"20,97","2,33"
Feldkirch,"41,62","7,4"
Feldkirchen,"16,7",0
Freistadt,"37,53",3
Gänserndorf,"65,58","11,57"
Gmünd,"130,53","16,32"
Gmunden,"16,73","1,97"
Graz,"42,24","10,39"
Graz-Umgebung,"23,99","6,48"
Grieskirchen,"50,99","1,55"
Güssing,"58,15","3,88"
Hallein,"54,66","9,94"
Hartberg-Fürstenfeld,"17,66","2,21"
Hermagor,"10,97","5,49"
Hollabrunn,"7,87","1,97"
Horn,"16,08",0
Imst,"43,29","13,32"
Innsbruck-Land,"42,38","7,25"
Innsbruck-Stadt,"117,33","12,87"
Jennersdorf,"11,72",0
Kirchdorf an der Krems,"19,34","3,52"
Kitzbühel,"42,27","1,57"
Klagenfurt Land,"26,76","3,34"
Klagenfurt Stadt,"18,85","5,95"
Korneuburg,"44,01","9,9"
Krems (Land),"98,95","19,44"
Krems an der Donau,"84,42","4,02"
Kufstein,"29,18","2,74"
Landeck,"51,85","11,27"
Leibnitz,"28,52","3,56"
Leoben,"9,99","3,33"
Lienz,"10,26","4,1"
Liezen,"25,03","6,26"
Lilienfeld,"34,87","3,87"
Linz,"44,72","17,01"
Linz-Land,"28,61","3,33"
Mattersburg,"20,04","12,52"
Melk,"84,66","19,24"
Mistelbach,"47,69","9,27"
Mödling,"68,07","10,08"
Murau,"28,92","10,85"
Murtal,"9,72","1,39"
Neunkirchen,"68,37","3,48"
Neusiedl am See,"68,85","11,75"
Oberpullendorf,"18,66","5,33"
Oberwart,"36,98","5,55"
Perg,"30,68","2,92"
Reutte,"21,43","3,06"
Ried im Innkreis,"122,54","13,07"
Rohrbach,"5,31","3,54"
Rust,0,0
Salzburg,"35,67","10,38"
Salzburg-Umgebung,"17,73","5,91"
Sankt Johann im Pongau,"47,16","3,72"
Sankt Pölten,"54,5","16,35"
Sankt Pölten (Land),"36,63","9,16"
Sankt Veit an der Glan,22,"3,67"
Schärding,"40,13","17,45"
Scheibbs,"89,37","14,49"
Schwaz,"84,65","20,27"
Spittal an der Drau,"6,57",0
Steyr,"44,51","5,24"
Steyr-Land,"9,93",0
Südoststeiermark,"7,12","1,19"
Tamsweg,"4,92",0
Tulln,"41,44","4,82"
Urfahr-Umgebung,"30,41","5,85"
Villach Land,"34,02","1,55"
Villach Stadt,"40,17","8,03"
Vöcklabruck,"27,16","2,94"
Voitsberg,"39,09","19,55"
Völkermarkt,"2,39","-2,39"
Waidhofen an der Thaya,"84,98","3,86"
Waidhofen an der Ybbs,"8,88",0
Weiz,"17,71","5,53"
Wels,"35,64","9,72"
Wels-Land,"41,04","8,21"
Wien,"106,14",15
Wiener Neustadt,"88,35",0
Wiener Neustadt (Land),"29,49","5,13"
Wolfsberg,"5,69",0
Zell am See,"24,01","4,57"
Zwettl,"59,21","2,37"
