Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;9174;24;106
Rust(Stadt);102;2021;1108;4;19
Eisenstadt-Umgebung;103;44488;26008;73;253
Güssing;104;25809;14783;100;142
Jennersdorf;105;17216;9251;43;58
Mattersburg;106;40731;23728;84;190
Neusiedl am See;107;61358;36371;85;319
Oberpullendorf;108;37556;21727;65;147
Oberwart;109;54682;30536;144;254
Klagenfurt Stadt;201;103297;54083;295;523
Villach Stadt;202;64125;33140;174;290
Hermagor;203;18069;10037;63;64
Klagenfurt Land;204;61114;33249;127;284
Sankt Veit an der Glan;205;53953;30951;167;251
Spittal an der Drau;206;75725;42075;275;252
Villach Land;207;65635;36010;201;331
Völkermarkt;208;41947;24770;121;156
Wolfsberg;209;52352;28504;193;199
Feldkirchen;210;29949;16441;83;102
Krems an der Donau(Stadt);301;24930;13946;74;158
Sankt Pölten(Stadt);302;56697;33202;145;319
Waidhofen an der Ybbs(Stadt);303;11187;7431;40;45
Wiener Neustadt(Stadt);304;47407;27695;198;249
Amstetten;305;117442;81879;309;503
Baden;306;148765;86883;337;762
Bruck an der Leitha;307;107297;63056;216;566
Gänserndorf;308;107504;60013;191;521
Gmünd;309;36152;20677;157;185
Hollabrunn;310;51879;28209;102;264
Horn;311;30875;17127;60;163
Korneuburg;312;92442;53021;145;595
Krems(Land);313;56840;34547;105;334
Lilienfeld;314;25491;16149;110;121
Melk;315;78779;53727;326;400
Mistelbach;316;76641;42572;105;443
Mödling;317;120412;68437;275;634
Neunkirchen;318;87048;51390;248;390
Sankt Pölten(Land);319;133497;82705;324;890
Scheibbs;320;41711;28927;94;161
Tulln;321;107723;61329;209;591
Waidhofen an der Thaya;322;25644;15074;75;135
Wiener Neustadt(Land);323;80020;48250;205;384
Zwettl;325;41757;27370;84;226
Linz(Stadt);401;208445;114587;453;928
Steyr(Stadt);402;37915;20851;71;161
Wels(Stadt);403;63542;36793;159;209
Braunau am Inn;404;108388;72106;262;373
Eferding;405;33715;21287;77;144
Freistadt;406;67638;44788;191;270
Gmunden;407;102765;64918;243;470
Grieskirchen;408;65929;44061;149;282
Kirchdorf an der Krems;409;57882;36161;155;321
Linz-Land;410;154320;92040;285;742
Perg;411;69905;46471;151;319
Ried im Innkreis;412;62535;41577;169;245
Rohrbach;413;57034;37358;160;254
Schärding;414;57750;37288;155;165
Steyr-Land;415;61494;39450;152;351
Urfahr-Umgebung;416;87466;57089;156;410
Vöcklabruck;417;139989;92549;335;604
Wels-Land;418;75514;49337;118;363
Salzburg(Stadt);501;155743;94707;306;556
Hallein;502;61262;43179;143;240
Salzburg-Umgebung;503;155982;109296;309;590
Sankt Johann im Pongau;504;81962;54297;184;198
Tamsweg;505;20327;13215;67;82
Zell am See;506;89017;53294;192;267
Graz(Stadt);601;293929;156650;556;1189
Deutschlandsberg;603;61092;34022;179;268
Graz-Umgebung;606;161131;90418;420;711
Leibnitz;610;86399;48708;187;333
Leoben;611;59341;29189;189;235
Liezen;612;79739;43683;223;291
Murau;614;27343;14492;59;121
Voitsberg;616;51165;26437;185;157
Weiz;617;91844;52848;254;348
Murtal;620;71398;36625;279;281
Bruck-Mürzzuschlag;621;98394;47771;353;385
Hartberg-Fürstenfeld;622;91091;50670;297;369
Südoststeiermark;623;84024;46374;293;356
Innsbruck-Stadt;701;130599;78399;241;514
Imst;702;61843;40166;90;230
Innsbruck-Land;703;183827;115099;272;701
Kitzbühel;704;65482;39353;97;187
Kufstein;705;112301;71464;242;412
Landeck;706;44681;30073;90;183
Lienz;707;48854;32165;144;174
Reutte;708;33427;20264;29;95
Schwaz;709;85478;50800;216;240
Bludenz;801;64943;40989;95;213
Bregenz;802;136369;80747;233;393
Dornbirn;803;91344;55359;168;284
Feldkirch;804;110547;68438;173;334
Wien;900;1951354;1208698;4315;8634
