Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederöstereich,"710,60",828,"2463,10",2870
Baden,Niederöstereich,314,461,"1753,30",2573
Bludenz,Vorarlberg,638,409,"2826,50",1812
Braunau am Inn,Oberösterreich,"493,60",521,"1981,90",2092
Bregenz,Vorarlberg,"737,80",996,3008,4061
Bruck an der Leitha,Niederöstereich,"295,9",307,"1632,00",1693
Bruck-Mürzzuschlag,Steiermark,"559,30",552,"1836,90",1813
Deutschlandsberg,Steiermark,"333,5",203,"1386,60",844
Dornbirn,Vorarlberg,"864,2",777,"3814,80",3430
Eferding,Oberösterreich,"907,2",301,"3773,60",1252
Eisenstadt,Burgenland,432,64,"2045,10",303
Eisenstadt-Umgebung,Burgenland,"319,2",138,"1762,40",762
Feldkirch,Vorarlberg,"729,7",789,"2999,10",3243
Feldkirchen,Kärnten,"749,1",224,"1755,70",525
Freistadt,Oberösterreich,703,470,"3209,60",2146
Gänserndorf,Niederöstereich,"190,9",200,"1301,80",1364
Gmünd,Niederöstereich,"503,4",184,"2369,20",866
Gmunden,Oberösterreich,"504,6",514,"2486,80",2533
Graz,Steiermark,"377,9",#ERROR!,"1836,70",5346
Graz-Umgebung,Steiermark,"339,6",530,"1562,80",2439
Grieskirchen,Oberösterreich,"776,9",504,"3306,40",2145
Güssing,Burgenland,"521,4",134,"2225,80",572
Hallein,Salzburg,"746,4",454,"3411,50",2075
Hartberg-Fürstenfeld,Steiermark,"530,9",481,"2162,10",1959
Hermagor,Kärnten,"520,7",94,1922,347
Hollabrunn,Niederöstereich,"421,3",215,1534,783
Horn,Niederöstereich,"245,7",76,"1208,90",374
Imst,Tirol,"633,3",383,"2955,00",1787
Innsbruck-Land,Tirol,"560,8",#ERROR!,"3020,20",5450
Innsbruck-Stadt,Tirol,"449,4",593,"3502,50",4622
Jennersdorf,Burgenland,503,86,"2287,00",391
Kirchdorf an der Krems,Oberösterreich,"541,4",309,"2072,90",1183
Kitzbühel,Tirol,"598,4",384,"2549,60",1636
Klagenfurt Land,Kärnten,"708,2",425,"1661,30",997
Klagenfurt Stadt,Kärnten,"775,9",786,1925,1950
Korneuburg,Niederöstereich,"255,3",233,"1762,10",1608
Krems (Land),Niederöstereich,"467,4",264,"2290,80",1294
Krems an der Donau,Niederöstereich,"559,2",140,"2260,70",566
Kufstein,Tirol,787,868,"3430,10",3783
Landeck,Tirol,"281,6",125,"4111,70",1825
Leibnitz,Steiermark,"447,2",379,"2058,90",1745
Leoben,Steiermark,"484,10",289,"1842,50",1100
Lienz,Tirol,"771,5",376,"2254,90",1099
Liezen,Steiermark,"382,9",305,"1946,00",1550
Lilienfeld,Niederöstereich,"448,30",115,"2253,00",578
Linz,Oberösterreich,"518,4",#ERROR!,"2591,10",5353
Linz-Land,Oberösterreich,596,902,"2550,70",3861
Mattersburg,Burgenland,"309,70",124,"1623,30",650
Melk,Niederöstereich,"539,70",422,"1933,70",1512
Mistelbach,Niederöstereich,"294,90",223,"1295,90",980
Mödling,Niederöstereich,"252,70",301,"1820,90",2169
Murau,Steiermark,"450,20",124,"1278,00",352
Murtal,Steiermark,"383,60",275,"1570,50",1126
Neunkirchen,Niederöstereich,"295,30",255,"1715,30",1481
Neusiedl am See,Burgenland,272,163,"1573,60",944
Oberpullendorf,Burgenland,"510,90",191,"2284,40",854
Oberwart,Burgenland,"335,80",182,"2301,10",1247
Perg,Oberösterreich,"787,30",543,"3047,80",2102
Reutte,Tirol,"313,70",103,"1568,30",515
Ried im Innkreis,Oberösterreich,"917,50",566,"3812,60",2352
Rohrbach,Oberösterreich,"1503,20",850,"4644,10",2626
Rust,Burgenland,"858,60",17,"1919,20",38
Salzburg,Salzburg,567,879,"2102,90",3260
Salzburg-Umgebung,Salzburg,"663,20",#ERROR!,"2632,10",4040
Sankt Johann im Pongau,Salzburg,"908,9",738,"3995,40",3244
Sankt Pölten,Niederöstereich,"421,50",234,"2141,80",1189
Sankt Pölten (Land),Niederöstereich,"384,10",506,"1876,60",2472
Sankt Veit an der Glan,Kärnten,"777,00",421,"1828,90",991
Schärding,Oberösterreich,"686,50",394,"3392,50",1947
Scheibbs,Niederöstereich,"825,80",342,"2523,30",1045
Schwaz,Tirol,"1283,10",#ERROR!,"5388,40",4544
Spittal an der Drau,Kärnten,"438,90",333,"912,10",692
Steyr,Oberösterreich,"512,4",195,"2459,50",936
Steyr-Land,Oberösterreich,"566,60",344,"2875,60",1746
Südoststeiermark,Steiermark,"542,6",456,"2003,90",1684
Tamsweg,Salzburg,"1224,60",248,"3125,80",633
Tulln,Niederöstereich,"307,9",322,"1845,20",1930
Urfahr-Umgebung,Oberösterreich,"1096,40",943,"3494,00",3005
Villach Land,Kärnten,"597,40",386,"1440,80",931
Villach Stadt,Kärnten,"470,7",296,"1537,80",967
Vöcklabruck,Oberösterreich,"732,7",#ERROR!,"2756,80",3785
Voitsberg,Steiermark,"595,6",304,"2072,70",1058
Völkermarkt,Kärnten,"1034,40",433,"2355,40",986
Waidhofen an der Thaya,Niederöstereich,"260,9",67,"2122,10",545
Waidhofen an der Ybbs,Niederöstereich,606,68,"2129,70",239
Weiz,Steiermark,"389,4",353,1662,1507
Wels,Oberösterreich,"589,1",368,3009,1880
Wels-Land,Oberösterreich,"611,3",451,"2423,50",1788
Wien,Wien,"407,5",#ERROR!,2582,49349
Wiener Neustadt,Niederöstereich,"368,8",169,"2234,70",1024
Wiener Neustadt (Land),Niederöstereich,"293,7",230,"1551,60",1215
Wolfsberg,Kärnten,"788,9",415,"1754,50",923
Zell am See,Salzburg,"757,7",664,2352,2061
Zwettl,Niederöstereich,"433,5",182,"2007,80",843
