Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"26,6",31,"8579,60",9997
Baden,Niederösterreich,"19,1",28,"6735,90",9885
Bludenz,Vorarlberg,"60,8",39,"6604,60",4234
Braunau am Inn,Oberösterreich,"81,5",86,"8679,10",9161
Bregenz,Vorarlberg,"62,2",84,"7323,70",9886
Bruck an der Leitha,Niederösterreich,26,27,"5866,90",6086
Bruck-Mürzzuschlag,Steiermark,"23,3",23,"6170,40",6090
Deutschlandsberg,Steiermark,23,14,"6665,40",4057
Dornbirn,Vorarlberg,"52,3",47,"8582,80",7717
Eferding,Oberösterreich,"21,1",7,"8451,40",2804
Eisenstadt,Burgenland,"13,5",2,"6661,70",987
Eisenstadt-Umgebung,Burgenland,"16,2",7,"5474,60",2367
Feldkirch,Vorarlberg,"39,8",43,"7674,80",8299
Feldkirchen,Kärnten,"3,3",1,"8036,30",2403
Freistadt,Oberösterreich,15,10,"8278,40",5535
Gänserndorf,Niederösterreich,"54,4",57,"5701,40",5974
Gmünd,Niederösterreich,"21,9",8,"7465,90",2729
Gmunden,Oberösterreich,"13,7",14,"7691,00",7834
Graz,Steiermark,"29,2",85,"5597,60",16293
Graz-Umgebung,Steiermark,"20,5",32,"5615,40",8764
Grieskirchen,Oberösterreich,"9,2",6,"8047,80",5221
Güssing,Burgenland,"3,9",1,"7113,10",1828
Hallein,Salzburg,"32,9",20,"10992,40",6686
Hartberg-Fürstenfeld,Steiermark,"18,8",17,"8149,60",7384
Hermagor,Kärnten,"5,5",1,"10435,40",1884
Hollabrunn,Niederösterreich,"19,6",10,"5135,90",2621
Horn,Niederösterreich,"3,2",1,"4961,90",1535
Imst,Tirol,"162,1",98,"9002,20",5444
Innsbruck-Land,Tirol,"52,6",95,"7675,10",13850
Innsbruck-Stadt,Tirol,"87,9",116,"7389,30",9751
Jennersdorf,Burgenland,0,±0,"7597,80",1299
Kirchdorf an der Krems,Oberösterreich,"5,3",3,"7438,10",4245
Kitzbühel,Tirol,"9,4",6,"6995,70",4489
Klagenfurt Land,Kärnten,"23,3",14,"6970,00",4183
Klagenfurt Stadt,Kärnten,"18,8",19,"6160,90",6241
Korneuburg,Niederösterreich,"9,9",9,"4757,10",4341
Krems (Land),Niederösterreich,"17,7",10,"5856,20",3308
Krems an der Donau,Niederösterreich,"35,9",9,"5536,00",1386
Kufstein,Tirol,29,32,"8510,50",9386
Landeck,Tirol,"40,6",18,"8304,40",3686
Leibnitz,Steiermark,"9,4",8,"6970,60",5908
Leoben,Steiermark,5,3,"5624,80",3358
Lienz,Tirol,"10,3",5,"10895,00",5310
Liezen,Steiermark,"7,5",6,"6839,80",5448
Lilienfeld,Niederösterreich,"35,1",9,"6548,40",1680
Linz,Oberösterreich,"24,7",51,"6647,80",13734
Linz-Land,Oberösterreich,"12,6",19,"6714,00",10163
Mattersburg,Burgenland,15,6,"5721,50",2291
Melk,Niederösterreich,"35,8",28,"7385,80",5775
Mistelbach,Niederösterreich,"34,4",26,"4990,40",3774
Mödling,Niederösterreich,"4,2",5,"5354,50",6378
Murau,Steiermark,"21,8",6,"7225,10",1990
Murtal,Steiermark,"33,5",24,"7120,10",5105
Neunkirchen,Niederösterreich,29,25,"6902,70",5960
Neusiedl am See,Burgenland,"6,7",4,"5432,60",3259
Oberpullendorf,Burgenland,16,6,"5951,70",2225
Oberwart,Burgenland,"7,4",4,"6724,20",3644
Perg,Oberösterreich,"44,9",31,"8514,10",5872
Reutte,Tirol,3,1,"6142,30",2017
Ried im Innkreis,Oberösterreich,"55,1",34,"9692,00",5979
Rohrbach,Oberösterreich,"3,5",2,"9035,30",5109
Rust,Burgenland,0,±0,"3838,40",76
Salzburg,Salzburg,"11,6",18,"7554,50",11711
Salzburg-Umgebung,Salzburg,"10,4",16,"8040,80",12342
Sankt Johann im Pongau,Salzburg,"17,2",14,"11803,80",9584
Sankt Pölten,Niederösterreich,"28,8",16,"7000,00",3886
Sankt Pölten (Land),Niederösterreich,"40,2",53,"6029,80",7943
Sankt Veit an der Glan,Kärnten,"27,7",15,"7308,20",3960
Schärding,Oberösterreich,"17,4",10,"9290,70",5332
Scheibbs,Niederösterreich,"9,7",4,"9129,80",3781
Schwaz,Tirol,"2,4",2,"10679,60",9006
Spittal an der Drau,Kärnten,33,25,"7680,40",5827
Steyr,Oberösterreich,"34,2",13,"6477,30",2465
Steyr-Land,Oberösterreich,"8,2",5,"7032,60",4270
Südoststeiermark,Steiermark,"36,9",31,"7170,70",6026
Tamsweg,Salzburg,0,±0,"12271,00",2485
Tulln,Niederösterreich,"22,9",24,"5169,60",5407
Urfahr-Umgebung,Oberösterreich,"17,4",15,"7108,90",6114
Villach Land,Kärnten,"26,3",17,"6947,00",4489
Villach Stadt,Kärnten,"14,3",9,"6326,10",3978
Vöcklabruck,Oberösterreich,"17,5",24,"8400,00",11533
Voitsberg,Steiermark,"37,2",19,"6688,30",3414
Völkermarkt,Kärnten,"31,1",13,"8805,10",3686
Waidhofen an der Thaya,Niederösterreich,"3,9",1,"6537,70",1679
Waidhofen an der Ybbs,Niederösterreich,"8,9",1,"8020,00",900
Weiz,Steiermark,"23,2",21,"6824,90",6187
Wels,Oberösterreich,40,25,"9025,10",5638
Wels-Land,Oberösterreich,"24,4",18,"7719,20",5695
Wien,Wien,"30,6",584,"7197,90",137565
Wiener Neustadt,Niederösterreich,"8,7",4,"8495,70",3893
Wiener Neustadt (Land),Niederösterreich,"16,6",13,"6705,70",5251
Wolfsberg,Kärnten,"32,3",17,"6613,20",3479
Zell am See,Salzburg,"9,1",8,"8277,00",7253
Zwettl,Niederösterreich,"14,3",6,"7952,50",3339
