Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"37,03","4,31"
Baden,"60,19","8,21"
Bludenz,"32,76","4,68"
Braunau am Inn,"24,9","2,87"
Bregenz,"48,15","10,37"
Bruck an der Leitha,"85,29","11,76"
Bruck-Mürzzuschlag,"25,26","9,09"
Deutschlandsberg,"11,51","4,93"
Dornbirn,"55,63","13,35"
Eferding,"3,02",0
Eisenstadt,"6,83","13,66"
Eisenstadt-Umgebung,"46,59","20,97"
Feldkirch,"99,89","12,95"
Feldkirchen,"3,34","3,34"
Freistadt,"43,53","7,51"
Gänserndorf,"57,87","16,4"
Gmünd,"89,74","8,16"
Gmunden,"63,96","13,78"
Graz,"27,35","4,5"
Graz-Umgebung,"30,47","6,48"
Grieskirchen,"15,45","3,09"
Güssing,"120,17","34,89"
Hallein,"132,51","23,19"
Hartberg-Fürstenfeld,"12,14","2,21"
Hermagor,"142,67","10,97"
Hollabrunn,"45,22","1,97"
Horn,"22,52","9,65"
Imst,"34,97","8,33"
Innsbruck-Land,"63,02","6,13"
Innsbruck-Stadt,"129,44","34,06"
Jennersdorf,0,0
Kirchdorf an der Krems,"12,31","3,52"
Kitzbühel,"26,61","1,57"
Klagenfurt Land,"18,39","5,02"
Klagenfurt Stadt,"7,94",0
Korneuburg,"47,31","3,3"
Krems (Land),"61,84","33,57"
Krems an der Donau,"76,38","8,04"
Kufstein,"45,59",0
Landeck,"112,71","-2,25"
Leibnitz,"10,69","4,75"
Leoben,"38,3","6,66"
Lienz,"2,05",0
Liezen,"28,79","1,25"
Lilienfeld,"27,12",0
Linz,"89,44","12,64"
Linz-Land,"67,21","3,33"
Mattersburg,"37,57","5,01"
Melk,"48,74","2,57"
Mistelbach,"68,89","10,6"
Mödling,"71,43","15,13"
Murau,"3,62",0
Murtal,"13,89","1,39"
Neunkirchen,"37,08","2,32"
Neusiedl am See,"85,64","33,58"
Oberpullendorf,"66,64","37,32"
Oberwart,"33,29","11,1"
Perg,"21,91","4,38"
Reutte,0,0
Ried im Innkreis,"106,2","13,07"
Rohrbach,"70,77",23
Rust,0,0
Salzburg,"38,26","6,48"
Salzburg-Umgebung,"45,97","11,16"
Sankt Johann im Pongau,"44,68","2,48"
Sankt Pölten,"134,44","25,43"
Sankt Pölten (Land),"54,94","15,26"
Sankt Veit an der Glan,"12,83","1,83"
Schärding,"22,68",0
Scheibbs,"14,49",0
Schwaz,"75,11","20,27"
Spittal an der Drau,"5,26",0
Steyr,"20,95","2,62"
Steyr-Land,"13,24","1,65"
Südoststeiermark,"4,75","2,37"
Tamsweg,"34,45","-4,92"
Tulln,"19,27","7,71"
Urfahr-Umgebung,"63,15","3,51"
Villach Land,"12,37","-1,55"
Villach Stadt,"12,85","-1,61"
Vöcklabruck,"60,92","10,28"
Voitsberg,"31,27","3,91"
Völkermarkt,"97,9","23,88"
Waidhofen an der Thaya,"69,53","7,73"
Waidhofen an der Ybbs,"8,88",0
Weiz,"13,28","1,11"
Wels,"64,8","12,96"
Wels-Land,"20,52","6,84"
Wien,"129,07","26,77"
Wiener Neustadt,"46,38","4,42"
Wiener Neustadt (Land),"24,36","8,98"
Wolfsberg,"11,38",0
Zell am See,"21,72","4,57"
Zwettl,"52,11","7,11"
