Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;8316;24;52
Rust(Stadt);102;2021;1012;4;6
Eisenstadt-Umgebung;103;44488;23913;72;174
Güssing;104;25809;13488;100;46
Jennersdorf;105;17216;8562;43;44
Mattersburg;106;40731;21463;84;194
Neusiedl am See;107;61358;33667;87;424
Oberpullendorf;108;37556;19749;63;182
Oberwart;109;54682;27766;146;172
Klagenfurt Stadt;201;103297;48364;285;365
Villach Stadt;202;64125;29942;173;141
Hermagor;203;18069;9195;62;31
Klagenfurt Land;204;61114;29951;128;187
Sankt Veit an der Glan;205;53953;27260;166;237
Spittal an der Drau;206;75725;38653;267;264
Villach Land;207;65635;32670;197;156
Völkermarkt;208;41947;22460;121;146
Wolfsberg;209;52352;26232;182;160
Feldkirchen;210;29949;14994;83;95
Krems an der Donau(Stadt);301;24930;12606;73;75
Sankt Pölten(Stadt);302;56697;30278;144;247
Waidhofen an der Ybbs(Stadt);303;11187;6842;41;72
Wiener Neustadt(Stadt);304;47407;25724;190;184
Amstetten;305;117442;75562;309;561
Baden;306;148765;79893;331;474
Bruck an der Leitha;307;107297;57853;216;517
Gänserndorf;308;107504;55137;183;436
Gmünd;309;36152;18921;153;100
Hollabrunn;310;51879;25943;97;214
Horn;311;30875;15597;60;84
Korneuburg;312;92442;47801;142;398
Krems(Land);313;56840;31500;102;188
Lilienfeld;314;25491;14934;113;101
Melk;315;78779;49181;307;556
Mistelbach;316;76641;38843;102;312
Mödling;317;120412;62201;272;516
Neunkirchen;318;87048;47075;248;315
Sankt Pölten(Land);319;133497;74836;318;621
Scheibbs;320;41711;26966;95;252
Tulln;321;107723;55493;210;459
Waidhofen an der Thaya;322;25644;13761;72;130
Wiener Neustadt(Land);323;80020;44449;199;225
Zwettl;325;41757;25132;84;156
Linz(Stadt);401;208445;103862;444;619
Steyr(Stadt);402;37915;18986;69;114
Wels(Stadt);403;63542;33955;156;175
Braunau am Inn;404;108388;65881;255;245
Eferding;405;33715;19089;73;117
Freistadt;406;67638;40931;188;261
Gmunden;407;102765;58938;236;256
Grieskirchen;408;65929;39669;147;219
Kirchdorf an der Krems;409;57882;32689;150;194
Linz-Land;410;154320;83084;282;360
Perg;411;69905;42233;152;284
Ried im Innkreis;412;62535;37785;168;158
Rohrbach;413;57034;34244;158;146
Schärding;414;57750;33599;155;109
Steyr-Land;415;61494;35463;148;204
Urfahr-Umgebung;416;87466;51012;155;280
Vöcklabruck;417;139989;84289;333;470
Wels-Land;418;75514;44794;116;189
Salzburg(Stadt);501;155743;87065;299;388
Hallein;502;61262;39739;144;166
Salzburg-Umgebung;503;155982;99907;305;403
Sankt Johann im Pongau;504;81962;50966;188;229
Tamsweg;505;20327;12201;67;59
Zell am See;506;89017;49402;188;198
Graz(Stadt);601;293929;142231;547;1005
Deutschlandsberg;603;61092;31193;179;143
Graz-Umgebung;606;161131;81668;419;461
Leibnitz;610;86399;44269;185;233
Leoben;611;59341;26376;187;145
Liezen;612;79739;40049;220;193
Murau;614;27343;13091;60;85
Voitsberg;616;51165;24262;181;112
Weiz;617;91844;49116;254;234
Murtal;620;71398;33814;275;168
Bruck-Mürzzuschlag;621;98394;43944;357;222
Hartberg-Fürstenfeld;622;91091;46896;306;222
Südoststeiermark;623;84024;42830;293;175
Innsbruck-Stadt;701;130599;71350;235;328
Imst;702;61843;37130;88;143
Innsbruck-Land;703;183827;104330;271;468
Kitzbühel;704;65482;35915;98;167
Kufstein;705;112301;65336;239;278
Landeck;706;44681;28112;87;158
Lienz;707;48854;29163;140;144
Reutte;708;33427;18711;28;89
Schwaz;709;85478;47001;214;245
Bludenz;801;64943;38142;94;113
Bregenz;802;136369;75846;231;230
Dornbirn;803;91344;52034;166;192
Feldkirch;804;110547;63451;172;237
Wien;900;1951354;1117609;4218;7820
