Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,"98,7",115,"6255,60",7289
Baden,Niederösterreich,"143,1",210,"3892,30",5712
Bludenz,Vorarlberg,"84,2",54,"5185,10",3324
Braunau am Inn,Oberösterreich,"167,7",177,"5167,10",5454
Bregenz,Vorarlberg,"54,1",73,"5274,60",7120
Bruck an der Leitha,Niederösterreich,"101,2",105,"3320,00",3444
Bruck-Mürzzuschlag,Steiermark,"147,9",146,"4449,00",4391
Deutschlandsberg,Steiermark,"146,2",89,"4166,50",2536
Dornbirn,Vorarlberg,"86,8",78,"6575,30",5912
Eferding,Oberösterreich,"45,2",15,"6661,00",2210
Eisenstadt,Burgenland,"60,7",9,"3914,70",580
Eisenstadt-Umgebung,Burgenland,"101,8",44,"3374,50",1459
Feldkirch,Vorarlberg,98,106,"5747,60",6215
Feldkirchen,Kärnten,97,29,"5434,40",1625
Freistadt,Oberösterreich,"77,8",52,"6106,70",4083
Gänserndorf,Niederösterreich,"160,3",168,"3123,60",3273
Gmünd,Niederösterreich,"62,9",23,"4749,30",1736
Gmunden,Oberösterreich,"100,1",102,"5552,80",5656
Graz,Steiermark,"72,5",211,"3600,80",10481
Graz-Umgebung,Steiermark,"109,6",171,"3688,70",5757
Grieskirchen,Oberösterreich,"70,9",46,"6517,10",4228
Güssing,Burgenland,"140,1",36,"4871,80",1252
Hallein,Salzburg,"161,1",98,"8126,70",4943
Hartberg-Fürstenfeld,Steiermark,"240,6",218,"5011,80",4541
Hermagor,Kärnten,432,78,"7344,60",1326
Hollabrunn,Niederösterreich,"229,3",117,"2925,60",1493
Horn,Niederösterreich,"100,2",31,"2566,60",794
Imst,Tirol,"49,6",30,"5531,30",3345
Innsbruck-Land,Tirol,"42,7",77,"5513,30",9949
Innsbruck-Stadt,Tirol,"40,2",53,"5240,20",6915
Jennersdorf,Burgenland,"339,2",58,"4995,00",854
Kirchdorf an der Krems,Oberösterreich,"63,1",36,"4967,50",2835
Kitzbühel,Tirol,"101,3",65,"5273,70",3384
Klagenfurt Land,Kärnten,150,90,"4878,90",2928
Klagenfurt Stadt,Kärnten,"96,7",98,"4409,70",4467
Korneuburg,Niederösterreich,"85,5",78,"2985,10",2724
Krems (Land),Niederösterreich,"115,1",65,"4201,00",2373
Krems an der Donau,Niederösterreich,"67,9",17,"3886,40",973
Kufstein,Tirol,"94,3",104,"6395,10",7053
Landeck,Tirol,"58,6",26,"6540,40",2903
Leibnitz,Steiermark,"66,1",56,"4317,10",3659
Leoben,Steiermark,"80,4",48,"3919,60",2340
Lienz,Tirol,"215,4",105,"6889,90",3358
Liezen,Steiermark,"60,3",48,"4863,70",3874
Lilienfeld,Niederösterreich,"58,5",15,"4155,10",1066
Linz,Oberösterreich,"42,1",87,"4620,60",9546
Linz-Land,Oberösterreich,"62,1",94,"4717,50",7141
Mattersburg,Burgenland,"57,4",23,"3588,70",1437
Melk,Niederösterreich,"76,7",60,"4627,10",3618
Mistelbach,Niederösterreich,"215,5",163,"2806,00",2122
Mödling,Niederösterreich,"76,4",91,"3332,10",3969
Murau,Steiermark,"123,4",34,"4647,30",1280
Murtal,Steiermark,"68,3",49,"4669,60",3348
Neunkirchen,Niederösterreich,"130,9",113,"4052,40",3499
Neusiedl am See,Burgenland,"106,7",64,"3463,90",2078
Oberpullendorf,Burgenland,"58,8",22,"4180,90",1563
Oberwart,Burgenland,"81,2",44,"3948,90",2140
Perg,Oberösterreich,"134,8",93,"5962,20",4112
Reutte,Tirol,"103,5",34,"3931,40",1291
Ried im Innkreis,Oberösterreich,"66,5",41,"6775,80",4180
Rohrbach,Oberösterreich,"120,3",68,"7609,90",4303
Rust,Burgenland,0,±0,"3434,30",68
Salzburg,Salzburg,"111,6",173,"5243,20",8128
Salzburg-Umgebung,Salzburg,"114,7",176,"5720,20",8780
Sankt Johann im Pongau,Salzburg,"226,6",184,"8372,50",6798
Sankt Pölten,Niederösterreich,"57,6",32,"4425,90",2457
Sankt Pölten (Land),Niederösterreich,"78,9",104,"3751,60",4942
Sankt Veit an der Glan,Kärnten,83,45,"5276,30",2859
Schärding,Oberösterreich,"83,6",48,"7088,20",4068
Scheibbs,Niederösterreich,"123,1",51,"6012,50",2490
Schwaz,Tirol,"105,5",89,"9045,50",7628
Spittal an der Drau,Kärnten,"197,7",150,"4452,50",3378
Steyr,Oberösterreich,"36,8",14,"4456,60",1696
