Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;15374;10715;25;4
Rust(Stadt);102;2021;1331;5;1
Eisenstadt-Umgebung;103;44488;30237;78;3
Güssing;104;25809;16950;101;0
Jennersdorf;105;17216;10105;44;2
Mattersburg;106;40731;27022;88;5
Neusiedl am See;107;61358;42817;85;16
Oberpullendorf;108;37556;25187;68;1
Oberwart;109;54682;34760;145;2
Klagenfurt Stadt;201;103297;59518;304;4
Villach Stadt;202;64125;35839;174;1
Hermagor;203;18069;10717;66;0
Klagenfurt Land;204;61114;36073;127;1
Sankt Veit an der Glan;205;53953;33119;167;3
Spittal an der Drau;206;75725;44668;275;1
Villach Land;207;65635;38661;204;2
Völkermarkt;208;41947;26665;121;3
Wolfsberg;209;52352;30393;203;3
Feldkirchen;210;29949;17393;83;2
Krems an der Donau(Stadt);301;24930;15894;75;3
Sankt Pölten(Stadt);302;56697;38051;146;5
Waidhofen an der Ybbs(Stadt);303;11187;8143;59;3
Wiener Neustadt(Stadt);304;47407;31188;224;4
Amstetten;305;117442;90224;309;6
Baden;306;148765;100106;364;23
Bruck an der Leitha;307;107297;74335;220;23
Gänserndorf;308;107504;71115;305;20
Gmünd;309;36152;23183;158;1
Hollabrunn;310;51879;32932;116;9
Horn;311;30875;19224;60;1
Korneuburg;312;92442;63575;146;13
Krems(Land);313;56840;38915;163;4
Lilienfeld;314;25491;17790;111;1
Melk;315;78779;59598;512;16
Mistelbach;316;76641;50268;107;5
Mödling;317;120412;81876;309;34
Neunkirchen;318;87048;57823;251;10
Sankt Pölten(Land);319;133497;95332;336;17
Scheibbs;320;41711;31562;98;3
Tulln;321;107723;72108;214;24
Waidhofen an der Thaya;322;25644;17115;80;0
Wiener Neustadt(Land);323;80020;54216;219;10
Zwettl;325;41757;30284;84;2
Linz(Stadt);401;208445;127346;474;15
Steyr(Stadt);402;37915;23397;84;0
Wels(Stadt);403;63542;40442;165;3
Braunau am Inn;404;108388;77214;270;7
Eferding;405;33715;23395;81;1
Freistadt;406;67638;48569;202;2
Gmunden;407;102765;71171;256;5
Grieskirchen;408;65929;47917;158;3
Kirchdorf an der Krems;409;57882;39582;167;7
Linz-Land;410;154320;101305;296;8
Perg;411;69905;50800;155;1
Ried im Innkreis;412;62535;44985;170;2
Rohrbach;413;57034;40800;165;1
Schärding;414;57750;39940;156;1
Steyr-Land;415;61494;43501;158;5
Urfahr-Umgebung;416;87466;62784;161;8
Vöcklabruck;417;139989;100358;340;6
Wels-Land;418;75514;54563;123;5
Salzburg(Stadt);501;155743;103699;342;14
Hallein;502;61262;46002;148;4
Salzburg-Umgebung;503;155982;117702;318;8
Sankt Johann im Pongau;504;81962;57558;184;0
Tamsweg;505;20327;13948;68;0
Zell am See;506;89017;56716;202;3
Graz(Stadt);601;293929;174006;610;32
Deutschlandsberg;603;61092;36442;184;3
Graz-Umgebung;606;161131;100037;441;9
Leibnitz;610;86399;53524;195;11
Leoben;611;59341;31789;197;3
Liezen;612;79739;46836;229;1
Murau;614;27343;15172;60;0
Voitsberg;616;51165;28382;191;0
Weiz;617;91844;56866;260;3
Murtal;620;71398;39341;294;4
Bruck-Mürzzuschlag;621;98394;51871;359;5
Hartberg-Fürstenfeld;622;91091;55196;311;4
Südoststeiermark;623;84024;50501;296;2
Innsbruck-Stadt;701;130599;86610;261;11
Imst;702;61843;43194;103;1
Innsbruck-Land;703;183827;126191;292;25
Kitzbühel;704;65482;42045;102;3
Kufstein;705;112301;75625;256;3
Landeck;706;44681;32293;93;1
Lienz;707;48854;33990;148;0
Reutte;708;33427;21718;34;1
Schwaz;709;85478;54245;222;3
Bludenz;801;64943;43383;99;1
Bregenz;802;136369;86154;243;5
Dornbirn;803;91344;59567;171;5
Feldkirch;804;110547;72768;179;5
Wien;900;1951354;1420805;4816;489
